year,month,day,hour,UMAP1,UMAP2
2013,3,1,0,0.8484186530113219,4.633717060089111
2013,3,1,1,0.8982990384101868,4.705656051635742
2013,3,1,2,1.0463787317276,4.786875247955321
2013,3,1,3,1.0868769884109497,4.761620998382568
2013,3,1,4,1.1030128002166748,4.740725040435791
2013,3,1,5,1.0579969882965088,4.7724690437316895
2013,3,1,6,0.9982178807258606,4.643045425415039
2013,3,1,7,1.0496853590011597,4.6278982162475595
2013,3,1,8,1.0654960870742796,4.632378101348877
2013,3,1,9,1.121567130088806,4.621731758117676
2013,3,1,10,1.1504182815551756,4.620794296264648
2013,3,1,11,1.1391746997833252,4.509154796600342
2013,3,1,12,1.1399526596069336,4.533492565155028
2013,3,1,13,1.0931984186172483,4.484177112579346
2013,3,1,14,1.0934622287750244,4.479351043701172
2013,3,1,15,1.0718846321105957,4.362354755401611
2013,3,1,16,1.1005198955535889,4.398045063018799
2013,3,1,17,1.1047799587249756,4.357922554016112
2013,3,1,18,1.0316598415374756,4.2968807220458975
2013,3,1,19,0.9244710206985473,4.238154888153076
2013,3,1,20,-1.360839605331421,1.7536449432373047
2013,3,1,21,-1.5023034811019895,1.576132893562317
2013,3,1,22,-1.4907541275024414,1.4920363426208496
2013,3,1,23,-1.5496070384979248,1.2799537181854248
2013,3,2,0,-1.6063941717147827,1.2301427125930786
2013,3,2,1,-1.6165419816970823,1.0778511762619019
2013,3,2,2,-1.6702100038528442,0.8775511384010315
2013,3,2,3,-1.660325527191162,0.8086354136466981
2013,3,2,4,-1.6989154815673828,0.7075644731521606
2013,3,2,5,-1.6528468132019043,0.6609220504760742
2013,3,2,6,-1.6637765169143677,0.6930750608444214
2013,3,2,7,-1.6544549465179443,0.6436229944229126
2013,3,2,8,-1.6279982328414917,0.5498949289321899
2013,3,2,9,-1.651591181755066,0.5207658410072327
2013,3,2,10,-1.6076307296752927,0.528419017791748
2013,3,2,11,-1.5100858211517332,0.3412855863571167
2013,3,2,12,-1.441403031349182,0.27205473184585566
2013,3,2,13,-1.3804597854614256,0.24723629653453824
2013,3,2,14,-1.269434094429016,0.17773780226707458
2013,3,2,15,-0.9011573791503905,0.017001058906316757
2013,3,2,16,-0.6655126810073853,-0.0313989520072937
2013,3,2,17,-0.5434938073158264,-0.06246830895543098
2013,3,2,18,-0.4579933285713196,-0.0037595052272081375
2013,3,2,19,-0.3536190390586853,-0.02799711190164089
2013,3,2,20,-0.19303414225578308,0.07390737533569336
2013,3,2,21,-0.024441311135888096,0.14072632789611816
2013,3,2,22,0.08793136477470398,0.2365691363811493
2013,3,2,23,0.25318244099617004,0.3164578974246979
2013,3,3,0,0.27876970171928406,0.376171350479126
2013,3,3,1,0.2960740327835083,0.43016692996025085
2013,3,3,2,0.4329012632369995,0.5369673967361449
2013,3,3,3,0.4590611159801483,0.7223010659217833
2013,3,3,4,0.5867760181427002,0.996404230594635
2013,3,3,5,0.6881630420684814,1.1965172290802
2013,3,3,6,0.7808077931404114,1.2888007164001465
2013,3,3,7,0.8281189799308778,1.6026511192321775
2013,3,3,8,0.9965797066688536,1.9528688192367556
2013,3,3,9,1.1128294467926023,2.1881589889526367
2013,3,3,10,1.5138578414916992,2.9198808670043945
2013,3,3,11,1.706265568733215,3.416508674621582
2013,3,3,12,1.86111319065094,3.6552217006683354
2013,3,3,13,1.9598772525787356,3.865535974502563
2013,3,3,14,2.024456262588501,4.09476375579834
2013,3,3,15,2.159852981567383,4.081786155700684
2013,3,3,16,2.200528860092163,4.0530991554260245
2013,3,3,17,2.2402298450469966,4.00390625
2013,3,3,18,2.340982675552368,3.9021246433258057
2013,3,3,19,2.3688771724700928,3.690667390823364
2013,3,3,20,2.341416120529175,3.6435141563415527
2013,3,3,21,2.358969449996948,3.6251575946807857
2013,3,3,22,2.377776861190796,3.6338448524475098
2013,3,3,23,2.2400190830230713,3.6094374656677246
2013,3,4,0,2.112104892730713,3.6072366237640385
2013,3,4,1,0.7627810835838317,3.2829010486602783
2013,3,4,2,0.4992130994796753,2.9855222702026367
2013,3,4,3,0.28900390863418574,2.7402360439300537
2013,3,4,4,0.2177858203649521,2.5804383754730225
2013,3,4,5,0.11279493570327757,2.583799123764038
2013,3,4,6,0.11212622374296188,2.433176040649414
2013,3,4,7,0.0685286894440651,2.343548059463501
2013,3,4,8,0.014870192855596542,2.250925540924072
2013,3,4,9,-0.7133508324623108,-1.0374772548675537
2013,3,4,10,-0.7304298877716064,-1.0517544746398924
2013,3,4,11,-0.7372782230377197,-1.1044400930404663
2013,3,4,12,-0.7563834786415101,-1.1544930934906004
2013,3,4,13,-0.8013564348220825,-1.2128775119781494
2013,3,4,14,-0.841163396835327,-1.250945210456848
2013,3,4,15,-0.9015988111495972,-1.3181015253067017
2013,3,4,16,-0.9061120152473447,-1.328636646270752
2013,3,4,17,-1.0439386367797852,-1.3883649110794067
2013,3,4,18,-1.1771985292434692,-1.4371520280838013
2013,3,4,19,-1.2897790670394895,-1.4998506307601929
2013,3,4,20,-1.419467806816101,-1.5559284687042236
2013,3,4,21,-1.4478918313980103,-1.606585383415222
2013,3,4,22,-1.6773709058761597,-1.6357004642486572
2013,3,4,23,-1.8793565034866333,-1.7120404243469238
