year,month,day,hour,UMAP1,UMAP2
2013,3,1,0,12.89936065673828,14.867496490478516
2013,3,1,1,12.89921760559082,14.882716178894041
2013,3,1,2,12.894883155822752,14.88096523284912
2013,3,1,3,12.894356727600096,14.880104064941406
2013,3,1,4,12.883578300476074,14.874151229858398
2013,3,1,5,12.879970550537108,14.871145248413084
2013,3,1,6,12.884742736816406,14.87811279296875
2013,3,1,7,12.879069328308104,14.87101936340332
2013,3,1,8,12.867431640625,14.862635612487791
2013,3,1,9,12.845419883728027,14.843506813049316
2013,3,1,10,12.84025192260742,14.828788757324219
2013,3,1,11,12.800933837890623,14.79588222503662
2013,3,1,12,12.767545700073242,14.741844177246092
2013,3,1,13,12.72996711730957,14.730522155761719
2013,3,1,14,12.634703636169432,14.625779151916504
2013,3,1,15,12.526041030883787,14.552618026733398
2013,3,1,16,12.321016311645508,14.458880424499512
2013,3,1,17,12.177075386047363,14.460558891296387
2013,3,1,18,12.07939338684082,14.4572172164917
2013,3,1,19,11.947278976440428,14.443273544311523
2013,3,1,20,11.818626403808592,14.475651741027832
2013,3,1,21,11.679991722106932,14.478271484375
2013,3,1,22,11.351269721984863,14.548099517822264
2013,3,1,23,11.068404197692873,14.604358673095703
2013,3,2,0,10.879401206970215,14.623127937316895
2013,3,2,1,10.531930923461914,14.715523719787596
2013,3,2,2,10.48354721069336,14.676584243774414
2013,3,2,3,10.315350532531738,14.683693885803223
2013,3,2,4,10.084726333618164,14.697928428649902
2013,3,2,5,9.686772346496582,14.74070930480957
2013,3,2,6,9.473269462585447,14.721230506896973
2013,3,2,7,9.307779312133789,14.767376899719238
2013,3,2,8,9.16996955871582,14.720942497253416
2013,3,2,9,9.059462547302246,14.70463752746582
2013,3,2,10,8.976161003112793,14.700024604797363
2013,3,2,11,8.831231117248535,14.73304271697998
2013,3,2,12,8.651642799377441,14.741617202758787
2013,3,2,13,8.508999824523924,14.65147876739502
2013,3,2,14,8.345124244689941,14.581387519836424
2013,3,2,15,8.199554443359375,14.494096755981444
2013,3,2,16,7.990077018737794,14.378142356872559
2013,3,2,17,7.782153606414795,14.135860443115234
2013,3,2,18,7.79129981994629,13.973805427551268
2013,3,2,19,7.805367469787597,14.019612312316895
2013,3,2,20,7.790426254272463,13.950515747070312
2013,3,2,21,7.870861053466797,13.811165809631348
2013,3,2,22,8.127987861633299,13.11491012573242
2013,3,2,23,8.430049896240234,12.826623916625977
2013,3,3,0,8.737570762634277,12.569355010986328
2013,3,3,1,8.922035217285154,12.43928813934326
2013,3,3,2,9.520591735839844,12.329625129699709
2013,3,3,3,9.88498306274414,12.286444664001465
2013,3,3,4,10.03543472290039,12.238507270812988
2013,3,3,5,10.160629272460936,12.127422332763672
2013,3,3,6,10.243585586547852,12.001982688903809
2013,3,3,7,10.408050537109377,11.819568634033203
2013,3,3,8,10.552790641784668,11.62070655822754
2013,3,3,9,10.734211921691895,11.38112449645996
2013,3,3,10,10.961454391479492,11.10471534729004
2013,3,3,11,11.217225074768066,10.88992691040039
2013,3,3,12,11.309505462646484,10.694472312927246
2013,3,3,13,11.447075843811035,10.527738571166992
2013,3,3,14,11.454304695129395,10.578804969787596
2013,3,3,15,11.473662376403809,10.816212654113768
2013,3,3,16,11.527676582336424,10.891703605651855
2013,3,3,17,11.448628425598145,10.9586181640625
2013,3,3,18,11.369510650634764,11.163432121276855
2013,3,3,19,11.581642150878906,11.135761260986328
2013,3,3,20,12.49617862701416,11.039372444152832
2013,3,3,21,12.487993240356444,11.051733016967772
2013,3,3,22,12.419501304626465,11.119412422180176
2013,3,3,23,12.434000015258787,11.152788162231444
2013,3,4,0,12.363640785217283,11.210947036743164
2013,3,4,1,12.231931686401367,11.417250633239746
2013,3,4,2,11.008039474487305,13.923585891723633
2013,3,4,3,10.907248497009276,14.07025146484375
2013,3,4,4,10.792293548583984,14.2213134765625
2013,3,4,5,10.676915168762209,14.424519538879395
2013,3,4,6,10.553955078125,14.681787490844727
2013,3,4,7,10.451022148132324,14.849352836608887
2013,3,4,8,10.309832572937012,14.986649513244627
2013,3,4,9,10.209585189819336,15.074617385864256
2013,3,4,10,10.12922477722168,15.135408401489256
2013,3,4,11,10.029956817626951,15.196284294128416
2013,3,4,12,9.967148780822754,15.23180866241455
2013,3,4,13,9.848804473876951,15.284265518188477
2013,3,4,14,9.682682037353517,15.326821327209473
2013,3,4,15,9.518665313720703,15.370519638061523
2013,3,4,16,9.38173770904541,15.419700622558592
2013,3,4,17,9.223033905029297,15.46499252319336
2013,3,4,18,9.137096405029297,15.52094841003418
2013,3,4,19,8.961160659790039,15.556931495666504
2013,3,4,20,8.7125825881958,15.64241313934326
2013,3,4,21,8.462546348571777,15.76781940460205
2013,3,4,22,8.030759811401367,15.828656196594238
2013,3,4,23,7.95319366455078,15.842545509338377
2013,3,5,0,7.891079902648925,15.909510612487791
2013,3,5,1,7.81916332244873,15.946067810058592
2013,3,5,2,7.770718574523925,15.97396183013916
2013,3,5,3,7.680839061737059,15.994675636291504
2013,3,5,4,7.643053054809569,16.00687599182129
2013,3,5,5,7.527592658996582,16.0303955078125
2013,3,5,6,7.371735095977782,16.079469680786133
2013,3,5,7,7.292228698730467,16.06916618347168
2013,3,5,8,7.2400641441345215,16.088623046875
2013,3,5,9,7.186447143554688,16.094085693359375
2013,3,5,10,7.053822994232178,16.09476852416992
2013,3,5,11,6.830979347229004,16.081283569335938
2013,3,5,12,6.696547031402588,16.079668045043945
2013,3,5,13,6.5954203605651855,16.054271697998047
2013,3,5,14,6.497167587280273,16.041322708129883
2013,3,5,15,6.40852165222168,16.02617645263672
2013,3,5,16,6.346775054931641,16.022489547729492
2013,3,5,17,6.2928428649902335,16.013978958129883
2013,3,5,18,6.280995845794678,16.02116012573242
2013,3,5,19,6.293196201324463,16.03063201904297
2013,3,5,20,6.2544946670532235,16.01166343688965
2013,3,5,21,6.227775573730469,15.982793807983398
2013,3,5,22,6.1938066482543945,15.960835456848145
2013,3,5,23,6.163059234619141,15.912968635559082
2013,3,6,0,6.1347975730896,15.884129524230955
2013,3,6,1,5.968827724456787,15.721649169921877
2013,3,6,2,5.858962535858153,15.584397315979004
2013,3,6,3,5.717476844787598,15.39273452758789
2013,3,6,4,5.65002965927124,15.272750854492188
2013,3,6,5,5.618012428283691,15.189276695251465
2013,3,6,6,5.60016918182373,15.13084316253662
2013,3,6,7,5.553687572479248,15.052216529846191
2013,3,6,8,5.532151222229004,14.966816902160645
2013,3,6,9,5.407840251922608,14.775634765625
2013,3,6,10,5.293235778808594,14.686309814453123
2013,3,6,11,5.302917957305908,14.695640563964844
2013,3,6,12,5.292401313781737,14.634743690490723
2013,3,6,13,5.278547763824463,14.6282958984375
2013,3,6,14,5.333065032958984,14.596573829650877
2013,3,6,15,5.352557182312012,14.532054901123047
2013,3,6,16,5.368902683258057,14.469757080078123
2013,3,6,17,5.458293437957764,14.396011352539062
2013,3,6,18,5.4876556396484375,14.304847717285156
2013,3,6,19,5.624365329742432,14.021120071411133
2013,3,6,20,5.701634407043457,13.657097816467283
2013,3,6,21,5.650784015655518,13.140881538391112
2013,3,6,22,5.439338684082031,12.608789443969727
2013,3,6,23,5.386409759521484,12.424925804138184
2013,3,7,0,5.422581195831299,12.351331710815428
