year,month,day,hour,UMAP1,UMAP2
2013,3,1,0,-1.5743660926818848,3.620360851287842
2013,3,1,1,-1.5083802938461304,3.5825798511505127
2013,3,1,2,-1.644882321357727,3.6118872165679927
2013,3,1,3,-1.5317302942276,3.624147891998291
2013,3,1,4,-1.6199065446853635,3.6039879322052
2013,3,1,5,-1.611012816429138,3.6125078201293945
2013,3,1,6,-1.5205724239349363,3.6134974956512447
2013,3,1,7,-1.4762074947357176,3.5868091583251958
2013,3,1,8,-1.409698486328125,3.5413441658020015
2013,3,1,9,-1.498895287513733,3.566176176071167
2013,3,1,10,-1.622537612915039,3.5477790832519527
2013,3,1,11,-1.6069105863571167,3.4644534587860107
2013,3,1,12,-1.6244409084320068,3.387567043304444
2013,3,1,13,-1.6523640155792236,3.2637829780578613
2013,3,1,14,-1.5894100666046143,3.3199880123138428
2013,3,1,15,-1.5598444938659668,3.310091257095337
2013,3,1,16,-1.5243802070617676,3.2643871307373047
2013,3,1,17,-1.499792456626892,3.1026394367218018
2013,3,1,18,-1.5552400350570679,3.053583860397339
2013,3,1,19,-1.541835069656372,3.02544379234314
2013,3,1,20,-1.4355286359786987,3.0367777347564697
2013,3,1,21,-1.5801869630813599,2.7744596004486084
2013,3,1,22,-1.7921597957611084,1.1334476470947263
2013,3,1,23,-1.8245288133621211,0.903490960597992
2013,3,2,0,-1.8079628944396968,0.7177233099937439
2013,3,2,1,-1.8209218978881836,0.6329852342605591
2013,3,2,2,-1.8161637783050537,0.646910548210144
2013,3,2,3,-1.87645161151886,0.6250666379928589
2013,3,2,4,-1.9162014722824097,0.7113099098205566
2013,3,2,5,-1.988070368766785,0.7427330613136292
2013,3,2,6,-2.1809034347534175,0.7586790323257446
2013,3,2,7,-2.293569803237915,0.6136595606803894
2013,3,2,8,-2.4143171310424805,0.6349267363548279
2013,3,2,9,-2.529468774795532,0.5864478945732117
2013,3,2,10,-2.694396495819092,0.4189613461494446
2013,3,2,11,-3.023514032363892,0.11465691030025482
2013,3,2,12,-3.073995590209961,0.0311578456312418
2013,3,2,13,-3.1446993350982666,-0.034867171198129654
2013,3,2,14,-3.112330675125122,-0.15729016065597534
2013,3,2,15,-3.0543167591094966,-0.227588415145874
2013,3,2,16,-2.9324376583099365,-0.27160191535949707
2013,3,2,17,-2.795358419418335,-0.2275370806455612
2013,3,2,18,-2.5219783782958984,-0.16905418038368225
2013,3,2,19,-2.3963005542755127,-0.05767349898815155
2013,3,2,20,-2.2556586265563965,0.06392665952444077
2013,3,2,21,-2.16142201423645,0.19015090167522433
2013,3,2,22,-1.8921167850494385,0.4461088180541992
2013,3,2,23,-1.7554243803024292,0.6438340544700624
2013,3,3,0,-1.4621334075927734,0.9207466244697571
2013,3,3,1,-1.2746137380599976,1.1382687091827393
2013,3,3,2,-1.0882840156555176,1.3672208786010742
2013,3,3,3,-0.905591368675232,1.5308228731155396
2013,3,3,4,-0.7873062491416931,1.6678955554962158
2013,3,3,5,-0.7183378934860228,1.7277888059616089
2013,3,3,6,-0.6018868088722229,1.9354261159896848
2013,3,3,7,-0.644546389579773,2.1006336212158203
2013,3,3,8,-0.6510788202285768,2.2616870403289795
2013,3,3,9,-0.6792370080947876,2.374089241027832
2013,3,3,10,-0.716530442237854,2.4021613597869877
2013,3,3,11,-0.7301530838012694,2.4708554744720455
2013,3,3,12,-0.553398847579956,2.679879903793335
2013,3,3,13,-0.4769467711448669,2.8600232601165767
2013,3,3,14,-0.5646921992301941,3.02483344078064
2013,3,3,15,-0.5941575169563292,3.203485012054444
2013,3,3,16,-0.9698149561882019,3.557565212249756
2013,3,3,17,-1.2479110956192017,3.6663177013397217
2013,3,3,18,-1.3143872022628784,3.668992280960083
2013,3,3,19,-1.2524609565734863,3.5797247886657715
2013,3,3,20,-1.1906300783157349,3.349703311920166
2013,3,3,21,-1.2206242084503172,3.2080066204071045
2013,3,3,22,-1.2099833488464355,2.9461708068847656
2013,3,3,23,-1.323453426361084,2.832942008972168
2013,3,4,0,-1.4074022769927979,2.6314842700958248
2013,3,4,1,-1.4960967302322388,2.504484415054321
2013,3,4,2,-1.5602781772613523,2.3127880096435542
2013,3,4,3,-1.6532788276672363,2.0739021301269527
2013,3,4,4,-1.8207682371139529,1.8237975835800169
2013,3,4,5,-1.9412572383880613,1.5220155715942383
2013,3,4,6,-2.066236734390259,1.4057825803756712
2013,3,4,7,-2.3160235881805415,1.0697062015533447
2013,3,4,8,-2.380290508270264,0.9817270040512085
2013,3,4,9,-2.478911161422729,0.8972542881965637
