year,month,day,hour,UMAP1,UMAP2
2013,3,1,0,-0.6845003366470337,4.235302448272705
2013,3,1,1,-0.6946056485176086,4.2445054054260245
2013,3,1,2,-0.6749889254570007,4.249904632568359
2013,3,1,3,-0.7417001724243165,4.329750537872314
2013,3,1,4,-0.7068053483963013,4.289785385131836
2013,3,1,5,-0.6463492512702942,4.271413326263428
2013,3,1,6,-0.6423714160919188,4.380879878997803
2013,3,1,7,-0.6464334726333617,4.4261202812194815
2013,3,1,8,-0.6067686676979065,4.451065540313721
2013,3,1,9,-0.6152408123016356,4.463342666625977
2013,3,1,10,-0.6186790466308594,4.5728678703308105
2013,3,1,11,-0.5691578388214111,4.610943794250488
2013,3,1,12,-0.5018662214279175,4.6627726554870605
2013,3,1,13,-0.5155553221702576,4.77623462677002
2013,3,1,14,-0.5924263596534729,4.872300624847412
2013,3,1,15,-0.6575084328651428,5.099313735961913
2013,3,1,16,-0.7815194725990294,5.30707597732544
2013,3,1,17,-0.82229882478714,5.447301387786865
2013,3,1,18,-0.8832765817642213,5.740971565246582
2013,3,1,19,-0.9312285184860227,5.915586471557617
2013,3,1,20,-0.9373887181282045,6.202470779418944
2013,3,1,21,-1.0401837825775146,6.381076335906982
2013,3,1,22,-1.1027934551239011,6.5465006828308105
2013,3,1,23,-1.1538625955581665,6.73560905456543
2013,3,2,0,-1.1699236631393433,6.81978178024292
2013,3,2,1,-1.2134598493576048,7.024838447570801
2013,3,2,2,-1.268408179283142,7.358838558197021
2013,3,2,3,-1.2503172159194946,7.633277416229248
2013,3,2,4,-1.2827906608581543,7.826422691345216
2013,3,2,5,-1.2418094873428345,8.089366912841795
2013,3,2,6,-1.2274281978607176,8.2652587890625
2013,3,2,7,-1.1560505628585815,8.436901092529297
2013,3,2,8,-1.0102746486663818,8.640402793884277
2013,3,2,9,-0.8140296936035155,8.933008193969727
2013,3,2,10,-0.7641327977180482,9.078702926635742
2013,3,2,11,-0.5567551255226135,9.245633125305176
2013,3,2,12,-0.48619017004966736,9.483981132507324
2013,3,2,13,-0.34387144446372986,9.584236145019533
2013,3,2,14,-0.20624820888042447,9.693904876708984
2013,3,2,15,-0.030188120901584625,9.683030128479006
2013,3,2,16,0.2977225184440613,9.608774185180664
2013,3,2,17,0.47199979424476624,9.556894302368164
2013,3,2,18,0.6211952567100525,9.541125297546385
2013,3,2,19,0.6932142376899719,9.517948150634766
2013,3,2,20,0.7125834226608276,9.494147300720215
2013,3,2,21,0.7046728134155273,9.3814115524292
2013,3,2,22,0.7173345685005188,9.218496322631838
2013,3,2,23,0.7609265446662903,9.133373260498049
2013,3,3,0,0.8293731212615967,8.952454566955566
2013,3,3,1,0.8610809445381165,8.856620788574217
2013,3,3,2,0.9741795659065247,8.678121566772463
2013,3,3,3,0.9789227843284608,8.497282028198242
2013,3,3,4,0.9909493327140808,8.30325984954834
2013,3,3,5,1.0247957706451416,8.115097999572756
2013,3,3,6,0.9809365272521972,7.966385364532471
2013,3,3,7,0.9989188313484192,7.783850669860838
2013,3,3,8,1.1149895191192627,7.47440767288208
2013,3,3,9,1.1951003074645996,7.325119972229005
2013,3,3,10,1.1550031900405884,7.157513618469238
2013,3,3,11,1.2219740152359009,7.052487373352051
2013,3,3,12,1.2584559917449951,6.836571693420409
2013,3,3,13,1.207964539527893,6.57577657699585
2013,3,3,14,1.1801861524581907,6.501319408416748
2013,3,3,15,1.1000651121139526,6.4806928634643555
2013,3,3,16,1.0972572565078735,6.314028263092041
2013,3,3,17,1.0271236896514893,6.2463154792785645
2013,3,3,18,1.0647814273834229,6.295198917388916
2013,3,3,19,0.9740707278251649,6.318671703338623
2013,3,3,20,0.8731212019920349,6.406075477600098
2013,3,3,21,0.7348272800445556,6.369480133056641
2013,3,3,22,0.3296579420566559,6.308913230895996
2013,3,3,23,-0.09562598913908003,6.333330631256104
2013,3,4,0,-0.15473367273807523,6.4489145278930655
2013,3,4,1,-0.28625041246414185,6.532187461853027
2013,3,4,2,-0.341907411813736,6.683831691741943
2013,3,4,3,-0.3799650371074677,6.811527729034424
2013,3,4,4,-0.36610966920852656,6.9742536544799805
2013,3,4,5,-0.3081846833229065,7.081671237945557
2013,3,4,6,-0.29315850138664246,7.30875539779663
2013,3,4,7,-0.282073050737381,7.474348545074464
2013,3,4,8,-0.2454797923564911,7.578510284423827
2013,3,4,9,-0.2336628884077072,7.93416452407837
2013,3,4,10,-0.016306504607200623,8.596796989440918
2013,3,4,11,0.07174509018659592,8.843091964721678
2013,3,4,12,0.19093725085258484,9.075486183166506
2013,3,4,13,0.241548016667366,9.157620429992676
2013,3,4,14,0.2532707452774048,9.280835151672365
2013,3,4,15,0.3368379771709442,9.323857307434082
2013,3,4,16,0.4195728600025177,9.425392150878906
2013,3,4,17,0.5878328680992126,9.62343692779541
2013,3,4,18,0.6672002673149109,9.74208164215088
2013,3,4,19,0.8622458577156067,9.883674621582031
2013,3,4,20,0.8748610019683837,9.943701744079588
2013,3,4,21,1.00078547000885,10.109634399414062
2013,3,4,22,1.0957119464874268,10.26253604888916
2013,3,4,23,1.21819007396698,10.527092933654783
2013,3,5,0,1.8480900526046753,11.831551551818848
2013,3,5,1,1.9363701343536377,11.976787567138672
2013,3,5,2,1.9527951478958128,12.006046295166016
2013,3,5,3,1.9566602706909175,12.075439453125
2013,3,5,4,1.9642263650894165,12.130171775817873
2013,3,5,5,1.9857912063598633,12.16358470916748
2013,3,5,6,2.035353899002075,12.215136528015137
2013,3,5,7,2.0448520183563232,12.232269287109377
2013,3,5,8,2.1275479793548584,12.33980369567871
2013,3,5,9,2.1283466815948486,12.320399284362791
2013,3,5,10,2.104553699493408,12.350726127624512
2013,3,5,11,2.1001877784729004,12.380034446716309
2013,3,5,12,2.1047878265380855,12.368270874023436
2013,3,5,13,2.0572214126586914,12.391752243041992
2013,3,5,14,2.0830180644989014,12.388593673706055
2013,3,5,15,2.101080894470215,12.378181457519531
2013,3,5,16,2.073211669921875,12.391592025756836
2013,3,5,17,2.0714221000671382,12.410035133361816
2013,3,5,18,2.0097506046295166,12.415321350097656
2013,3,5,19,2.0262293815612793,12.3759126663208
2013,3,5,20,1.9801818132400513,12.339326858520508
2013,3,5,21,1.921740174293518,12.305319786071776
2013,3,5,22,1.901713728904724,12.276280403137209
2013,3,5,23,1.862681984901428,12.242255210876465
2013,3,6,0,1.8310825824737549,12.246955871582031
2013,3,6,1,1.811052680015564,12.261694908142088
2013,3,6,2,1.7625619173049927,12.283793449401855
2013,3,6,3,1.7444989681243896,12.277267456054688
2013,3,6,4,1.6620924472808836,12.27822494506836
2013,3,6,5,1.5770151615142822,12.313379287719727
2013,3,6,6,1.6195595264434814,12.3190279006958
2013,3,6,7,1.5694928169250488,12.317463874816895
2013,3,6,8,1.5484219789505005,12.336417198181152
2013,3,6,9,1.4503798484802246,12.345853805541992
2013,3,6,10,1.3495365381240845,12.333247184753416
2013,3,6,11,1.4192837476730347,12.314029693603516
2013,3,6,12,1.5107291936874387,12.382353782653809
2013,3,6,13,1.6637994050979614,12.440079689025877
2013,3,6,14,1.934993267059326,12.491945266723633
2013,3,6,15,2.001053094863892,12.502496719360352
2013,3,6,16,2.065903186798096,12.549591064453123
2013,3,6,17,2.1145522594451904,12.612730979919432
2013,3,6,18,2.200305223464966,12.672459602355955
2013,3,6,19,2.292448282241821,12.714385986328123
2013,3,6,20,2.372593879699707,12.760933876037596
2013,3,6,21,2.566063642501831,12.806681632995604
2013,3,6,22,2.72622275352478,12.869036674499512
2013,3,6,23,2.815509557723999,12.909663200378416
2013,3,7,0,2.8076982498168945,12.931394577026367
2013,3,7,1,2.8262290954589844,12.95322036743164
2013,3,7,2,2.8269717693328857,12.937056541442873
2013,3,7,3,2.835291862487793,12.92881965637207
2013,3,7,4,2.812244415283203,12.882210731506348
2013,3,7,5,2.811018466949463,12.823907852172852
2013,3,7,6,2.7459166049957275,12.756458282470703
2013,3,7,7,2.644364595413208,12.648531913757324
2013,3,7,8,2.6048614978790283,12.61769962310791
2013,3,7,9,2.5951621532440186,12.560149192810059
2013,3,7,10,2.5408828258514404,12.56907081604004
2013,3,7,11,2.5233225822448726,12.587203979492188
2013,3,7,12,2.5114617347717285,12.554045677185059
2013,3,7,13,2.468981981277466,12.585209846496582
2013,3,7,14,2.480193853378296,12.5938663482666
2013,3,7,15,2.4493932723999023,12.601490020751951
2013,3,7,16,2.4509880542755127,12.601350784301756
2013,3,7,17,2.397782564163208,12.604519844055176
2013,3,7,18,2.3596749305725098,12.607636451721191
2013,3,7,19,2.292043447494507,12.597721099853516
2013,3,7,20,2.3088901042938232,12.584417343139648
2013,3,7,21,2.3131253719329834,12.566785812377928
2013,3,7,22,2.3245356082916255,12.552181243896484
2013,3,7,23,2.3067941665649414,12.508338928222656
2013,3,8,0,2.2948877811431885,12.474236488342283
2013,3,8,1,2.325734138488769,12.48941707611084
2013,3,8,2,2.2615795135498047,12.450105667114256
2013,3,8,3,2.2746522426605225,12.416271209716797
2013,3,8,4,2.2635450363159175,12.386281967163084
2013,3,8,5,2.237126588821411,12.358223915100096
2013,3,8,6,2.2320706844329834,12.337299346923828
2013,3,8,7,2.226818799972534,12.329070091247559
2013,3,8,8,9.357169151306152,11.2424955368042
2013,3,8,9,9.359041213989258,11.219178199768066
2013,3,8,10,9.35740089416504,11.171294212341309
2013,3,8,11,9.32020664215088,11.152151107788084
2013,3,8,12,9.347699165344238,11.140467643737791
2013,3,8,13,9.386589050292969,11.1349515914917
2013,3,8,14,9.364785194396973,11.07598876953125
2013,3,8,15,9.425940513610842,10.968039512634276
2013,3,8,16,9.320633888244629,10.759832382202148
2013,3,8,17,9.238339424133299,10.676118850708008
2013,3,8,18,9.240262031555176,10.526454925537108
2013,3,8,19,9.198549270629881,10.456266403198242
2013,3,8,20,9.19761848449707,10.41047191619873
2013,3,8,21,9.137239456176756,10.37232494354248
2013,3,8,22,9.129364967346191,10.310426712036133
2013,3,8,23,9.040915489196776,10.279972076416016
2013,3,9,0,8.96920108795166,10.248003005981444
2013,3,9,1,1.7106225490570068,7.403918266296386
2013,3,9,2,1.723507285118103,7.412344455718993
2013,3,9,3,1.7051432132720947,7.361896991729736
2013,3,9,4,1.714240312576294,7.372811794281005
2013,3,9,5,1.7508075237274168,7.256943225860595
2013,3,9,6,1.7798627614974976,7.181963920593262
2013,3,9,7,1.7962573766708374,7.0999908447265625
2013,3,9,8,1.7781304121017456,7.013494491577148
2013,3,9,9,1.7212591171264648,6.900571823120117
2013,3,9,10,1.4849123954772947,6.621942043304443
2013,3,9,11,1.4384964704513548,6.6497650146484375
2013,3,9,12,0.5900452733039856,7.149737358093262
2013,3,9,13,0.6218776702880859,7.144444942474365
2013,3,9,14,0.6316972970962524,7.138285160064696
2013,3,9,15,0.620312511920929,7.1492934226989755
2013,3,9,16,0.6046939492225647,7.176391124725342
2013,3,9,17,0.632193922996521,7.169852256774902
2013,3,9,18,0.6197144985198976,7.219070911407471
2013,3,9,19,0.6557790040969849,7.262531757354736
2013,3,9,20,0.6774225831031799,7.349773883819581
2013,3,9,21,0.697759211063385,7.439641952514648
2013,3,9,22,0.7306954860687255,7.55650520324707
2013,3,9,23,0.819107711315155,7.861379623413087
2013,3,10,0,0.8680785298347473,8.4247407913208
2013,3,10,1,0.8765004277229309,8.582695007324217
2013,3,10,2,0.8772541880607605,8.77837085723877
2013,3,10,3,0.8163544535636902,8.796114921569824
2013,3,10,4,0.8341927528381348,8.857282638549805
2013,3,10,5,0.8212912678718567,8.959315299987793
2013,3,10,6,0.8417431116104126,9.024045944213869
2013,3,10,7,0.8103212714195251,9.158047676086424
2013,3,10,8,0.7716798186302185,9.280076980590819
2013,3,10,9,0.7238987684249878,9.25166320800781
2013,3,10,10,0.5971812605857849,9.422179222106932
2013,3,10,11,0.32486939430236816,9.673022270202637
2013,3,10,12,-0.03499416261911392,10.10234260559082
2013,3,10,13,-0.15912131965160367,10.299812316894531
2013,3,10,14,-0.1884671002626419,10.419999122619627
2013,3,10,15,-0.18330062925815585,10.533819198608398
2013,3,10,16,-0.14826364815235135,10.707488059997559
2013,3,10,17,-0.11711079627275466,10.860733032226562
2013,3,10,18,-0.02129969000816345,10.902053833007812
2013,3,10,19,0.27842259407043457,11.177974700927734
2013,3,10,20,1.0361418724060059,11.702920913696287
2013,3,10,21,1.326828956604004,11.825400352478027
2013,3,10,22,1.4828628301620483,11.867202758789062
2013,3,10,23,1.6312956809997559,11.941996574401855
2013,3,11,0,1.690124273300171,11.98956298828125
2013,3,11,1,1.7918609380722044,12.002450942993164
2013,3,11,2,1.8758453130722044,12.013818740844727
2013,3,11,3,1.9391125440597532,12.00943088531494
2013,3,11,4,1.9310952425003047,11.998261451721191
2013,3,11,5,2.018986701965332,11.964101791381836
2013,3,11,6,2.0485916137695312,11.969340324401855
2013,3,11,7,2.133080720901489,11.965447425842283
2013,3,11,8,2.3195416927337646,11.766145706176756
2013,3,11,9,2.3971943855285645,11.66389274597168
2013,3,11,10,2.4401171207427974,11.604286193847656
2013,3,11,11,2.443934917449951,11.603666305541992
2013,3,11,12,2.424064874649048,11.604042053222656
2013,3,11,13,2.440777063369751,11.562262535095215
2013,3,11,14,2.460817813873291,11.538159370422363
2013,3,11,15,2.457184314727783,11.427285194396973
2013,3,11,16,2.517842054367065,11.380248069763184
2013,3,11,17,2.515896797180176,11.37172508239746
2013,3,11,18,2.5896801948547363,11.303383827209473
2013,3,11,19,2.5898759365081787,11.2314395904541
2013,3,11,20,2.6359379291534424,11.171771049499512
2013,3,11,21,2.7098309993743896,11.066301345825195
2013,3,11,22,2.7621538639068604,10.9276123046875
2013,3,11,23,2.77453875541687,10.836092948913574
2013,3,12,0,2.82623291015625,10.723868370056152
2013,3,12,1,2.826255798339844,10.694571495056152
2013,3,12,2,2.8429272174835205,10.598648071289062
2013,3,12,3,2.8457951545715328,10.422383308410645
2013,3,12,4,2.86077880859375,10.068514823913574
2013,3,12,5,2.840842962265014,9.609031677246092
2013,3,12,6,2.7499001026153564,9.30494213104248
2013,3,12,7,2.6653423309326167,9.084432601928713
2013,3,12,8,2.6057116985321045,8.962438583374022
2013,3,12,9,2.568840503692627,8.739503860473633
2013,3,12,10,2.545152187347412,8.52542781829834
2013,3,12,11,2.4088089466094966,8.347809791564941
2013,3,12,12,2.3006086349487305,8.211677551269531
2013,3,12,13,2.0599253177642822,7.9648423194885245
2013,3,12,14,1.9194869995117188,7.707789897918701
2013,3,12,15,1.8872959613800049,7.589376926422118
2013,3,12,16,1.7444539070129395,7.347672462463379
2013,3,12,17,1.6870677471160889,7.23046588897705
2013,3,12,18,1.5283805131912231,6.8410820960998535
2013,3,12,19,1.4578707218170166,6.627195358276367
2013,3,12,20,1.1348989009857176,6.312666893005371
2013,3,12,21,0.4139030277729034,5.92803955078125
2013,3,12,22,-0.1044950485229492,5.983274459838867
2013,3,12,23,-0.554172694683075,6.146858215332031
2013,3,13,0,-0.8021442890167235,6.379438400268555
2013,3,13,1,-0.8631303310394286,6.4820570945739755
2013,3,13,2,-0.804850161075592,6.605435848236084
2013,3,13,3,-0.6649781465530396,6.758920192718506
2013,3,13,4,-0.6359187960624695,6.915227890014648
2013,3,13,5,-0.4751904308795929,7.016448020935059
2013,3,13,6,-0.3815051317214966,7.152252674102783
2013,3,13,7,-0.35858526825904846,7.298974990844727
2013,3,13,8,-0.3534975349903106,7.34654951095581
2013,3,13,9,-0.2880401611328125,7.47847032546997
2013,3,13,10,-0.2788589298725128,7.5772385597228995
2013,3,13,11,-0.12193678319454192,7.947297096252441
2013,3,13,12,0.07486790418624878,8.792081832885742
2013,3,13,13,0.1693163365125656,8.969690322875977
2013,3,13,14,0.2268761098384857,9.0811767578125
2013,3,13,15,0.24566960334777832,9.18232727050781
2013,3,13,16,0.30852189660072327,9.252120971679688
2013,3,13,17,0.40295007824897766,9.383081436157225
2013,3,13,18,0.49209505319595337,9.496335983276367
2013,3,13,19,0.5649808645248413,9.58029556274414
2013,3,13,20,0.6612632870674133,9.777503967285154
2013,3,13,21,0.7213630080223083,9.747765541076658
2013,3,13,22,0.8462057113647461,9.878284454345703
2013,3,13,23,0.9474562406539918,9.97715950012207
2013,3,14,0,1.0395166873931885,10.017304420471191
2013,3,14,1,1.0620672702789307,10.106483459472656
2013,3,14,2,1.1819089651107788,10.259803771972656
2013,3,14,3,1.3123834133148191,10.380012512207031
2013,3,14,4,1.44205641746521,10.546234130859377
2013,3,14,5,1.5154950618743896,10.609103202819824
2013,3,14,6,1.6401749849319458,10.718778610229492
2013,3,14,7,1.7486995458602903,10.782557487487791
2013,3,14,8,1.8873194456100464,10.866006851196287
2013,3,14,9,1.9699554443359373,10.921315193176268
2013,3,14,10,2.06410813331604,11.024322509765623
2013,3,14,11,2.1403591632843018,11.128156661987305
2013,3,14,12,2.35726261138916,11.324114799499512
2013,3,14,13,2.899403810501098,12.153946876525877
2013,3,14,14,3.024799346923828,12.417800903320312
2013,3,14,15,3.0565905570983887,12.500513076782227
2013,3,14,16,3.060859203338623,12.543607711791992
2013,3,14,17,3.0587427616119385,12.600663185119627
2013,3,14,18,3.059201717376709,12.6572847366333
2013,3,14,19,3.063093423843384,12.692358016967772
2013,3,14,20,3.042293071746826,12.731095314025877
2013,3,14,21,3.057920217514038,12.740574836730955
2013,3,14,22,3.1057727336883545,12.804619789123535
2013,3,14,23,3.1137957572937007,12.83652687072754
2013,3,15,0,3.163144588470459,12.849595069885252
2013,3,15,1,3.235522508621216,12.89084243774414
2013,3,15,2,3.334632396697998,12.919654846191406
2013,3,15,3,3.3755338191986084,12.961949348449709
2013,3,15,4,3.348850727081299,12.939835548400877
2013,3,15,5,3.4556517601013184,12.998182296752928
2013,3,15,6,3.521937370300293,12.99818992614746
2013,3,15,7,3.6023919582366943,13.029071807861328
2013,3,15,8,3.5844221115112305,13.061970710754395
2013,3,15,9,3.6084742546081534,13.13399028778076
2013,3,15,10,3.625042676925659,13.131555557250977
2013,3,15,11,3.613714218139648,13.152060508728027
2013,3,15,12,3.60225510597229,13.15967845916748
2013,3,15,13,3.5139529705047607,13.166507720947264
2013,3,15,14,3.437539339065552,13.1591157913208
2013,3,15,15,3.3292539119720455,13.143314361572264
2013,3,15,16,3.2609121799468994,13.128870964050291
2013,3,15,17,3.175926446914673,13.126049995422363
2013,3,15,18,3.140625476837158,13.099102973937988
2013,3,15,19,3.05473256111145,13.060084342956541
2013,3,15,20,3.040102481842041,13.036404609680176
2013,3,15,21,3.026679754257202,13.003409385681152
2013,3,15,22,2.9841198921203613,12.94361400604248
2013,3,15,23,2.9803874492645264,12.892304420471191
2013,3,16,0,2.9657483100891118,12.838652610778809
2013,3,16,1,3.025614023208618,12.810729026794432
2013,3,16,2,3.106827735900879,12.72520923614502
2013,3,16,3,3.0669867992401123,12.697868347167969
2013,3,16,4,3.1609156131744385,12.65430736541748
2013,3,16,5,3.159747362136841,12.681903839111328
2013,3,16,6,3.1372432708740234,12.601161956787108
2013,3,16,7,3.1686270236968994,12.577820777893066
2013,3,16,8,3.197107553482056,12.517910957336424
2013,3,16,9,3.154782295227051,12.496044158935547
2013,3,16,10,3.129590511322021,12.492935180664062
2013,3,16,11,3.1228256225585938,12.49991226196289
2013,3,16,12,3.105945348739624,12.52887725830078
2013,3,16,13,3.092556953430176,12.549665451049805
2013,3,16,14,3.0600054264068604,12.5925235748291
2013,3,16,15,3.0633015632629395,12.621961593627928
2013,3,16,16,3.0473577976226807,12.684938430786133
2013,3,16,17,3.053590774536133,12.723438262939451
2013,3,16,18,3.0299696922302246,12.779177665710447
2013,3,16,19,3.0001237392425537,12.837336540222168
2013,3,16,20,2.9683849811553955,12.870369911193848
2013,3,16,21,3.006152391433716,12.92727756500244
2013,3,16,22,2.937248945236206,12.919468879699709
2013,3,16,23,2.9100687503814697,12.927230834960936
2013,3,17,0,2.9068775177001958,12.936207771301268
2013,3,17,1,2.8985698223114014,12.954127311706541
2013,3,17,2,2.8889377117156982,12.932281494140623
2013,3,17,3,2.8934051990509038,12.901738166809082
2013,3,17,4,2.822065591812134,12.862499237060547
2013,3,17,5,2.8497650623321533,12.794927597045898
2013,3,17,6,2.8398776054382324,12.766108512878416
2013,3,17,7,2.8154850006103516,12.62614059448242
2013,3,17,8,2.7649059295654297,12.414212226867676
2013,3,17,9,2.743307113647461,12.319060325622559
2013,3,17,10,2.7123665809631348,12.052466392517088
2013,3,17,11,2.6430046558380127,11.789152145385742
2013,3,17,12,2.6707985401153564,11.325616836547852
2013,3,17,13,2.635372877120972,10.719955444335936
2013,3,17,14,2.554437637329101,10.419312477111816
2013,3,17,15,2.5244102478027344,10.126357078552246
2013,3,17,16,2.5034358501434326,9.804057121276855
2013,3,17,17,2.475616455078125,9.428617477416992
2013,3,17,18,2.457702398300171,9.0416898727417
2013,3,17,19,2.454380750656128,8.71817684173584
2013,3,17,20,2.441303968429565,8.300700187683105
2013,3,17,21,2.415795564651489,7.98215913772583
2013,3,17,22,2.3837294578552246,7.660177230834962
2013,3,17,23,2.3597831726074214,7.4631266593933105
2013,3,18,0,2.2222604751586914,7.229462146759033
2013,3,18,1,2.126911163330078,7.017805099487305
2013,3,18,2,1.9941631555557249,6.791086196899414
2013,3,18,3,1.8484992980957031,6.469181060791016
2013,3,18,4,1.7809324264526367,6.198934555053711
2013,3,18,5,5.411001205444336,4.9668545722961435
2013,3,18,6,5.41960334777832,4.956132888793944
2013,3,18,7,5.431095123291016,4.94655704498291
2013,3,18,8,5.3905863761901855,4.861969470977783
2013,3,18,9,5.273016929626465,4.850028038024902
2013,3,18,10,5.247805118560791,4.841142654418944
2013,3,18,11,5.181048393249512,4.7802605628967285
2013,3,18,12,5.143867015838623,4.783463001251221
2013,3,18,13,5.004950523376465,4.699470520019531
2013,3,18,14,4.909080028533936,4.66445779800415
