year,month,day,hour,UMAP1,UMAP2
2013,3,1,0,4.745437145233153,14.279072761535645
2013,3,1,1,4.738296031951904,14.274765968322752
2013,3,1,2,4.74726152420044,14.322236061096191
2013,3,1,3,4.654707908630371,14.413745880126951
2013,3,1,4,4.742778778076172,14.358047485351562
2013,3,1,5,4.786803722381592,14.386588096618652
2013,3,1,6,4.8231449127197275,14.413306236267088
2013,3,1,7,4.796529769897461,14.393478393554688
2013,3,1,8,4.8918938636779785,14.433284759521484
2013,3,1,9,4.852244853973389,14.38686180114746
2013,3,1,10,4.838198184967041,14.316780090332031
2013,3,1,11,4.927392005920409,14.216073036193848
2013,3,1,12,4.907186031341553,14.173559188842772
2013,3,1,13,4.9346280097961435,14.10822582244873
2013,3,1,14,4.919971942901611,13.927868843078612
2013,3,1,15,4.944334983825684,13.858854293823242
2013,3,1,16,4.945547580718993,13.761743545532227
2013,3,1,17,4.989529132843018,13.61737823486328
2013,3,1,18,5.079094886779785,13.511713981628416
2013,3,1,19,5.142394542694092,13.442487716674805
2013,3,1,20,5.37379264831543,13.357063293457031
2013,3,1,21,5.5364909172058105,13.291260719299316
2013,3,1,22,5.672604560852051,13.286619186401367
2013,3,1,23,5.783995628356934,13.261763572692873
2013,3,2,0,5.884973526000977,13.22969913482666
2013,3,2,1,6.209468841552734,13.233912467956541
2013,3,2,2,6.352194309234619,13.202156066894531
2013,3,2,3,6.548199176788329,13.216423034667969
2013,3,2,4,6.825297832489014,13.222386360168455
2013,3,2,5,7.314880847930909,13.245787620544432
2013,3,2,6,7.685174942016602,13.242685317993164
2013,3,2,7,8.123882293701172,13.201020240783691
2013,3,2,8,8.35210609436035,13.18253707885742
2013,3,2,9,8.392230987548828,13.175009727478027
2013,3,2,10,8.578826904296875,13.141977310180664
2013,3,2,11,8.744474411010742,13.151803970336914
2013,3,2,12,8.936389923095703,13.07894229888916
2013,3,2,13,9.092957496643066,13.087945938110352
2013,3,2,14,9.300513267517088,13.134305000305176
2013,3,2,15,9.42166519165039,13.121617317199709
2013,3,2,16,9.446950912475586,13.012104034423828
2013,3,2,17,9.599468231201172,12.933478355407715
2013,3,2,18,9.674512863159181,12.855727195739746
2013,3,2,19,9.750636100769043,12.867695808410645
2013,3,2,20,9.872909545898436,12.868919372558592
2013,3,2,21,9.884088516235352,12.869123458862305
2013,3,2,22,9.973806381225586,12.74429988861084
