year,month,day,hour,UMAP1,UMAP2
2013,3,1,0,-0.6917298436164856,8.918322563171385
2013,3,1,1,-0.6987347602844238,8.950861930847168
2013,3,1,2,-0.6598926186561584,8.891870498657225
2013,3,1,3,-0.7058495283126831,8.863860130310057
2013,3,1,4,-0.6557055115699768,8.872407913208006
2013,3,1,5,-0.7117127180099487,8.87644577026367
2013,3,1,6,-0.7139419317245483,8.839742660522463
2013,3,1,7,-0.7885059714317322,8.768464088439941
2013,3,1,8,-0.8207300901412963,8.654664039611816
2013,3,1,9,-0.8658454418182373,8.538373947143553
2013,3,1,10,-0.8747105002403259,8.45146656036377
2013,3,1,11,-0.9255484938621522,8.429346084594727
2013,3,1,12,-0.9404078125953673,8.402955055236816
2013,3,1,13,-1.0290861129760742,8.311697006225588
2013,3,1,14,-1.1294664144515991,8.244215011596678
2013,3,1,15,-1.2386744022369385,8.10787582397461
2013,3,1,16,-1.328419208526611,7.961244583129882
2013,3,1,17,-1.4776034355163574,7.82012939453125
2013,3,1,18,-1.5359388589859009,7.682948112487794
2013,3,1,19,-1.5907133817672727,7.666256427764893
2013,3,1,20,-1.7719520330429075,7.430296421051025
2013,3,1,21,-1.8397858142852783,7.237534046173095
2013,3,1,22,-1.9863374233245847,7.155242919921875
2013,3,1,23,-2.0479655265808105,7.04710865020752
2013,3,2,0,-2.142804861068725,6.98313570022583
2013,3,2,1,-2.3432388305664062,6.757727146148682
2013,3,2,2,-2.4321591854095455,6.647558212280273
2013,3,2,3,-2.5749931335449214,6.434031009674072
2013,3,2,4,-2.686103820800781,6.070736885070801
2013,3,2,5,-2.750804185867309,5.896224021911621
2013,3,2,6,-2.7423136234283447,5.752183914184569
2013,3,2,7,-2.7941677570343018,5.695838451385497
2013,3,2,8,-2.801558256149292,5.465606689453125
2013,3,2,9,-2.77398943901062,5.128518581390381
2013,3,2,10,-2.737438678741455,5.0593247413635245
2013,3,2,11,-2.674149513244629,4.936423778533936
2013,3,2,12,-2.560868978500366,4.598345756530762
2013,3,2,13,-2.552065372467041,4.409188270568848
2013,3,2,14,-2.4000875949859615,4.1967549324035645
2013,3,2,15,-2.254652738571167,4.077109336853027
