year,month,day,UMAP1,UMAP2,AQI
2013,3,1,-1.575200488169988,3.189632939795653,1.0
2013,3,2,-2.3940825363000235,0.3097344182897359,2.0
2013,3,3,-0.9240899930397669,2.519801693658034,2.0
2013,3,4,-2.53212300936381,0.5090272173207874,1.0
2013,3,5,0.014438296357790648,-1.9124607841173809,3.0
2013,3,6,0.7972458203633627,-2.390922243396441,5.0
2013,3,7,1.50738820930322,-2.6872952381769815,5.0
2013,3,8,3.110767014324665,-0.256449669599533,5.0
2013,3,9,-0.3741374245534341,3.209761291742325,2.0
2013,3,10,-2.472779999176661,0.5983046887752911,2.0
2013,3,11,-1.9995071937640507,-1.616371437907219,4.0
2013,3,12,-0.7016599029302597,1.2779320155580838,3.0
2013,3,13,-1.9082821011543274,1.9271212054300122,1.0
2013,3,14,0.0024942209323246443,-1.6616723475356896,3.0
2013,3,15,1.5159884691238403,-2.8407256404558816,5.0
2013,3,16,1.7856447050968807,-2.719985028107961,5.0
2013,3,17,0.807588699584206,-1.0309203322976828,6.0
2013,3,18,2.5847084941342473,3.539692521095276,3.0
2013,3,19,-0.5030793843325227,5.029099394877751,1.0
2013,3,20,-2.3452334900697074,1.0638115561256807,1.0
2013,3,21,0.7283466879938109,0.413645854840676,4.0
2013,3,22,0.6226699749628704,1.393096109231313,2.0
2013,3,23,-0.047468912399684406,2.9116145173708596,2.0
2013,3,24,-1.864043928682804,2.4438241198658943,1.0
2013,3,25,0.7489688222606977,6.7182586789131165,3.0
2013,3,26,0.7709544946750005,5.667373677094777,5.0
2013,3,27,0.2645080539708336,3.5436055858929953,3.0
2013,3,28,-1.2094724029302597,2.6892944872379303,1.0
2013,3,29,-3.142208824555079,-0.43048702987531823,2.0
2013,3,30,-3.5099463562170663,-1.2282861471176147,3.0
2013,3,31,-2.098005192975203,-0.9160535563714802,5.0
2013,4,1,1.6923102432241042,2.730437569320202,4.0
2013,4,2,5.038928200801213,-1.470647972698013,3.0
2013,4,3,3.9756357173124948,-1.988741174340248,3.0
2013,4,4,0.05764391086025469,0.8333401962493857,2.0
2013,4,5,0.3363891082117334,3.571874976158142,2.0
2013,4,6,-1.9453999524315198,1.2684408843827744,1.0
2013,4,7,0.7929852058490116,2.762568198144436,2.0
2013,4,8,1.0272266566753387,4.749403278032939,2.0
2013,4,9,0.2548034774760405,4.176605264345805,1.0
2013,4,10,0.40746572148054844,2.945030555129051,1.0
2013,4,11,2.8911429146925607,0.9686837792396545,2.0
2013,4,12,4.033346474170685,1.2132845322291057,2.0
