year,month,day,UMAP1,UMAP2,AQI
2013,3,1,-0.7403128842512766,5.008878986040751,1.0
2013,3,2,-0.3767595362539093,8.802073140939077,2.0
2013,3,3,0.9615878850842515,7.214540660381317,3.0
2013,3,4,0.20470449173202118,8.525975147883097,2.0
2013,3,5,2.0157422870397568,12.262699683507284,3.0
2013,3,6,1.9003813316424687,12.472488085428873,5.0
2013,3,7,2.5515762170155845,12.673053622245789,6.0
2013,3,8,6.939090400934219,11.33905585606893,5.0
2013,3,9,1.4780724843343098,7.339189728101094,3.0
2013,3,10,0.58609832637012,10.022887428601583,2.0
2013,3,11,2.3295035858949027,11.58211370309194,4.0
2013,3,12,2.002575525393089,8.290521423021952,4.0
2013,3,13,-0.015294577926397318,8.25317225853602,1.0
2013,3,14,2.287657489379247,11.556799372037252,3.0
2013,3,15,3.333991914987564,13.041056474049887,5.0
2013,3,16,3.069613436857859,12.689863403638205,5.0
2013,3,17,2.652305612961451,10.93078617254893,6.0
2013,3,18,4.317905033628146,5.001836280028026,3.0
2013,3,19,4.275661826133728,4.092796742916107,1.0
2013,3,20,4.675027867158254,9.152848422527313,2.0
2013,3,21,5.9203319152196245,8.548652191956839,4.0
2013,3,22,5.539105047782262,8.185907165209452,2.0
2013,3,23,1.7732029209534328,7.079925100008647,2.0
2013,3,24,0.09960945656833549,8.283989946047464,1.0
2013,3,25,2.1182753990093866,10.80443569024404,3.0
2013,3,26,5.93097726504008,10.074898719787598,5.0
2013,3,27,2.122995488733674,6.748390237490336,3.0
2013,3,28,0.07800949830561878,8.24543684720993,1.0
2013,3,29,1.2764032774915297,11.040486852327982,3.0
2013,3,30,2.6738851368427277,13.105392416318258,2.0
2013,3,31,2.65275647242864,12.664290269215902,4.0
2013,4,1,3.8886174460252128,7.427945494651794,4.0
2013,4,2,9.101322054862976,10.00206740697225,3.0
2013,4,3,5.905776957670848,10.548612038294474,3.0
2013,4,4,2.987060238917669,10.268866340319315,2.0
2013,4,5,2.16139846543471,6.241453250249227,2.0
2013,4,6,7.083254421750705,7.086792071660359,1.0
2013,4,7,5.962906887133916,6.745156645774841,2.0
2013,4,8,2.7656331111987433,5.7471826275189715,2.0
2013,4,9,1.8473336944977443,5.512464960416158,1.0
2013,4,10,2.0775502920150757,5.275857945283254,1.0
2013,4,11,1.8874761164188385,6.425878306229909,1.0
2013,4,12,2.179791823029518,9.023375233014425,2.0
2013,4,13,3.913907378911972,6.599231998125712,2.0
2013,4,14,8.12434701124827,7.8271986444791155,2.0
2013,4,15,9.680941343307495,10.750301480293274,2.0
2013,4,16,8.248641153176626,7.6157833735148115,2.0
2013,4,17,5.344943344593048,5.404798646767934,2.0
2013,4,18,3.7905802726745605,6.6158105333646136,1.0
2013,4,19,7.283965428670247,8.80662707487742,2.0
2013,4,20,8.60102633635203,9.350135723749796,2.0
2013,4,21,8.903315981229147,9.800022006034851,4.0
2013,4,22,8.117177307605743,10.254977265993753,4.0
2013,4,23,7.520490209261577,9.9149050116539,5.0
2013,4,24,5.357583433389664,5.854284962018331,2.0
2013,4,25,7.287763913472493,6.712747633457184,1.0
2013,4,26,9.759521007537842,10.554344137509664,2.0
2013,4,27,9.872116724650065,11.293668866157532,2.0
2013,4,28,7.191841562589009,7.7778157989184065,3.0
2013,4,29,6.267943024635315,5.090522785981496,2.0
2013,4,30,7.368206262588501,6.41561762491862,1.0
2013,5,1,9.803704539934794,9.858269254366556,2.0
2013,5,2,10.179786602656046,10.667555650075277,3.0
2013,5,3,10.266428192456564,9.853965679804483,2.0
2013,5,4,10.560632904370625,10.42589795589447,3.0
2013,5,5,10.861814697583517,11.345205028851828,5.0
2013,5,6,11.218334436416626,10.983561754226685,5.0
2013,5,7,10.538517316182455,11.552699327468872,5.0
2013,5,8,10.014203310012817,9.820865829785665,4.0
2013,5,9,10.55279290676117,6.216822425524394,2.0
2013,5,10,8.718754728635153,6.260146498680115,2.0
2013,5,11,7.730168243249257,5.305142084757487,2.0
2013,5,12,9.008451581001282,7.817697981993358,2.0
2013,5,13,9.984828790028889,10.66833265622457,3.0
2013,5,14,9.849114219347635,9.80493583281835,2.0
2013,5,15,10.392327547073364,10.588192462921143,3.0
2013,5,16,11.03581976890564,10.192270596822102,2.0
2013,5,17,11.113438645998636,10.526614785194397,3.0
2013,5,18,10.364805261294046,8.52704205115636,4.0
2013,5,19,7.665122230847676,5.4865802526474,2.0
2013,5,20,9.155161380767822,7.983602543671926,2.0
2013,5,21,9.997607270876566,11.225690762201944,3.0
2013,5,22,9.94142977396647,10.337831099828085,2.0
2013,5,23,11.583462953567505,11.538086970647177,3.0
2013,5,24,11.627051631609598,8.889518797397614,3.0
2013,5,25,13.515855232874552,8.734423696994781,2.0
2013,5,26,13.237160444259644,6.162914892037709,3.0
2013,5,27,13.171852986017862,6.0309551159540815,2.0
2013,5,28,12.239758173624674,6.16170076529185,3.0
2013,5,29,9.461538632710775,7.013635377089183,2.0
2013,5,30,10.986029068628946,9.624624331792196,2.0
2013,5,31,13.214099923769632,9.564157446225485,3.0
2013,6,1,10.922010898590088,10.398192127545675,2.0
2013,6,2,13.75402275721232,10.76361358165741,5.0
2013,6,3,14.875482281049093,8.76850446065267,3.0
2013,6,4,13.249329348405203,6.444721519947052,3.0
2013,6,5,7.674891809622447,11.943090955416361,4.0
2013,6,6,9.590616246064505,10.617063303788504,3.0
2013,6,7,9.779715597629547,9.459358354409536,3.0
2013,6,8,7.9441534876823425,11.76750902334849,5.0
2013,6,9,8.80863074461619,12.686587234338125,2.0
2013,6,10,12.448526700337728,6.286411325136821,1.0
2013,6,11,12.41996971766154,7.385675032933553,2.0
2013,6,12,13.374512235323587,9.919999241828918,2.0
2013,6,13,13.656822085380554,10.90662423769633,3.0
2013,6,14,13.645149747530619,10.756900350252787,4.0
2013,6,15,14.218511621157328,10.85490878423055,4.0
2013,6,16,13.279479225476583,7.285433312257131,5.0
2013,6,17,12.307402928670248,7.854282259941101,1.0
2013,6,18,13.154433329900106,8.370913128058115,2.0
2013,6,19,11.79911494255066,7.271773040294647,2.0
2013,6,20,12.724196791648865,8.84106695652008,2.0
2013,6,21,13.105600913365683,7.744183917840322,3.0
2013,6,22,13.014336148897806,6.666321158409119,2.0
2013,6,23,14.234923243522644,10.082107663154602,2.0
2013,6,24,15.70481789112091,5.695172687371572,5.0
2013,6,25,14.567673683166504,7.899071951707204,3.0
2013,6,26,13.668802857398987,9.770378867785135,4.0
2013,6,27,14.310736576716105,10.096531709035238,2.0
2013,6,28,15.784677902857462,5.6829033096631365,6.0
2013,6,29,14.891855239868164,7.639461855093638,3.0
2013,6,30,14.807632764180502,8.781888405481974,5.0
2013,7,1,15.9108597834905,5.701169053713481,5.0
2013,7,2,11.915201385815939,7.3180102705955505,1.0
2013,7,3,11.945923566818237,7.342048943042755,1.0
2013,7,4,11.776904225349426,6.697070638338725,1.0
2013,7,5,12.52246081829071,8.960104008515676,1.0
2013,7,6,13.749995112419128,10.298843145370483,3.0
2013,7,7,15.979968865712484,5.767604788144429,4.0
2013,7,8,14.66315766175588,7.051840583483378,5.0
2013,7,9,14.809227466583252,6.040915369987488,1.0
2013,7,10,14.783815860748291,6.03592715660731,1.0
2013,7,11,13.788491129875183,7.318779428799947,1.0
2013,7,12,13.772901892662048,9.269965251286825,2.0
2013,7,13,14.071493903795878,8.72231670220693,1.0
2013,7,14,16.117199261983234,6.387327492237091,2.0
2013,7,15,14.495356758435568,5.360251406828563,1.0
2013,7,16,14.08455248673757,6.891025205453237,1.0
2013,7,17,14.512790362040201,8.438920001188913,2.0
2013,7,18,14.358705957730612,8.65163822968801,5.0
2013,7,19,13.422202865282694,8.95509668191274,4.0
2013,7,20,13.304234743118286,8.837566574414572,2.0
2013,7,21,13.420594533284506,9.646709402402243,3.0
2013,7,22,13.78728449344635,9.166162649790445,3.0
2013,7,23,14.338837345441183,8.408671995004019,2.0
2013,7,24,13.718441168467203,7.39949647585551,1.0
2013,7,25,14.731194217999777,8.086790760358175,1.0
2013,7,26,14.729356090227762,6.265651802221934,2.0
2013,7,27,14.68925698598226,6.56910906235377,3.0
2013,7,28,14.497527003288269,8.087478339672089,2.0
2013,7,29,13.709072709083557,7.887127796808879,3.0
2013,7,30,15.888030727704367,5.787100156148274,4.0
2013,7,31,14.920864899953207,7.760253190994263,2.0
2013,8,1,14.264891425768534,7.164068102836609,1.0
2013,8,2,13.866349935531616,9.116438349088034,2.0
2013,8,3,14.770447254180908,8.645314673582712,1.0
2013,8,4,15.648821274439493,5.822090188662211,3.0
2013,8,5,14.374012351036072,8.976721207300821,2.0
2013,8,6,14.323994080225626,9.061246991157532,4.0
2013,8,7,14.70505448182424,7.174591104189555,1.0
