year,month,day,UMAP1,UMAP2,AQI
2013,3,2,11.031737407048544,9.908587137858072,2.0
2013,3,3,8.962775508562723,7.26517512400945,2.0
2013,3,4,8.211466213067373,7.904766142368317,1.0
2013,3,5,7.819229443868001,11.472549041112265,3.0
2013,3,6,8.63795151313146,10.86213489373525,5.0
2013,3,7,7.161466519037883,10.817155917485556,4.0
2013,3,8,2.3453443149725595,9.644255995750427,4.0
2013,3,10,8.07712839047114,8.355601052443186,1.0
2013,3,11,7.680464625358581,11.388342261314392,4.0
2013,3,12,8.53420756260554,8.833486219247183,4.0
2013,3,13,8.529503186543783,8.242808302243551,1.0
2013,3,14,7.717809498310089,11.421658714612326,3.0
2013,3,15,7.43829224507014,12.286546150843302,5.0
2013,3,16,7.478997786839803,12.32088259855906,5.0
2013,3,17,8.407480458418528,10.27006608247757,6.0
2013,3,18,3.844872991243998,6.297140181064606,2.0
2013,3,19,5.537007550398509,6.742622375488281,2.0
2013,3,20,7.500217020511627,8.378022412459055,1.0
2013,3,21,7.752119203408559,8.992416421572367,4.0
2013,3,22,6.366320908069611,8.81632916132609,2.0
2013,3,23,9.03684397538503,7.422566612561543,2.0
2013,3,24,9.229889472325643,7.909729897975922,1.0
2013,3,26,7.032361328601837,11.218537211418152,5.0
2013,3,27,8.667074004809061,6.936588744322459,3.0
2013,3,28,8.805130561192831,5.97819842894872,1.0
2013,3,29,8.642614245414734,9.613586266835531,2.0
2013,3,30,7.082417507966359,11.236143271128336,3.0
2013,3,31,6.018009006977081,11.105544924736025,4.0
2013,4,2,1.8077094852924347,10.98705784479777,2.0
2013,4,3,2.4009855737288794,10.249410192171732,4.0
2013,4,4,5.27984943985939,9.942458510398865,2.0
2013,4,5,8.743395686149597,6.822187900543213,2.0
2013,4,6,4.686148663361867,6.77488378683726,1.0
2013,4,7,3.694773162404696,7.287388185660045,2.0
2013,4,8,8.433258553345999,4.961464524269104,2.0
2013,4,9,8.717400391896566,5.468707740306854,1.0
2013,4,10,8.544437249501547,5.490390082200368,1.0
2013,4,12,3.527857174475988,7.429601033528645,2.0
2013,4,13,3.2950925330320997,5.105063219865163,2.0
2013,4,14,2.24833374718825,7.58720596631368,2.0
2013,4,15,2.3970679491758347,8.57265019416809,3.0
2013,4,16,3.477876514196396,6.775332093238831,2.0
2013,4,17,7.347635567188263,7.132602512836456,2.0
2013,4,18,8.186390062173208,6.301611761252086,1.0
2013,4,19,3.441821446021398,9.052586356798807,2.0
2013,4,20,2.657534072796504,9.482245763142904,2.0
2013,4,21,4.043171554803848,11.579978028933208,3.0
2013,4,22,6.294529537359874,11.81934912999471,5.0
2013,4,23,4.400943756103516,10.002426008383432,5.0
2013,4,24,3.3693633675575256,4.966030915578206,2.0
2013,4,25,2.397154475251833,6.144977331161499,1.0
2013,4,26,1.6250285804271698,9.762229005495708,2.0
2013,4,27,1.5028977344433467,10.369322299957275,2.0
2013,4,28,6.136836921175321,7.338153272867203,2.0
2013,4,29,3.074059267838796,4.118766913811366,1.0
2013,5,3,0.6968599110841751,10.957717458407084,2.0
2013,5,4,0.2129478051016728,11.254085262616476,3.0
2013,5,5,1.10532056974868,12.314619263013205,4.0
2013,5,6,-0.9641013393799464,12.140736699104307,5.0
2013,5,7,1.37966242680947,11.87572999795278,4.0
2013,5,9,2.159893898914257,6.975058495998383,2.0
2013,5,10,0.3250218735386928,4.277731736501058,1.0
2013,5,12,0.9590958033998808,7.067603747049968,2.0
2013,5,13,1.0750533634175856,9.145181675752005,2.0
2013,5,15,0.5216701955068855,10.346044222513834,2.0
2013,5,16,0.5608111427476009,10.907915393511454,2.0
2013,5,17,0.9733596170941988,10.61566686630249,4.0
2013,5,18,1.7163827046751976,8.917703906695047,4.0
2013,5,19,2.9699472784996037,5.579126874605815,2.0
2013,5,20,0.9673623417814572,8.929044663906097,2.0
2013,5,21,0.2124937732393542,11.029237151145937,3.0
2013,5,22,0.7809860619405905,9.984967350959776,3.0
2013,5,23,0.7613961496390402,9.475080688794453,2.0
2013,5,24,-1.3236908875405788,7.702092031637828,2.0
2013,5,25,-0.581855744899561,10.13632877667745,2.0
2013,5,26,-1.7393774623051286,8.756594697634378,3.0
2013,5,27,-4.916609346866608,7.275587280591329,2.0
2013,5,28,-0.5865466309090456,5.951902727286021,2.0
2013,5,29,-0.7837230898439884,6.52089657386144,1.0
2013,5,30,-0.3884721155433605,10.500889341036478,2.0
2013,5,31,-0.37167668560384,9.871911903222404,3.0
2013,6,2,1.2068262100219729,10.766435543696083,5.0
2013,6,3,-4.21139228840669,10.690760850906372,3.0
2013,6,4,-6.512780805428823,10.027138868967691,3.0
2013,6,5,-6.312407513459523,11.97885807355245,3.0
2013,6,6,-6.315875152746837,10.601892312367758,3.0
2013,6,7,-6.254949569702148,10.32854147752126,4.0
2013,6,8,-2.4488280477623143,8.857656796773275,3.0
2013,6,9,-2.883380480731527,6.074903726577759,1.0
2013,6,10,-1.1108026653528214,7.187414646148682,1.0
2013,6,11,-1.8423833002646763,8.928938706715902,2.0
2013,6,12,-1.7103678633769352,11.029964764912924,2.0
2013,6,13,-1.9173249651988349,11.959968646367392,4.0
2013,6,14,-1.7482213874657948,11.911364674568176,4.0
2013,6,15,-2.465062315265337,11.9397824605306,4.0
2013,6,16,-4.617215186357498,8.708336194356283,5.0
2013,6,17,-3.0404187639554343,7.422505021095276,2.0
2013,6,18,-2.686913539965948,7.506973067919413,1.0
2013,6,19,-2.0324106216430664,7.203718324502309,1.0
2013,6,20,-2.1190998603900275,7.54358967145284,2.0
2013,6,21,-3.384108712275823,7.264718731244405,2.0
2013,6,22,-4.405902604262034,6.128542979558309,1.0
2013,6,23,-3.2581104238828025,8.98175154129664,1.0
2013,6,24,-4.823508679866791,8.95930677652359,3.0
2013,6,25,-4.619665622711182,8.3851753671964,2.0
2013,6,26,-3.200066238641739,9.142275432745617,3.0
2013,6,27,-3.652784069379171,8.817836006482443,2.0
2013,6,28,-6.317023575305939,8.941580971082052,5.0
2013,6,29,-5.145188868045807,10.012460668881731,2.0
2013,7,3,-3.3239585061868038,4.374827444553375,1.0
2013,7,4,-2.9040156304836278,4.91366461912791,1.0
2013,7,5,-3.1777336498101554,7.044519384702046,1.0
2013,7,6,-5.829293062289556,9.029384851455688,2.0
2013,7,7,-4.199218034744263,8.801538050174713,2.0
2013,7,8,-5.2808108528455096,6.964957892894745,2.0
2013,7,9,-4.931696355342865,5.936463336149852,2.0
2013,7,10,-4.888290067513784,5.919119914372762,1.0
2013,7,13,-3.807206869125366,10.38248852888743,4.0
2013,7,14,-6.42007048924764,9.05118997891744,4.0
2013,7,15,-5.505083382129669,5.951409955819448,1.0
2013,7,17,-3.5791298349698386,8.731418788433075,1.0
2013,7,18,-4.4353780547777815,9.909245252609251,4.0
2013,7,19,-4.198395371437073,7.924856046835582,3.0
2013,7,20,-3.8679921428362527,8.539451956748962,2.0
2013,7,21,-4.087203611930211,9.62027661005656,3.0
2013,7,22,-4.206505507230759,9.922911206881205,3.0
2013,7,23,-3.0969081123669944,7.410093526045482,2.0
2013,7,24,-3.0144730110963187,5.61492516597112,1.0
2013,7,25,-3.5207676887512207,7.659270624319713,1.0
2013,7,26,-5.409196694691976,6.953356822331746,2.0
2013,7,27,-4.793363958597183,6.180866003036499,2.0
2013,7,28,-3.6322158873081207,5.661071717739105,1.0
2013,7,29,-4.360899418592453,7.857128262519836,2.0
2013,7,30,-6.409321089585622,9.626789828141533,3.0
2013,7,31,-6.38091641664505,8.552127917607626,1.0
2013,8,1,-4.736251334349315,7.503758271535237,1.0
2013,8,2,-4.972614293297132,8.515226821104685,2.0
2013,8,3,-3.2503522634506226,7.990588366985321,1.0
2013,8,4,-5.740772018829982,8.631334940592447,1.0
2013,8,5,-3.3252729773521423,9.0161874294281,1.0
2013,8,6,-6.272174576918284,9.094886183738708,3.0
2013,8,7,-3.8648487627506256,6.163354913393657,1.0
2013,8,8,-2.6796465615431466,6.652892529964447,1.0
2013,8,9,-3.174621403217316,7.043526768684387,1.0
2013,8,10,-4.241353064775467,10.32325267791748,3.0
2013,8,11,-5.723884046077728,8.525344590346018,4.0
2013,8,12,-3.9483702480793,9.387757062911987,2.0
2013,8,13,-4.39982611934344,9.674013296763102,3.0
2013,8,14,-3.79911478360494,10.033008734385172,2.0
2013,8,15,-4.537111153205236,8.886955698331198,3.0
2013,8,16,-5.2560513118902845,5.709438681602478,4.0
2013,8,17,-3.0156539479891458,5.271944642066956,1.0
2013,8,18,-2.823446005582809,6.1491138736406965,1.0
2013,8,19,-3.358720382054647,7.229111572106679,1.0
2013,8,20,-2.595017686486244,8.348427414894104,2.0
2013,8,21,-3.928659369548162,8.64546169837316,3.0
2013,8,22,-4.232548892498016,6.321763118108113,3.0
2013,8,23,-2.4941442012786865,6.033973256746928,1.0
2013,8,24,-2.572052915891012,6.467333436012268,1.0
2013,8,25,-2.3795734693606696,8.116973916689554,1.0
2013,8,26,-2.716167002916336,9.268576900164286,2.0
2013,8,27,-6.165194710095723,8.708045899868011,2.0
2013,8,28,-5.549268285433452,6.1322464148203535,2.0
2013,8,29,-4.852501372496287,4.69724561770757,1.0
2013,8,31,-2.15839958190918,6.247438033421834,1.0
2013,9,1,-2.2520096947749457,6.6062435905138654,1.0
2013,9,2,-2.174860750635465,8.903924326101938,2.0
2013,9,3,-6.3109617829322815,9.453637997309366,2.0
2013,9,4,-3.400790481517712,7.471836189428965,2.0
2013,9,5,-1.9637180815140407,7.001608053843181,1.0
2013,9,6,-0.9746411715944608,7.852816224098206,2.0
2013,9,7,-1.753781373302142,7.011051595211029,2.0
2013,9,8,-5.805918381238977,9.003746072451273,2.0
2013,9,9,-1.6104381643235683,7.969124476114909,2.0
2013,9,10,-1.5520885065197945,6.383955339590709,2.0
2013,9,11,-0.9149448644408644,9.435686270395914,2.0
2013,9,12,-6.316122492154439,8.942122459411621,4.0
2013,9,13,-2.6629533829788365,6.718485673268636,3.0
2013,9,14,-0.3405110600094,6.479725857575734,1.0
2013,9,15,1.8972683548927307,8.371916194756826,1.0
2013,9,16,2.0551733871301017,8.437392274538675,2.0
2013,9,17,-1.7793403814236324,9.613447686036428,2.0
2013,9,18,-1.8964728340506556,8.588406304518381,3.0
2013,9,19,-0.8095587367812792,7.492643594741821,3.0
2013,9,20,-1.3400383790334065,6.583479086558024,1.0
2013,9,21,0.2269043310855826,8.459358990192413,1.0
2013,9,22,1.0905371854702632,7.210032562414805,2.0
2013,9,23,0.4429545647775133,5.879705568154653,1.0
2013,9,24,0.0784022398293018,5.43549261490504,1.0
2013,9,25,0.3511436593641217,6.343350807825725,1.0
2013,9,26,2.2068785528341928,9.00863222281138,1.0
2013,9,27,2.163558639585972,12.55138619740804,3.0
2013,9,28,4.044520666201909,13.533548474311829,6.0
2013,9,29,4.354785670836766,11.684051513671877,5.0
2013,11,14,6.368475536505382,7.900056918462117,2.0
2013,11,15,7.093676904837291,9.090099215507507,2.0
2013,11,17,9.503544767697653,3.636491199334463,1.0
2013,11,19,8.601263880729675,8.20768771568934,1.0
2013,11,20,8.290899058183035,9.394933104515076,2.0
2013,11,21,11.01922857761383,9.58755373954773,2.0
2013,11,22,10.436445911725365,10.176390806833902,3.0
2013,11,23,8.353989243507385,7.760551114877065,2.0
2013,11,24,8.395239432652792,5.51637198527654,2.0
2013,11,25,9.686030626296995,4.687735964854558,1.0
2013,11,26,10.148364901542664,3.4306936959425607,1.0
2013,11,28,10.534538666407268,6.16112486521403,1.0
2013,11,29,10.405720869700112,8.166678806145987,1.0
2013,11,30,10.386510809262594,8.174513300259909,1.0
2013,12,1,10.7915829817454,8.991205215454102,1.0
2013,12,2,10.10317293802897,9.63819686571757,3.0
2013,12,3,10.43982712427775,8.531881292661032,2.0
2013,12,4,10.070565303166708,8.381425182024637,2.0
2013,12,5,10.94252852598826,8.585356255372366,1.0
2013,12,6,11.101824124654136,11.025894006093344,2.0
2013,12,7,10.105379819869995,11.180750966072084,5.0
2013,12,8,9.095614155133564,7.361050605773926,3.0
2013,12,9,10.027838428815205,5.736312250296275,1.0
2013,12,11,9.808180610338846,4.777472148338954,1.0
2013,12,13,10.824252724647522,8.208368003368378,1.0
2013,12,14,11.686020970344543,8.22368590037028,1.0
2013,12,15,11.462430477142334,10.334125757217407,2.0
2013,12,16,10.054384311040245,10.179803927739462,3.0
2013,12,17,10.9774782260259,6.585825006167094,2.0
2013,12,18,11.224897066752115,7.987945357958476,1.0
2013,12,19,10.96361792087555,7.1522413690884905,1.0
2013,12,20,11.339810411135357,6.937801976998647,1.0
2013,12,21,11.372958660125732,10.326629042625427,2.0
2013,12,22,10.890543301900228,10.718186895052591,3.0
2013,12,23,11.356980284055076,10.612431287765505,3.0
2013,12,24,10.39038860797882,11.517397284507751,4.0
2013,12,25,10.021347284317017,7.574186742305756,5.0
2013,12,26,11.582605918248497,5.862628757953644,1.0
2013,12,27,11.039220372835794,6.842665513356526,1.0
2013,12,29,10.579362233479817,7.449612518151601,1.0
2013,12,30,8.446157336235046,6.323786119620006,2.0
2013,12,31,8.361932555834452,6.1560419003168745,2.0
2014,1,1,10.874361038208008,8.579822103182474,2.0
2014,1,2,9.80915641784668,9.305286546548208,3.0
2014,1,3,10.917548855145771,8.776026427745819,2.0
2014,1,4,9.598032156626385,10.039788881937662,3.0
2014,1,5,11.41514734427134,10.049013912677763,2.0
2014,1,6,10.269764622052511,10.85009249051412,4.0
2014,1,7,10.12039864063263,5.548846979935964,2.0
2014,1,9,11.458256800969442,8.056804557641348,1.0
2014,1,10,11.0249205827713,8.875841617584229,2.0
2014,1,11,10.167576869328816,8.277570764223734,2.0
2014,1,12,11.475769917170206,8.201114773750305,1.0
2014,1,13,10.455899874369305,9.27731438477834,2.0
2014,1,14,11.384868184725445,10.211641271909077,2.0
2014,1,15,10.86477522055308,10.847487886746723,3.0
2014,1,16,10.461941679318745,10.813343326250711,5.0
2014,1,17,10.355667670567833,7.633229374885559,4.0
2014,1,18,11.38859442869822,10.300561030705769,2.0
2014,1,19,9.74363680680593,7.241611609856288,3.0
2014,1,21,11.273126443227133,8.513715406258902,1.0
2014,1,24,9.713836590449016,7.560025850931804,4.0
2014,1,26,10.889601389567057,9.662561138470968,2.0
2014,1,27,10.00912849108378,8.126113057136536,3.0
2014,1,28,10.8954735994339,9.300357341766356,2.0
2014,1,29,9.90013070901235,9.279934823513033,3.0
2014,1,31,12.591615041097006,11.473845402399698,4.0
2014,2,1,10.72502593199412,10.504287203152977,5.0
2014,2,5,10.552740891774496,9.351807594299316,3.0
2014,2,9,11.578596949577332,6.276053547859192,1.0
2014,2,10,11.69206190109253,7.979355911413829,1.0
2014,2,11,11.226651549339294,9.805303335189818,3.0
2014,2,12,11.788472970326742,10.89763049284617,3.0
2014,2,13,12.045533259709677,12.683730562527977,5.0
2014,2,14,12.095218261082968,13.312129100163778,6.0
2014,2,15,12.170429905255636,13.601796428362528,6.0
2014,2,16,11.7454274892807,12.259744962056478,5.0
2014,2,17,10.774376471837362,10.775190909703571,4.0
2014,2,18,10.06612757841746,9.756966988245646,3.0
2014,2,19,11.330682396888731,9.469383835792542,2.0
2014,2,20,11.803693970044456,13.107813477516174,5.0
2014,2,21,12.031314929326376,13.562042633692425,6.0
2014,2,22,12.211958289146423,13.907370964686075,6.0
2014,2,23,12.240057269732157,13.958460132280983,6.0
2014,2,27,11.193634192148844,7.842865506807963,1.0
2014,2,28,9.271045168240866,9.898908376693726,3.0
2014,3,1,10.286365469296774,9.033248901367188,2.0
2014,3,2,11.479865511258444,11.445010542869568,3.0
2014,3,3,9.563825408617657,10.72772475083669,5.0
2014,3,5,10.884531299273172,5.300815602143605,1.0
2014,3,6,11.367731173833212,5.700047850608826,1.0
2014,3,7,11.206671754519144,8.53890021642049,1.0
2014,3,8,9.893402496973671,8.828969875971476,3.0
2014,3,9,9.259507973988852,10.487709601720177,3.0
2014,3,10,8.51152757803599,11.034468015034994,3.0
2014,3,11,9.114587167898812,7.795944313208262,4.0
2014,3,12,7.138767600059509,4.403477450211843,1.0
2014,3,13,4.4736358026663465,4.411837756633759,2.0
2014,3,14,3.293547491232554,7.089747091134389,2.0
2014,3,15,5.853854874769847,10.59594957033793,3.0
2014,3,16,3.231461703777313,10.671743988990784,4.0
2014,3,17,3.8467162450154624,5.406691789627075,4.0
2014,3,18,4.424544076124827,7.341128329435985,2.0
2014,3,19,8.083990971247355,5.87069837252299,2.0
2014,3,20,6.6957146525383,4.464592198530833,1.0
2014,3,21,2.905104766289393,5.188077648480733,1.0
2014,3,22,2.531158690651258,7.712514062722524,1.0
2014,3,23,1.505690390865008,11.950272798538208,4.0
2014,3,24,1.419844686985016,12.35103710492452,5.0
2014,3,25,1.3598931729793549,12.381823897361755,5.0
2014,3,26,2.559200346469879,12.89235019683838,5.0
2014,3,27,4.227394898732503,11.848275979359943,6.0
2014,3,28,3.3763774037361145,6.025521953900655,3.0
2014,3,29,2.4265313843886056,5.009756684303284,2.0
2014,3,30,2.1837801933288574,7.313525418440501,1.0
2014,3,31,0.6167446381102005,10.051063378651936,2.0
2014,4,1,1.8043454885482788,8.779889464378357,3.0
2014,4,2,5.228978057702382,7.122994263966878,3.0
2014,4,3,3.701185176769892,5.6029099225997925,1.0
2014,4,4,3.7263790468374887,4.807280639807384,2.0
2014,4,5,2.650274922450384,5.118294874827067,1.0
2014,4,6,2.025103951493899,7.538082083066304,2.0
2014,4,7,1.045753205815951,11.300596396128336,3.0
2014,4,8,1.5378342966238658,12.157058159510294,5.0
2014,4,9,2.818204909563065,10.914073586463928,4.0
2014,4,10,3.876886367797852,9.077081084251404,5.0
2014,4,11,2.5338754107554755,9.066248695055643,2.0
2014,4,12,1.0018646431465943,10.973281701405844,3.0
2014,4,13,1.0963131015499432,12.286332249641418,4.0
2014,4,14,1.3363750378290813,12.455865263938904,6.0
2014,4,15,2.539630005757014,9.62397015094757,4.0
2014,4,16,3.1493569711844125,8.613768061002096,2.0
2014,4,17,1.8425874610741928,9.722129265467323,3.0
2014,4,18,2.0658884420990944,9.877036333084106,4.0
2014,4,19,2.5226641595363617,7.726107021172841,2.0
2014,4,20,2.337970723708471,5.087651232878367,1.0
2014,4,21,2.1715345879395804,5.184759338696797,1.0
2014,4,22,1.4245388054599364,8.360819419225058,2.0
2014,4,23,0.3724401341751218,10.94518538316091,3.0
2014,4,24,0.5613918453454971,11.300687948862713,4.0
2014,4,25,1.3131343126296997,8.841691037019094,4.0
2014,4,26,2.036587481697401,5.73866190512975,2.0
2014,4,27,1.4266069903969765,7.365258793036143,2.0
2014,4,28,-1.2224130928516386,10.62896132469177,3.0
2014,5,1,1.3740050569176674,8.248652656873068,3.0
2014,5,2,2.426051914691925,4.909873962402344,1.0
2014,5,3,3.5941992501417794,4.742096443970998,1.0
2014,5,4,3.029294898112615,4.432319184144338,1.0
2014,5,5,2.27761372923851,6.489395439624786,1.0
2014,5,6,2.3870351562897363,8.400988976160685,2.0
2014,5,8,1.0101681624849637,10.621502796808878,2.0
2014,5,9,2.026685565710068,9.5593691666921,2.0
2014,5,10,1.5273144741853075,6.8050073981285095,2.0
2014,5,11,-1.576809490720431,4.508755644162496,1.0
2014,5,12,0.9242562800645828,5.832832495371501,1.0
2014,5,13,3.152314394712448,4.947572549184163,2.0
2014,5,14,1.754602422316869,5.054070075352986,1.0
2014,5,15,2.294351890683174,6.6396229068438215,2.0
2014,5,16,-1.40140068034331,8.283972303072611,2.0
2014,5,17,-1.6053672780593236,10.098804910977682,2.0
2014,5,18,-3.674902498722077,10.068427999814352,2.0
2014,5,19,-2.132801115512848,9.49599951505661,3.0
2014,5,20,-1.5884478042523067,8.968169867992401,2.0
2014,5,21,-1.9945354064305625,11.933804114659628,3.0
2014,5,23,-3.775063435236613,9.675370931625366,2.0
2014,5,24,-0.2397446533044178,7.025130053361257,2.0
2014,5,25,2.171009016533693,4.495689491430919,2.0
2014,5,26,1.2487888659040134,4.071267197529475,1.0
2014,5,27,1.6654293239116669,4.569516221682231,2.0
2014,5,28,-2.3679166585206985,7.287961761156718,1.0
2014,5,29,-1.665745844443639,8.195274591445923,1.0
2014,5,30,-2.4020116279522576,12.002158721288046,3.0
2014,6,2,-2.424769788980484,6.983157932758331,1.0
2014,6,3,-2.0929475824038186,9.10296787818273,1.0
2014,6,4,-2.1963611344496408,9.284560978412628,2.0
2014,6,5,-4.410609592994054,9.126814564069113,2.0
2014,6,7,-1.815391182899475,4.780351559321086,1.0
2014,6,8,-2.1583287517229715,5.773392617702484,1.0
2014,6,10,-1.3825364485383034,7.691221872965495,2.0
2014,6,11,-1.9868258585532503,6.323189218839009,1.0
2014,6,12,-2.308138837416967,7.395585298538208,1.0
2014,6,13,-4.881585399309794,8.246499121189117,1.0
2014,6,14,-2.1464395771423974,9.002574960390726,1.0
2014,6,15,-2.3872377574443817,9.80619700749715,2.0
2014,6,16,-3.813947816689809,9.857942382494608,2.0
2014,6,17,-5.099430094162623,7.711655835310618,2.0
2014,6,18,-2.7255974213282266,8.564741353193918,2.0
2014,6,19,-4.683403889338176,8.868811190128326,3.0
2014,6,20,-2.2199282199144363,8.414516985416412,1.0
2014,6,21,-4.305009399851163,8.303426265716553,2.0
2014,6,22,-2.440734714269638,7.1965359052022295,1.0
2014,6,23,-2.208908036351204,8.246573865413666,1.0
2014,6,24,-2.5076887706915536,10.34611407915751,1.0
2014,6,25,-2.432425587127606,10.21293079853058,3.0
