year,month,day,UMAP1,UMAP2,AQI
2013,3,1,9.214928984642029,-2.2781336158514023,1.0
2013,3,2,11.567084829012552,0.3010039354364077,2.0
2013,3,3,9.553382873535156,0.6541539747267962,3.0
2013,3,4,12.135290185610453,-0.6065277457237244,2.0
2013,3,5,13.671615600585938,1.40739968419075,4.0
2013,3,6,13.62738080819448,1.9468713998794556,5.0
2013,3,7,12.58884765704473,1.3149193227291107,5.0
2013,3,8,3.76830193400383,-1.2642254382371902,5.0
2013,3,9,8.42518170674642,-0.787251869837443,3.0
2013,3,10,12.229949474334717,-0.8340637547274431,2.0
2013,3,11,11.381011327107748,1.4969034740546097,4.0
2013,3,12,8.592977086702982,0.7749617743926743,4.0
2013,3,13,11.357006192207336,-1.4498915448784828,2.0
2013,3,14,13.899850765864054,0.0882111882480482,3.0
2013,3,15,14.288625121116638,0.6521006574233373,5.0
2013,3,16,14.287909189860024,0.573163777589798,5.0
2013,3,17,10.909794489542644,1.491396392385165,6.0
2013,3,18,5.9730663895607,-0.877107162688238,2.0
2013,3,19,5.44672441482544,0.13486091264834,2.0
2013,3,20,6.735344568888347,1.8730607355634368,2.0
2013,3,21,6.8492969671885175,1.516445815563202,4.0
2013,3,22,7.250337382157643,0.5120494903530926,3.0
2013,3,23,7.235575020313263,-0.8053198456764221,2.0
2013,3,24,9.319881319999697,0.069096073663483,1.0
2013,3,26,9.037261486053469,3.071620792150497,5.0
2013,3,27,7.848563094933827,-0.3943376032014687,3.0
2013,3,28,9.292989571889242,0.1116887275129556,2.0
2013,3,29,10.178861260414124,1.7710495442152023,2.0
2013,3,30,8.966575702031454,2.804890195528666,2.0
2013,3,31,9.103195945421854,2.760212461153666,5.0
2013,4,1,6.207083413998286,-0.5502453812708458,3.0
2013,4,2,0.3859217638770739,-1.762196347117424,3.0
2013,4,3,6.543552712847789,0.5862203786770503,4.0
2013,4,4,8.947975436846415,2.362072914838791,2.0
2013,4,5,7.266233225663503,-0.519995616748929,2.0
2013,4,8,5.2210708657900495,-1.9407929529746373,2.0
2013,4,9,7.072047313054402,-1.6627088834842043,1.0
2013,4,10,4.112709254026413,-0.5253415387123823,1.0
2013,4,11,3.3431182205677032,-0.3750900731732448,2.0
2013,4,16,2.6279109244545302,-0.9805164287487664,2.0
2013,4,17,6.129321734110515,-0.8813875938455263,2.0
2013,4,18,6.068861524264018,-0.4808767371190091,1.0
2013,4,19,4.2259257435798645,1.0118113458156586,2.0
2013,4,20,2.5140466541051865,0.5365692450044056,2.0
2013,4,21,4.652421897490664,0.8361725409825643,4.0
2013,4,22,8.91151762008667,3.39591967066129,5.0
2013,4,23,5.485982944567998,3.0110299264391265,5.0
2013,4,24,3.665208180745443,-0.5853574198360244,3.0
2013,4,25,2.418911049763361,-0.1928879315188775,2.0
2013,4,26,0.015726501471363,-1.0050082405408225,2.0
2013,4,27,0.0625848107350369,-1.511436919371287,2.0
2013,4,28,2.9477224300305047,-1.2800032049417496,2.0
2013,4,29,3.1973453164100647,-1.1181773791710536,2.0
2013,4,30,2.486754074692726,-0.8163754432462156,2.0
2013,5,1,0.0300870137289166,-0.7563037403548757,2.0
2013,5,2,-0.1855767890034864,-1.5030516584714253,2.0
