year,month,day,UMAP1,UMAP2,AQI
2013,3,1,-0.5253525649507841,6.414697349071503,1.0
2013,3,2,-0.2641800176352262,10.283344586690268,2.0
2013,3,3,1.794826939702034,9.050852497418722,3.0
2013,3,4,-1.2233681480089824,10.059760689735413,2.0
2013,3,5,-0.0503833369196702,13.70581034819285,4.0
2013,3,6,0.0069330521509982,13.66322640577952,5.0
2013,3,7,0.4365998630722363,13.468518058458963,6.0
2013,3,8,8.03255939980348,9.699573675791422,5.0
2013,3,9,2.6664875489659607,6.067217449347178,3.0
2013,3,10,-1.7869287009040515,9.503166238466898,2.0
2013,3,11,1.0749261776606245,10.879292011260986,3.0
2013,3,12,2.217206135392189,9.050955990950266,4.0
2013,3,13,-1.1869199449817338,8.35494033495585,1.0
2013,3,14,-1.2284541465342045,11.725318312644958,3.0
2013,3,15,-0.4606650068114201,13.412424166997274,5.0
2013,3,16,-0.665556309123834,13.626688758532206,5.0
2013,3,17,1.7009178418666124,10.921835045019783,6.0
2013,3,18,1.854408413171768,5.948155124982198,2.0
2013,3,19,0.3031488507986069,6.35715518395106,2.0
2013,3,20,1.1046993384758632,8.834900538126627,2.0
2013,3,21,4.450409273306529,9.040274262428284,4.0
2013,3,22,3.8777168095111847,8.555400868256887,3.0
2013,3,23,1.922663951913516,7.797030051549275,2.0
2013,3,24,0.4747725486134489,9.181211988131205,1.0
2013,3,26,8.03113317489624,10.692217906316122,5.0
2013,3,27,2.0114738245805106,7.397687117258708,3.0
2013,3,28,0.4708604682236909,9.18241153160731,1.0
2013,3,29,0.7038841371734937,10.774162809054056,3.0
2013,3,30,6.803218002120654,11.368413805961609,2.0
2013,3,31,4.0671334862709045,11.148371775945028,5.0
2013,4,1,1.3900570273399353,8.732435643672943,3.0
2013,4,2,7.37101594855388,11.381305853525795,3.0
2013,4,3,7.381253386537234,10.69650669892629,4.0
2013,4,4,2.4388714532057443,10.547904372215273,2.0
2013,4,5,1.992499157786369,7.195341447989146,2.0
2013,4,6,0.9078698394199212,8.787415305773417,1.0
2013,4,7,4.938691566387813,6.920784691969554,3.0
2013,4,8,4.583899532755216,5.929786344369252,2.0
