year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-1.58,3.19,1.0,3.0,3.0,7.54,12.38,15.96,12.35,339.13,78.22,0.02,1023.78,-21.94,0.0,2.93,Huairou
2013,3,2,-2.39,0.31,2.0,1.0,1.0,32.71,41.38,40.01,49.85,765.17,35.01,-0.99,1023.69,-16.24,0.0,1.58,Huairou
2013,3,3,-0.92,2.52,2.0,1.0,1.0,57.62,80.75,38.29,48.04,945.83,27.83,3.91,1011.39,-12.48,0.0,1.77,Huairou
2013,3,4,-2.53,0.51,1.0,1.0,4.0,19.11,45.88,25.71,35.12,524.96,55.92,7.11,1014.49,-13.1,0.0,1.89,Huairou
2013,3,5,0.01,-1.91,3.0,1.0,5.0,106.14,121.33,52.0,68.48,1345.32,87.96,5.68,1007.92,-8.65,0.0,1.32,Huairou
2013,3,6,0.8,-2.39,5.0,2.0,5.0,167.62,195.38,65.79,86.58,2095.62,80.38,5.47,1004.48,-5.6,0.0,1.24,Huairou
2013,3,7,1.51,-2.69,5.0,2.0,5.0,206.42,241.82,64.0,121.67,2466.38,63.58,7.63,999.4,-3.99,0.0,1.33,Huairou
2013,3,8,3.11,-0.26,5.0,1.0,5.0,194.88,232.25,58.56,88.81,2303.91,85.79,8.82,996.52,-2.75,0.0,2.32,Huairou
2013,3,9,-0.37,3.21,2.0,0.0,4.0,52.12,142.75,29.57,33.43,804.35,102.5,6.2,1001.3,-11.9,0.0,3.97,Huairou
2013,3,10,-2.47,0.6,2.0,0.0,4.0,43.62,68.92,32.25,46.58,762.5,90.54,3.73,1017.32,-14.14,0.0,1.74,Huairou
2013,3,11,-2.0,-1.62,4.0,1.0,5.0,119.54,141.88,73.0,72.38,1295.67,70.96,4.88,1010.81,-8.55,0.0,1.4,Huairou
2013,3,12,-0.7,1.28,3.0,3.0,1.0,106.54,104.67,29.83,81.75,1208.17,41.88,4.94,1005.86,-0.71,0.06,1.63,Huairou
2013,3,13,-1.91,1.93,1.0,0.0,4.0,10.58,16.46,15.08,19.25,322.73,85.46,2.45,1019.56,-13.34,0.0,2.75,Huairou
