year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,4.99,13.99,1.0,3.0,3.0,8.62,14.46,8.88,21.58,450.0,68.08,1.32,1028.78,-21.47,0.0,3.31,Tiantan
2013,3,2,8.5,13.07,2.0,1.0,5.0,31.71,37.04,27.17,50.48,934.78,34.04,0.49,1028.85,-16.96,0.0,0.79,Tiantan
2013,3,3,8.31,13.67,3.0,1.0,5.0,98.04,121.33,55.62,82.96,2028.96,16.92,4.99,1016.46,-12.31,0.0,1.22,Tiantan
2013,3,4,8.26,11.8,2.0,1.0,5.0,22.33,37.58,16.58,42.04,895.79,53.12,10.56,1019.45,-14.0,0.0,2.5,Tiantan
2013,3,5,12.51,12.43,4.0,1.0,5.0,141.67,156.38,74.33,101.67,2408.0,94.0,7.21,1012.7,-7.78,0.0,0.91,Tiantan
2013,3,6,12.18,13.15,5.0,2.0,5.0,193.71,206.33,96.39,126.96,3069.17,75.33,8.0,1009.3,-5.38,0.0,0.78,Tiantan
2013,3,7,12.26,12.75,6.0,2.0,5.0,257.5,278.29,72.67,134.08,4416.29,55.29,9.26,1004.11,-2.55,0.0,1.17,Tiantan
2013,3,8,11.94,8.24,5.0,1.0,5.0,198.86,220.73,51.47,110.94,3371.05,102.46,9.66,1001.33,-2.5,0.0,1.68,Tiantan
2013,3,9,6.51,12.28,3.0,3.0,3.0,60.33,206.3,26.62,41.62,1387.29,88.92,7.23,1006.13,-12.1,0.0,4.0,Tiantan
2013,3,10,8.24,11.82,2.0,0.0,5.0,38.29,66.5,20.67,44.79,830.35,89.75,5.79,1022.5,-15.11,0.0,2.33,Tiantan
2013,3,11,10.55,12.02,4.0,1.0,5.0,122.04,143.83,82.58,73.33,1449.88,88.08,7.18,1015.58,-7.65,0.0,1.52,Tiantan
2013,3,12,8.26,13.92,4.0,3.0,3.0,126.96,120.25,26.42,69.29,2028.79,47.42,5.1,1010.8,1.12,0.22,1.18,Tiantan
2013,3,13,7.56,12.01,1.0,0.0,4.0,16.92,22.67,12.67,32.04,600.0,74.0,4.36,1024.75,-11.82,0.0,2.02,Tiantan
2013,3,14,11.06,12.41,3.0,1.0,5.0,83.88,98.42,56.13,61.92,1366.43,78.46,3.96,1023.47,-4.99,0.0,1.86,Tiantan
2013,3,15,12.69,13.03,5.0,1.0,5.0,189.71,213.88,56.71,88.71,2249.62,62.75,5.87,1016.39,-1.32,0.0,0.94,Tiantan
2013,3,16,12.65,12.73,5.0,1.0,5.0,247.79,234.79,69.25,83.25,2453.75,88.54,9.63,1018.64,-0.26,0.0,1.78,Tiantan
2013,3,17,9.7,14.66,6.0,2.0,0.0,289.5,275.04,59.62,100.21,2687.12,103.92,9.97,1003.75,2.35,0.0,1.12,Tiantan
2013,3,18,5.83,10.11,2.0,3.0,3.0,72.92,98.21,12.71,40.25,952.09,93.29,8.17,1003.12,-10.99,0.0,3.86,Tiantan
2013,3,19,5.82,9.54,2.0,3.0,3.0,43.54,39.79,10.96,44.62,891.67,27.79,2.19,1010.85,-2.47,0.18,2.07,Tiantan
2013,3,20,8.03,10.85,2.0,3.0,1.0,57.5,44.38,10.29,36.79,1024.96,40.75,1.76,1019.26,-4.14,0.25,1.89,Tiantan
2013,3,21,9.16,11.36,4.0,1.0,1.0,134.71,131.92,28.92,69.17,1399.71,25.21,4.52,1006.81,-3.0,0.0,1.71,Tiantan
2013,3,22,8.74,11.04,3.0,3.0,1.0,76.67,109.5,25.04,47.54,969.57,57.78,6.32,1013.68,-6.19,0.0,2.41,Tiantan
2013,3,23,7.15,14.04,2.0,3.0,3.0,51.33,74.38,28.79,51.33,1237.42,35.62,4.47,1010.57,-7.76,0.0,3.29,Tiantan
2013,3,24,8.08,12.0,1.0,3.0,1.0,15.92,26.71,10.33,31.0,465.0,68.3,4.79,1018.22,-15.44,0.0,2.32,Tiantan
2013,3,25,10.63,11.71,3.0,1.0,5.0,93.29,109.0,42.25,64.79,1149.88,43.61,5.47,1017.35,-8.03,0.0,1.81,Tiantan
2013,3,26,10.69,12.24,5.0,1.0,5.0,173.0,192.0,56.83,70.46,1499.73,26.18,8.47,1009.4,-1.87,0.0,1.61,Tiantan
2013,3,27,6.46,13.31,3.0,3.0,3.0,85.17,94.21,14.12,46.79,921.74,45.52,11.37,1006.9,-4.37,0.0,2.84,Tiantan
2013,3,28,8.11,11.91,1.0,3.0,1.0,26.0,49.46,7.5,34.54,508.33,72.27,8.3,1017.23,-12.87,0.0,2.09,Tiantan
2013,3,29,10.25,12.25,3.0,1.0,5.0,86.79,116.17,33.96,67.71,1520.58,,6.01,1018.07,-6.32,0.0,2.2,Tiantan
2013,3,30,10.68,11.69,2.0,1.0,5.0,74.0,88.54,53.71,50.08,1582.43,49.75,5.96,1018.73,-4.2,0.0,2.09,Tiantan
2013,3,31,10.07,13.31,5.0,1.0,5.0,171.21,178.67,26.08,64.25,1562.38,12.21,5.55,1015.0,2.44,0.0,1.75,Tiantan
2013,4,1,9.54,10.23,3.0,3.0,3.0,96.5,108.46,36.79,50.04,1547.74,51.93,10.89,1013.38,-4.93,0.0,3.02,Tiantan
2013,4,2,11.95,7.46,3.0,1.0,5.0,102.0,127.17,35.92,51.42,1391.09,66.94,11.18,1013.15,-2.95,0.0,1.98,Tiantan
2013,4,3,11.07,10.19,4.0,1.0,5.0,117.29,156.29,37.54,70.0,1534.7,60.39,11.72,1008.48,-1.9,0.0,2.26,Tiantan
2013,4,4,10.09,12.95,2.0,1.0,5.0,65.71,95.17,50.5,69.08,2233.04,34.29,8.32,1010.71,-1.38,0.27,1.51,Tiantan
2013,4,5,6.47,13.19,2.0,3.0,3.0,61.83,52.04,12.33,44.38,1312.25,41.92,9.0,1014.64,-1.78,0.09,3.36,Tiantan
2013,4,6,9.54,8.04,1.0,3.0,3.0,9.83,19.33,5.75,29.21,420.83,67.33,9.4,1012.62,-10.38,0.0,2.72,Tiantan
2013,4,7,10.33,7.74,3.0,3.0,3.0,77.96,100.38,34.5,59.08,1260.7,55.0,9.26,1004.02,-2.84,0.0,2.17,Tiantan
2013,4,8,7.63,9.29,2.0,3.0,3.0,22.62,108.71,4.04,25.75,395.83,139.42,9.34,1008.72,-13.17,0.0,6.1,Tiantan
2013,4,9,5.39,11.38,1.0,3.0,3.0,10.62,33.5,3.21,21.42,354.17,73.12,8.37,1016.05,-10.79,0.0,4.69,Tiantan
2013,4,10,7.93,8.44,1.0,3.0,3.0,12.42,36.79,3.33,35.88,462.5,61.3,8.11,1015.6,-10.82,0.0,3.22,Tiantan
2013,4,11,9.47,7.78,2.0,3.0,1.0,18.38,52.17,5.43,49.4,747.57,41.25,10.58,1014.38,-11.76,0.0,2.35,Tiantan
2013,4,12,10.64,6.95,2.0,3.0,1.0,51.12,96.21,18.72,61.93,827.18,37.89,15.92,1008.38,-5.6,0.0,2.09,Tiantan
2013,4,13,8.55,8.12,2.0,3.0,3.0,57.33,119.54,19.5,46.33,799.96,43.88,17.83,1000.58,-1.18,0.0,3.06,Tiantan
2013,4,14,10.25,7.35,2.0,3.0,1.0,34.17,84.46,13.83,29.21,645.83,73.71,12.38,1006.3,-8.0,0.0,2.2,Tiantan
2013,4,15,12.69,6.39,2.0,1.0,5.0,66.33,127.17,46.46,49.12,1460.57,62.83,12.29,999.45,-0.73,0.0,2.45,Tiantan
2013,4,16,10.32,7.49,2.0,0.0,3.0,57.0,122.5,27.5,43.71,1087.42,70.5,13.92,1002.96,-0.94,0.0,2.21,Tiantan
2013,4,17,6.68,9.88,2.0,3.0,3.0,46.08,59.88,17.75,30.04,700.0,75.83,11.52,1007.79,-3.15,0.0,2.02,Tiantan
2013,4,18,6.97,10.62,1.0,3.0,3.0,11.46,36.17,4.03,18.92,300.0,77.09,10.72,1018.86,-14.05,0.0,2.63,Tiantan
