year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-3.1624763,-0.04692468,1.0,2,2,7.12,10.75,11.71,22.58,429.17,63.88,1.39,1026.88,-18.75,0.0,3.25,Aotizhongxin
2013,3,2,-1.0757282,4.699907,2.0,0,4,30.75,42.08,36.62,66.67,824.92,29.75,0.62,1026.85,-15.94,0.0,1.48,Aotizhongxin
2013,3,3,-3.332578,2.3933148,3.0,0,5,76.92,120.54,61.29,81.0,1620.62,19.12,5.57,1014.61,-12.32,0.0,1.66,Aotizhongxin
2013,3,4,1.1432996,3.955922,2.0,0,4,22.71,44.58,22.87,46.96,617.39,53.75,9.96,1017.65,-11.68,0.0,2.4,Aotizhongxin
2013,3,5,2.1359208,6.675871,4.0,1,4,148.88,183.79,93.88,132.83,2357.96,68.46,6.29,1010.9,-7.52,0.0,1.13,Aotizhongxin
2013,3,6,1.6939487,7.0774894,5.0,1,4,223.25,265.17,116.24,142.06,3108.35,19.75,7.18,1007.48,-4.22,0.0,1.48,Aotizhongxin
2013,3,7,1.6914328,6.6456394,6.0,1,4,263.38,316.08,97.54,147.75,3632.88,38.83,9.29,1002.32,-2.03,0.0,1.56,Aotizhongxin
2013,3,8,2.1959019,3.8229406,5.0,0,4,221.46,297.96,68.56,118.84,2581.45,79.33,9.61,999.48,-1.15,0.0,1.64,Aotizhongxin
2013,3,9,-3.9312556,0.48864806,3.0,2,2,62.04,211.09,33.33,45.0,1178.96,73.92,6.98,1004.39,-10.16,0.0,3.39,Aotizhongxin
2013,3,10,1.3209673,3.2605479,2.0,0,4,34.29,68.92,22.92,49.67,708.33,82.67,5.26,1020.49,-12.85,0.0,2.44,Aotizhongxin
2013,3,11,1.930595,4.361032,4.0,0,4,123.79,178.29,86.88,90.67,1670.75,75.25,5.54,1013.66,-6.62,0.0,1.57,Aotizhongxin
2013,3,12,-2.299228,2.692192,4.0,0,5,122.79,117.17,27.5,72.88,1634.7,36.58,4.6,1008.81,1.35,0.12,1.08,Aotizhongxin
2013,3,13,-0.7756059,2.484435,1.0,0,5,16.04,19.33,16.25,36.08,504.17,71.88,4.93,1022.48,-10.05,0.0,2.33,Aotizhongxin
2013,3,14,1.8660895,5.338698,3.0,1,4,95.17,107.29,51.92,70.38,1337.29,68.92,3.82,1021.4,-3.59,0.0,1.95,Aotizhongxin
2013,3,15,1.6839677,6.7410245,5.0,1,4,212.29,250.62,75.58,99.42,2116.5,44.21,6.4,1014.5,-1.07,0.0,1.42,Aotizhongxin
2013,3,16,1.8474402,6.316644,5.0,1,4,244.88,257.92,70.12,90.38,2173.61,66.67,9.53,1016.85,0.88,0.0,1.7,Aotizhongxin
2013,3,17,-1.5844398,4.963984,6.0,1,4,284.54,309.67,73.67,113.88,2558.0,96.54,10.01,1001.94,3.15,0.0,1.15,Aotizhongxin
2013,3,18,-2.8909655,0.4926224,2.0,2,2,70.67,118.04,19.62,46.17,866.58,89.04,8.38,1001.22,-9.4,0.0,3.64,Aotizhongxin
2013,3,19,-1.8651824,1.334641,2.0,0,5,41.0,49.12,16.5,49.17,800.0,19.73,2.07,1008.89,-1.33,0.38,1.92,Aotizhongxin
2013,3,20,-0.59299105,2.4367542,2.0,0,5,48.92,47.79,12.5,41.54,920.83,32.08,1.52,1017.12,-2.82,0.31,2.06,Aotizhongxin
2013,3,21,-1.357428,6.271955,4.0,1,4,148.96,161.75,21.67,85.75,1454.04,11.88,3.59,1004.92,-1.42,0.0,1.65,Aotizhongxin
2013,3,22,1.1380521,2.5377119,3.0,0,5,90.42,144.58,26.04,70.38,979.12,33.92,6.3,1011.56,-4.54,0.0,2.55,Aotizhongxin
2013,3,26,0.64546907,4.682768,5.0,0,4,187.46,251.33,75.08,106.29,1745.09,12.46,6.8,1007.57,-0.8,0.0,1.66,Aotizhongxin
2013,3,27,-3.6159437,0.9250303,3.0,2,2,91.62,122.92,20.71,42.96,868.09,43.16,10.88,1005.16,-4.57,0.0,2.85,Aotizhongxin
2013,3,28,-0.8287809,2.60758,2.0,0,5,28.33,54.79,12.67,39.83,595.79,57.92,7.88,1015.57,-10.24,0.0,2.22,Aotizhongxin
2013,3,29,0.83647615,4.488997,3.0,0,4,87.88,140.42,47.17,88.5,1563.36,16.92,6.21,1016.28,-5.3,0.0,1.57,Aotizhongxin
2013,3,30,1.9371561,4.5238967,3.0,0,4,79.54,111.17,62.08,68.21,1666.46,33.67,6.45,1016.82,-2.53,0.0,1.74,Aotizhongxin
2013,3,31,-0.65344316,4.8960485,5.0,1,4,174.25,194.0,14.62,72.67,1333.0,3.0,5.57,1013.12,2.48,0.0,1.5,Aotizhongxin
2013,4,1,-2.2915318,1.7736381,3.0,0,5,94.92,112.58,17.12,39.08,1208.17,51.04,10.46,1011.7,-4.69,0.0,3.07,Aotizhongxin
2013,4,2,3.5900648,0.8456648,3.0,3,0,99.58,140.54,40.0,68.96,1282.48,53.34,10.04,1011.41,-1.5,0.0,1.92,Aotizhongxin
2013,4,3,1.9209963,3.6006844,4.0,0,4,124.17,204.58,50.75,87.71,1454.04,46.0,11.92,1006.75,0.03,0.0,1.83,Aotizhongxin
2013,4,4,-0.13893004,3.6693318,3.0,0,4,66.67,110.75,62.12,84.58,2264.87,19.83,7.76,1009.12,-0.09,0.34,1.55,Aotizhongxin
2013,4,5,-3.887742,0.6101096,2.0,2,2,54.67,49.58,12.04,41.08,1179.04,37.29,8.52,1013.28,-0.51,0.1,2.45,Aotizhongxin
2013,4,6,-1.2827815,2.129355,1.0,0,5,11.0,23.08,7.71,27.04,458.33,58.79,8.56,1010.84,-6.86,0.0,1.87,Aotizhongxin
2013,4,7,0.9378095,1.6195112,3.0,0,0,79.25,126.83,41.67,71.88,1254.08,32.71,8.85,1002.4,-0.61,0.0,1.67,Aotizhongxin
2013,4,8,-3.7058232,-2.777424,2.0,2,2,25.83,123.83,7.62,21.38,450.0,67.54,9.02,1007.2,-10.9,0.0,4.72,Aotizhongxin
