year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,9.754169,-1.1057416,1.0,0,4,8.08,9.33,3.0,13.0,352.17,62.48,0.54,1029.64,-20.64,0.0,3.17,Shunyi
2013,3,2,5.1057653,0.20963515,2.0,1,5,32.62,38.13,20.21,47.58,920.83,40.42,0.08,1029.47,-16.28,0.0,1.35,Shunyi
2013,3,3,7.964888,0.29283175,3.0,0,4,76.5,95.21,30.88,65.29,1749.92,24.54,5.03,1017.04,-11.78,0.0,1.62,Shunyi
2013,3,4,5.112489,0.02041848,2.0,1,5,19.83,33.04,13.08,43.29,791.58,55.12,8.94,1020.12,-12.44,0.0,2.09,Shunyi
2013,3,5,2.497392,3.2420502,3.0,1,1,114.96,145.83,58.83,87.87,1851.96,74.54,6.45,1013.49,-7.22,0.0,1.2,Shunyi
2013,3,6,2.0543506,3.596969,5.0,1,1,168.71,186.08,86.87,95.69,2313.36,49.71,6.58,1009.99,-4.8,0.0,1.2,Shunyi
2013,3,7,2.1314814,4.400484,6.0,1,1,283.0,301.62,88.79,120.12,3524.88,52.21,8.38,1004.86,-1.92,0.0,1.15,Shunyi
2013,3,8,6.2096562,3.4181917,5.0,2,2,226.0,246.38,69.43,90.28,2790.68,95.67,8.98,1002.05,-1.72,0.0,2.32,Shunyi
2013,3,11,4.0794654,2.4906836,4.0,1,1,124.92,157.12,86.83,74.46,1603.88,64.92,6.48,1016.38,-6.84,0.0,1.6,Shunyi
2013,3,12,7.366926,1.2138168,4.0,0,5,115.88,113.71,27.92,65.0,1533.29,43.67,4.73,1011.47,0.75,0.12,1.32,Shunyi
2013,3,13,7.4919643,1.0313802,1.0,0,5,14.17,18.46,11.88,24.46,421.74,76.62,3.52,1025.45,-12.49,0.0,2.2,Shunyi
2013,3,14,3.382973,2.9268472,3.0,1,1,90.12,100.29,38.25,68.79,1270.79,74.12,3.51,1024.26,-4.58,0.0,1.73,Shunyi
2013,3,15,2.4135022,4.4189696,5.0,1,1,210.17,221.38,48.12,100.79,2016.46,39.46,5.67,1017.08,-1.48,0.0,1.46,Shunyi
2013,3,16,2.8070462,4.3620496,5.0,1,1,233.42,209.83,47.79,80.62,2053.88,67.62,8.98,1019.29,-0.15,0.0,2.12,Shunyi
2013,3,17,4.1674504,3.3459826,6.0,1,1,287.88,277.29,56.83,89.67,2364.96,103.5,9.2,1004.52,1.98,0.0,1.25,Shunyi
