year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,10.753146,4.056703,1.0,3,3,8.62,14.46,8.88,21.58,450.0,68.08,1.32,1028.78,-21.47,0.0,3.31,Tiantan
2013,3,2,5.942453,3.4173052,2.0,1,2,31.71,37.04,27.17,50.48,934.78,34.04,0.49,1028.85,-16.96,0.0,0.79,Tiantan
2013,3,3,6.7671094,3.7413733,3.0,1,1,98.04,121.33,55.62,82.96,2028.96,16.92,4.99,1016.46,-12.31,0.0,1.22,Tiantan
2013,3,4,6.450882,3.845206,2.0,1,1,22.33,37.58,16.58,42.04,895.79,53.12,10.56,1019.45,-14.0,0.0,2.5,Tiantan
2013,3,5,2.3649704,3.0488865,4.0,2,2,141.67,156.38,74.33,101.67,2408.0,94.0,7.21,1012.7,-7.78,0.0,0.91,Tiantan
2013,3,6,3.1989136,2.542033,5.0,2,2,193.71,206.33,96.39,126.96,3069.17,75.33,8.0,1009.3,-5.38,0.0,0.78,Tiantan
2013,3,7,3.7830334,2.1226718,6.0,2,2,257.5,278.29,72.67,134.08,4416.29,55.29,9.26,1004.11,-2.55,0.0,1.17,Tiantan
2013,3,9,10.260234,4.134627,3.0,3,3,60.33,206.3,26.62,41.62,1387.29,88.92,7.23,1006.13,-12.1,0.0,4.0,Tiantan
2013,3,10,6.7090073,4.207253,2.0,1,1,38.29,66.5,20.67,44.79,830.35,89.75,5.79,1022.5,-15.11,0.0,2.33,Tiantan
2013,3,11,4.561103,4.0193343,4.0,1,2,122.04,143.83,82.58,73.33,1449.88,88.08,7.18,1015.58,-7.65,0.0,1.52,Tiantan
2013,3,12,7.3385577,3.471483,4.0,1,1,126.96,120.25,26.42,69.29,2028.79,47.42,5.1,1010.8,1.12,0.22,1.18,Tiantan
2013,3,13,7.62257,3.9460552,1.0,1,1,16.92,22.67,12.67,32.04,600.0,74.0,4.36,1024.75,-11.82,0.0,2.02,Tiantan
2013,3,14,3.7807796,3.5615385,3.0,2,2,83.88,98.42,56.13,61.92,1366.43,78.46,3.96,1023.47,-4.99,0.0,1.86,Tiantan
2013,3,15,2.4726427,2.684352,5.0,2,2,189.71,213.88,56.71,88.71,2249.62,62.75,5.87,1016.39,-1.32,0.0,0.94,Tiantan
2013,3,16,2.3649943,2.8541167,5.0,2,2,247.79,234.79,69.25,83.25,2453.75,88.54,9.63,1018.64,-0.26,0.0,1.78,Tiantan
2013,3,17,5.0402193,3.003271,6.0,1,2,289.5,275.04,59.62,100.21,2687.12,103.92,9.97,1003.75,2.35,0.0,1.12,Tiantan
2013,3,18,10.615575,3.5663786,2.0,3,3,72.92,98.21,12.71,40.25,952.09,93.29,8.17,1003.12,-10.99,0.0,3.86,Tiantan
2013,3,19,8.441617,0.9589847,2.0,1,4,43.54,39.79,10.96,44.62,891.67,27.79,2.19,1010.85,-2.47,0.18,2.07,Tiantan
2013,3,20,7.5596967,0.7839064,2.0,1,4,57.5,44.38,10.29,36.79,1024.96,40.75,1.76,1019.26,-4.14,0.25,1.89,Tiantan
2013,3,21,6.4278545,1.0089753,4.0,1,2,134.71,131.92,28.92,69.17,1399.71,25.21,4.52,1006.81,-3.0,0.0,1.71,Tiantan
2013,3,22,7.0717072,3.0729935,3.0,1,1,76.67,109.5,25.04,47.54,969.57,57.78,6.32,1013.68,-6.19,0.0,2.41,Tiantan
2013,3,23,8.320043,4.45623,2.0,1,1,51.33,74.38,28.79,51.33,1237.42,35.62,4.47,1010.57,-7.76,0.0,3.29,Tiantan
2013,3,24,7.1626973,3.674594,1.0,1,1,15.92,26.71,10.33,31.0,465.0,68.3,4.79,1018.22,-15.44,0.0,2.32,Tiantan
2013,3,26,5.5927024,4.2198124,5.0,1,2,173.0,192.0,56.83,70.46,1499.73,26.18,8.47,1009.4,-1.87,0.0,1.61,Tiantan
2013,3,27,10.172147,3.8239584,3.0,3,3,85.17,94.21,14.12,46.79,921.74,45.52,11.37,1006.9,-4.37,0.0,2.84,Tiantan
2013,3,31,5.4190497,2.2548149,5.0,1,2,171.21,178.67,26.08,64.25,1562.38,12.21,5.55,1015.0,2.44,0.0,1.75,Tiantan
2013,4,1,8.84529,2.5221505,3.0,3,1,96.5,108.46,36.79,50.04,1547.74,51.93,10.89,1013.38,-4.93,0.0,3.02,Tiantan
2013,4,2,8.107081,-2.8393824,3.0,0,4,102.0,127.17,35.92,51.42,1391.09,66.94,11.18,1013.15,-2.95,0.0,1.98,Tiantan
2013,4,3,6.0790687,2.5262387,4.0,1,2,117.29,156.29,37.54,70.0,1534.7,60.39,11.72,1008.48,-1.9,0.0,2.26,Tiantan
2013,4,4,5.2440534,2.874891,2.0,1,2,65.71,95.17,50.5,69.08,2233.04,34.29,8.32,1010.71,-1.38,0.27,1.51,Tiantan
2013,4,5,10.161163,4.316429,2.0,3,3,61.83,52.04,12.33,44.38,1312.25,41.92,9.0,1014.64,-1.78,0.09,3.36,Tiantan
2013,4,6,7.986027,3.6257331,1.0,1,1,9.83,19.33,5.75,29.21,420.83,67.33,9.4,1012.62,-10.38,0.0,2.72,Tiantan
2013,4,7,7.4263477,2.1058047,3.0,1,1,77.96,100.38,34.5,59.08,1260.7,55.0,9.26,1004.02,-2.84,0.0,2.17,Tiantan
2013,4,8,12.4346285,-1.1987411,2.0,0,0,22.62,108.71,4.04,25.75,395.83,139.42,9.34,1008.72,-13.17,0.0,6.1,Tiantan
2013,4,10,10.898285,1.2685105,1.0,3,3,12.42,36.79,3.33,35.88,462.5,61.3,8.11,1015.6,-10.82,0.0,3.22,Tiantan
2013,4,11,10.050174,0.3263046,2.0,3,4,18.38,52.17,5.43,49.4,747.57,41.25,10.58,1014.38,-11.76,0.0,2.35,Tiantan
2013,4,12,10.862103,-1.6930488,2.0,0,0,51.12,96.21,18.72,61.93,827.18,37.89,15.92,1008.38,-5.6,0.0,2.09,Tiantan
2013,4,13,9.561309,4.502274,2.0,3,1,57.33,119.54,19.5,46.33,799.96,43.88,17.83,1000.58,-1.18,0.0,3.06,Tiantan
2013,4,14,6.9781227,3.57979,2.0,1,1,34.17,84.46,13.83,29.21,645.83,73.71,12.38,1006.3,-8.0,0.0,2.2,Tiantan
2013,4,15,8.129048,1.5871688,2.0,1,1,66.33,127.17,46.46,49.12,1460.57,62.83,12.29,999.45,-0.73,0.0,2.45,Tiantan
2013,4,16,12.396808,-0.55456275,2.0,0,0,57.0,122.5,27.5,43.71,1087.42,70.5,13.92,1002.96,-0.94,0.0,2.21,Tiantan
2013,4,17,12.060365,3.87292,2.0,3,3,46.08,59.88,17.75,30.04,700.0,75.83,11.52,1007.79,-3.15,0.0,2.02,Tiantan
2013,4,18,10.836057,4.278106,1.0,3,3,11.46,36.17,4.03,18.92,300.0,77.09,10.72,1018.86,-14.05,0.0,2.63,Tiantan
2013,4,19,10.963214,0.8466103,2.0,3,3,45.79,62.88,15.96,27.74,752.13,54.35,6.75,1020.45,-2.57,0.0,2.75,Tiantan
2013,4,20,10.808135,-2.627936,2.0,0,0,72.42,68.04,8.62,29.71,754.17,58.29,9.37,1017.12,-0.42,0.0,1.93,Tiantan
2013,4,21,10.715495,-2.605056,3.0,0,0,115.25,118.54,26.52,39.61,1138.83,53.18,12.36,1014.17,2.18,0.0,2.27,Tiantan
2013,4,22,5.445572,3.224018,5.0,1,2,153.75,144.42,38.92,40.75,1212.33,41.25,12.86,1010.14,5.1,0.0,2.07,Tiantan
2013,4,24,10.076215,1.4965414,3.0,3,3,87.71,109.08,8.25,41.75,1349.79,38.92,15.83,1006.71,0.58,0.0,2.77,Tiantan
2013,4,25,10.082915,0.026996097,2.0,0,4,12.21,42.0,4.08,43.54,437.5,45.92,16.2,1009.02,-7.18,0.0,2.83,Tiantan
2013,4,26,11.077289,-2.3308868,2.0,0,0,62.75,114.38,28.25,57.79,1058.25,60.67,16.82,1006.0,-0.65,0.0,2.07,Tiantan
2013,4,27,10.455431,-0.6577205,2.0,0,0,63.25,105.17,41.04,47.22,1195.61,94.3,17.92,1006.79,1.42,0.0,1.99,Tiantan
2013,4,28,7.5626206,3.4712965,2.0,1,1,75.25,105.08,54.58,55.29,1895.62,74.29,16.13,1006.3,2.31,0.0,1.73,Tiantan
2013,4,29,11.98977,2.1868267,2.0,3,3,18.25,79.25,4.2,40.27,423.53,52.49,21.41,1007.85,-7.49,0.0,2.88,Tiantan
2013,4,30,12.011608,2.1648893,2.0,3,3,20.5,69.62,5.25,41.83,425.0,65.96,20.62,1010.0,-7.53,0.0,2.14,Tiantan
2013,5,1,11.086123,-0.5635189,2.0,0,0,33.42,77.75,11.42,27.67,634.78,86.65,17.67,1011.15,0.11,0.0,1.62,Tiantan
2013,5,2,11.459866,0.065084435,2.0,0,0,73.25,109.46,39.25,41.42,1141.58,81.29,18.93,1008.2,2.86,0.0,2.35,Tiantan
2013,5,3,11.895761,-1.7998099,2.0,0,0,58.12,74.54,21.88,21.42,995.79,114.0,18.03,1012.91,5.54,0.0,2.09,Tiantan
2013,5,4,9.91742,-2.9915617,3.0,0,0,81.0,105.42,21.58,21.25,825.0,108.38,19.78,1012.53,5.32,0.0,2.27,Tiantan
2013,5,5,8.199581,-3.2504094,5.0,0,4,173.96,211.5,40.62,64.83,1586.74,96.78,20.81,1012.22,10.55,0.0,1.35,Tiantan
2013,5,6,11.359944,-3.6315954,5.0,0,0,209.42,233.0,26.42,55.58,1669.35,114.77,23.67,1010.28,12.05,0.0,1.49,Tiantan
2013,5,7,10.338063,-2.089882,5.0,0,0,156.46,184.33,42.25,61.83,1499.75,126.38,24.09,1010.82,12.5,0.0,1.51,Tiantan
2013,5,8,7.4620585,4.163923,4.0,1,1,133.91,155.0,59.5,52.29,1608.39,66.26,20.55,1009.9,10.56,0.0,1.81,Tiantan
2013,5,9,10.683946,1.6731466,2.0,3,3,49.62,68.79,14.29,36.43,652.38,22.3,17.59,1005.72,10.87,0.0,1.52,Tiantan
2013,5,10,11.39201,-0.17611194,2.0,0,0,41.88,100.08,6.88,29.12,566.67,61.0,22.12,997.56,2.78,0.0,2.84,Tiantan
2013,5,11,10.818684,0.7405026,2.0,3,3,41.46,137.96,8.29,54.88,559.09,44.37,24.25,991.46,-0.37,0.0,2.38,Tiantan
2013,5,12,7.652642,2.8132794,2.0,1,1,35.33,99.46,11.17,43.17,633.33,63.12,22.44,996.1,-2.63,0.0,1.6,Tiantan
2013,5,13,5.9219756,4.1005473,3.0,1,2,101.25,184.71,68.42,59.67,1960.7,78.3,21.38,998.35,5.23,0.0,1.52,Tiantan
2013,5,14,7.050691,3.5097516,2.0,1,1,48.38,130.75,8.42,36.46,895.83,78.29,24.6,1003.94,1.64,0.0,2.53,Tiantan
2013,5,15,9.168061,0.3025699,2.0,3,4,52.33,144.79,47.46,38.17,1408.29,109.79,22.32,1012.1,6.28,0.0,1.83,Tiantan
2013,5,16,11.411244,-2.342312,2.0,0,0,54.17,108.5,30.17,35.55,1147.74,103.27,21.35,1012.68,9.16,0.0,1.72,Tiantan
2013,5,17,10.923774,-3.369941,3.0,0,0,108.71,146.58,34.96,37.58,1269.52,99.91,21.05,1007.67,11.83,0.0,1.6,Tiantan
2013,5,18,12.089569,-2.0454962,3.0,0,0,112.42,135.67,27.12,31.47,1283.25,93.62,21.32,1002.27,13.22,0.0,2.32,Tiantan
2013,5,19,13.199429,1.9036735,3.0,3,3,63.29,156.25,11.71,17.29,662.5,68.83,20.69,996.63,3.18,0.0,3.38,Tiantan
2013,5,20,11.544505,-1.0828514,2.0,0,0,44.12,138.88,16.88,24.54,440.91,82.88,21.9,996.66,-0.52,0.0,2.9,Tiantan
2013,5,24,9.687551,-0.4524943,4.0,0,4,117.25,246.42,21.79,67.29,1912.25,63.83,23.62,1007.83,13.92,0.0,1.54,Tiantan
2013,5,25,10.460373,-1.198269,2.0,0,0,59.88,137.62,29.62,49.25,1213.04,97.48,24.6,1006.48,12.62,0.0,1.69,Tiantan
2013,5,26,6.88458,3.001551,3.0,1,1,102.71,125.17,38.12,46.29,1741.46,40.0,20.58,1004.8,17.14,0.07,2.2,Tiantan
2013,5,27,8.00874,-0.13192247,2.0,1,4,72.12,76.54,7.88,38.17,1182.3,50.37,19.62,1003.52,16.19,0.0,1.2,Tiantan
2013,5,28,10.68171,2.7064505,2.0,3,3,73.29,74.17,3.83,47.5,1079.08,19.96,20.52,1001.59,16.49,0.02,1.7,Tiantan
2013,5,29,11.596107,-0.4208393,2.0,0,0,16.17,62.65,6.09,23.25,326.09,76.04,25.02,1005.14,1.42,0.0,3.49,Tiantan
2013,5,30,11.302383,-3.2682743,3.0,0,0,65.83,166.04,19.29,58.5,826.09,97.59,26.57,1002.01,6.22,0.0,2.8,Tiantan
2013,5,31,11.029546,-2.398501,3.0,0,0,88.54,148.79,39.92,25.75,904.08,131.46,25.65,998.66,13.63,0.0,1.89,Tiantan
2013,6,1,11.902111,-1.7808458,2.0,0,0,75.42,146.79,10.46,47.38,720.79,74.96,25.3,1002.5,8.3,0.0,1.55,Tiantan
2013,6,2,11.517788,-3.5140393,5.0,0,0,168.92,217.71,35.91,46.25,1621.48,86.78,22.12,1000.73,16.52,0.0,1.83,Tiantan
2013,6,3,10.649147,-3.160488,4.0,0,0,123.58,160.54,20.83,47.0,1470.75,117.25,25.83,1000.9,13.44,0.0,1.34,Tiantan
2013,6,4,6.748739,1.3964777,4.0,1,2,132.59,219.13,37.33,67.79,1985.91,60.21,20.96,1007.78,16.18,0.44,2.26,Tiantan
2013,6,5,5.920258,-1.3168496,4.0,2,5,128.12,136.5,4.83,38.25,1541.5,27.79,18.85,1008.16,18.01,0.16,1.53,Tiantan
