year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-4.026175,0.4466069,1.0,3.0,3.0,6.38,6.41,3.0,2.62,204.17,81.96,0.81,1023.86,-19.58,0.0,2.13,Dingling
2013,3,2,-3.4020767,4.730702,2.0,1.0,1.0,34.04,41.71,25.08,56.38,875.0,24.71,-0.4,1023.73,-16.12,0.0,0.93,Dingling
2013,3,3,-4.243527,2.312373,2.0,1.0,1.0,43.83,65.33,19.78,45.75,804.35,41.0,5.33,1011.31,-13.0,0.0,1.36,Dingling
2013,3,4,-3.6989737,4.7448525,1.0,1.0,1.0,17.54,28.91,9.17,16.5,400.0,76.92,9.24,1014.4,-13.47,0.0,2.38,Dingling
2013,3,5,-3.2601054,7.3156567,3.0,2.0,5.0,105.38,117.21,36.38,58.38,1187.38,86.5,6.46,1007.8,-9.0,0.0,0.77,Dingling
2013,3,6,-2.4731293,7.620212,5.0,2.0,5.0,220.79,225.0,71.25,96.33,2166.5,73.12,7.35,1004.35,-4.77,0.0,1.04,Dingling
2013,3,7,-2.1833432,7.529775,4.0,2.0,5.0,141.42,152.88,47.78,97.39,1756.35,60.33,9.24,999.23,-3.9,0.0,1.01,Dingling
2013,3,8,-1.0216931,5.1773534,4.0,1.0,1.0,146.17,217.0,33.28,56.75,1439.04,87.58,12.04,996.15,-2.87,0.0,2.1,Dingling
2013,3,9,-4.468061,0.97432655,3.0,3.0,3.0,59.83,223.67,12.96,35.67,662.42,100.96,7.11,1001.67,-11.38,0.0,3.29,Dingling
2013,3,10,-3.5116308,4.1568074,1.0,1.0,1.0,25.79,40.59,11.25,15.5,379.17,94.0,7.29,1017.02,-16.72,0.0,2.35,Dingling
2013,3,11,-2.787762,5.123867,4.0,1.0,1.0,117.71,150.17,61.96,68.08,1290.68,90.67,5.36,1010.51,-8.42,0.0,1.26,Dingling
