year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,10.916963,4.72658,1.0,1.0,1.0,7.54,11.67,8.5,28.5,400.0,63.17,1.39,1026.88,-18.75,0.0,3.25,Guanyuan
2013,3,2,6.2177234,4.4229765,2.0,2.0,5.0,26.38,34.88,28.7,63.61,860.78,35.17,0.62,1026.85,-15.94,0.0,1.48,Guanyuan
2013,3,3,7.7399077,3.0948498,3.0,1.0,2.0,81.5,119.08,69.21,96.46,1966.46,16.5,5.57,1014.61,-12.32,0.0,1.66,Guanyuan
2013,3,4,5.7355027,5.329737,2.0,2.0,2.0,18.25,41.96,20.21,51.33,625.0,54.5,9.96,1017.65,-11.68,0.0,2.4,Guanyuan
2013,3,5,3.4087975,4.3622046,4.0,2.0,5.0,141.17,163.71,83.38,134.75,2483.08,78.79,6.29,1010.9,-7.52,0.0,1.13,Guanyuan
2013,3,6,3.4641259,3.7368047,5.0,2.0,5.0,205.58,229.75,127.52,154.87,3382.22,28.42,7.18,1007.48,-4.22,0.0,1.48,Guanyuan
2013,3,7,3.4129531,4.1669374,5.0,2.0,5.0,248.0,280.12,98.71,161.38,3949.67,46.67,9.29,1002.32,-2.03,0.0,1.56,Guanyuan
2013,3,8,5.956263,2.6510618,5.0,2.0,2.0,209.96,249.5,63.98,139.75,3117.13,106.0,9.61,999.48,-1.15,0.0,1.64,Guanyuan
2013,3,9,10.720889,3.8456542,3.0,0.0,1.0,51.75,197.09,36.71,49.83,1024.83,96.92,6.98,1004.39,-10.16,0.0,3.39,Guanyuan
2013,3,10,5.69815,5.507023,2.0,2.0,2.0,34.08,59.38,23.04,51.71,747.83,90.29,5.26,1020.49,-12.85,0.0,2.44,Guanyuan
2013,3,11,5.3619843,3.8581688,4.0,2.0,5.0,119.33,162.96,106.83,91.83,1699.75,85.17,5.54,1013.66,-6.62,0.0,1.57,Guanyuan
