year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,11.12556,4.1127753,1.0,3.0,5.0,8.62,16.88,7.39,14.25,869.57,77.13,1.69,1024.82,-19.69,0.0,2.35,Gucheng
2013,3,2,6.0926876,3.153964,2.0,1.0,1.0,36.92,51.38,37.29,37.57,1479.04,39.58,0.82,1024.9,-16.34,0.0,1.09,Gucheng
2013,3,3,7.47197,4.371836,3.0,3.0,5.0,80.33,120.04,47.54,63.33,2349.71,33.71,6.56,1012.57,-11.99,0.0,1.4,Gucheng
2013,3,4,5.621462,4.232024,1.0,1.0,1.0,26.5,51.29,18.67,32.67,1170.67,67.25,9.8,1015.61,-11.95,0.0,1.54,Gucheng
2013,3,5,3.3714104,3.4536066,4.0,1.0,1.0,136.71,172.54,75.13,73.5,1381.55,84.38,6.75,1008.88,-7.74,0.0,0.84,Gucheng
2013,3,6,3.3276665,3.1458127,5.0,1.0,1.0,190.92,256.29,114.08,163.36,2286.7,17.5,7.35,1005.58,-4.36,0.0,0.75,Gucheng
2013,3,7,3.8542135,2.981272,5.0,1.0,1.0,243.75,308.58,83.17,155.14,4607.83,55.62,9.73,1000.3,-2.21,0.0,1.0,Gucheng
2013,3,8,5.4541297,3.9328887,5.0,1.0,1.0,201.5,267.33,60.55,141.18,3017.26,106.67,10.61,997.45,-1.65,0.0,1.25,Gucheng
2013,3,9,10.149663,4.5539756,3.0,3.0,3.0,59.33,242.5,20.43,41.91,960.87,102.12,7.62,1002.32,-11.04,0.0,2.27,Gucheng
2013,3,10,5.484314,4.3860345,2.0,1.0,1.0,41.58,75.54,20.04,46.88,799.96,98.62,6.42,1018.58,-14.7,0.0,1.98,Gucheng
2013,3,11,5.057059,3.9156752,4.0,1.0,1.0,138.0,197.12,96.0,106.17,2203.75,91.54,5.78,1011.65,-7.25,0.0,0.98,Gucheng
2013,3,12,8.037979,4.117608,4.0,3.0,5.0,137.08,139.92,27.38,101.75,2053.92,39.67,5.18,1006.91,0.42,0.14,0.98,Gucheng
2013,3,13,6.854097,4.357083,2.0,3.0,4.0,28.58,39.0,10.88,46.46,756.52,64.62,4.85,1020.54,-10.35,0.0,1.64,Gucheng
2013,3,14,3.5770242,4.0865006,3.0,1.0,1.0,100.58,115.42,48.54,80.33,1608.08,80.04,3.98,1019.43,-3.98,0.0,1.35,Gucheng
2013,3,15,3.1744134,3.6905816,5.0,1.0,1.0,220.21,239.29,65.04,121.25,2658.0,61.29,5.98,1012.47,-1.23,0.0,0.74,Gucheng
2013,3,16,3.1675627,3.7464144,5.0,1.0,1.0,239.62,244.54,62.08,109.17,2637.29,87.17,9.72,1014.85,0.38,0.0,1.24,Gucheng
2013,3,17,5.581274,4.4324574,6.0,1.0,1.0,276.88,306.79,64.04,122.21,2669.17,107.0,10.2,999.96,2.71,0.0,0.83,Gucheng
2013,3,18,10.534963,3.4806097,2.0,3.0,5.0,75.79,113.5,11.75,39.79,883.29,93.58,8.7,999.06,-10.13,0.0,2.46,Gucheng
2013,3,19,9.788619,1.7572616,2.0,3.0,5.0,36.46,37.79,6.58,53.12,858.29,24.5,1.95,1006.95,-1.79,0.35,1.34,Gucheng
2013,3,20,7.7434344,2.1552622,2.0,3.0,4.0,61.0,64.0,8.0,42.0,979.12,44.17,1.89,1015.25,-2.98,0.14,1.36,Gucheng
2013,3,21,7.2403026,1.0148886,4.0,0.0,0.0,148.75,162.92,19.67,87.79,1508.48,19.43,3.62,1002.84,-2.05,0.0,1.21,Gucheng
2013,3,22,7.6190553,2.4056764,3.0,3.0,5.0,82.67,126.08,19.46,58.75,995.79,54.38,7.04,1009.52,-6.07,0.0,2.01,Gucheng
2013,3,23,9.446994,4.5781035,2.0,3.0,5.0,54.38,102.12,21.58,55.04,1041.54,38.42,4.96,1006.55,-6.99,0.0,1.88,Gucheng
2013,3,24,7.527802,3.11507,1.0,3.0,5.0,21.08,43.42,9.5,28.04,465.0,75.17,5.36,1014.2,-14.82,0.0,1.54,Gucheng
2013,3,25,5.487968,2.7842646,3.0,1.0,1.0,106.21,158.38,42.26,89.62,1287.12,34.48,5.18,1013.25,-6.93,0.0,1.55,Gucheng
2013,3,26,5.667748,3.319102,5.0,1.0,1.0,180.96,251.33,61.83,107.21,2064.78,19.24,7.11,1005.53,-2.49,0.0,0.89,Gucheng
2013,3,27,10.927151,3.4224424,3.0,3.0,5.0,105.62,157.75,17.33,55.96,1325.96,52.18,10.66,1003.01,-5.9,0.0,1.9,Gucheng
2013,3,28,9.46281,2.0742157,2.0,3.0,4.0,29.83,54.75,9.67,35.25,604.17,73.96,8.01,1013.5,-11.61,0.0,1.82,Gucheng
2013,3,29,5.9988885,3.2445946,3.0,1.0,1.0,66.29,114.96,29.12,85.33,1322.5,31.64,6.49,1014.11,-7.26,0.0,1.35,Gucheng
2013,3,30,5.6483817,2.5667849,2.0,0.0,3.0,64.88,106.5,49.46,67.04,1562.21,49.08,6.51,1014.69,-3.95,0.0,1.58,Gucheng
2013,3,31,5.637487,2.6653597,5.0,1.0,1.0,173.04,196.67,19.33,83.67,1516.38,5.62,5.65,1011.03,1.99,0.0,1.14,Gucheng
2013,4,1,9.606915,2.3381116,3.0,3.0,5.0,93.79,124.75,23.42,48.67,1204.3,58.02,11.22,1009.53,-5.99,0.0,2.27,Gucheng
2013,4,2,11.559841,-4.6906543,3.0,1.0,1.0,93.21,147.38,37.33,69.17,1268.0,62.09,10.75,1009.31,-3.69,0.0,1.3,Gucheng
2013,4,3,8.47997,0.59077615,4.0,1.0,1.0,122.96,197.46,36.75,86.21,1658.04,60.79,11.78,1004.67,-1.28,0.0,1.71,Gucheng
2013,4,4,6.0575986,3.7314756,2.0,0.0,0.0,58.58,94.21,37.54,79.12,1837.33,33.46,7.86,1007.04,-1.35,0.31,1.02,Gucheng
2013,4,5,9.98145,4.477834,2.0,3.0,5.0,54.71,54.5,9.5,44.17,1074.83,50.46,8.66,1011.15,-1.77,0.08,1.85,Gucheng
2013,4,6,8.2797575,2.9238932,1.0,3.0,4.0,14.38,30.5,7.08,36.0,508.7,63.74,8.55,1008.76,-8.89,0.0,1.23,Gucheng
2013,4,7,8.403821,3.7711716,3.0,3.0,4.0,89.46,137.12,31.0,80.42,1337.33,37.08,8.84,1000.21,-2.14,0.0,1.37,Gucheng
2013,4,8,13.940225,2.8154678,2.0,3.0,4.0,27.08,133.38,6.0,22.88,429.17,82.58,9.31,1005.08,-12.46,0.0,4.02,Gucheng
2013,4,9,13.297855,3.6102612,1.0,3.0,5.0,12.54,36.46,5.0,13.71,383.33,95.46,8.22,1012.42,-10.28,0.0,2.91,Gucheng
2013,4,10,12.230606,1.2143296,1.0,3.0,5.0,11.12,26.83,4.73,19.94,447.83,83.58,8.77,1011.89,-11.24,0.0,2.71,Gucheng
2013,4,11,12.071454,0.49623382,2.0,3.0,4.0,20.24,51.48,8.26,41.06,622.73,69.47,10.99,1010.65,-11.62,0.0,1.77,Gucheng
2013,4,12,7.48336,2.0582836,2.0,3.0,4.0,42.08,122.42,19.38,77.92,840.91,38.64,15.05,1004.68,-4.18,0.0,1.46,Gucheng
2013,4,13,8.810231,2.1453745,2.0,3.0,4.0,68.88,131.46,13.33,53.25,745.83,52.04,17.39,996.83,-1.21,0.0,2.33,Gucheng
2013,4,14,7.2781377,2.5759103,3.0,3.0,4.0,81.08,116.08,14.88,31.58,560.87,77.17,12.79,1002.39,-5.0,0.0,1.84,Gucheng
2013,4,15,7.8012376,2.8862524,3.0,3.0,3.0,98.24,151.67,38.29,70.0,1349.83,59.46,12.82,995.59,0.33,0.0,1.5,Gucheng
2013,4,16,11.248578,-0.6013853,2.0,3.0,3.0,58.21,124.33,19.21,45.25,945.75,74.92,14.58,999.05,-0.55,0.0,1.92,Gucheng
2013,4,17,12.907215,3.3375447,2.0,3.0,5.0,58.71,83.75,15.79,47.0,800.0,73.88,12.34,1003.86,-2.26,0.0,1.95,Gucheng
2013,4,18,10.022454,3.2668169,1.0,3.0,5.0,9.42,32.88,3.27,20.73,354.55,79.63,11.05,1014.9,-13.84,0.0,1.99,Gucheng
2013,4,19,10.042598,0.5103185,2.0,3.0,5.0,33.08,83.92,13.62,41.25,737.5,55.42,6.24,1016.62,-2.06,0.02,1.75,Gucheng
2013,4,20,12.923146,-3.17766,2.0,3.0,3.0,75.58,84.79,9.04,43.5,704.17,64.08,9.17,1013.26,0.32,0.0,1.5,Gucheng
2013,4,21,9.614734,-1.4565893,3.0,1.0,3.0,113.75,181.08,25.89,75.35,1138.78,50.96,12.02,1010.27,2.42,0.0,1.38,Gucheng
2013,4,22,5.190212,3.0029624,5.0,1.0,1.0,156.33,203.25,42.96,75.65,1321.61,29.91,12.12,1006.23,5.65,0.0,1.17,Gucheng
2013,4,23,6.152311,-0.1687619,5.0,0.0,0.0,166.0,200.54,22.12,76.62,1383.17,18.75,11.84,1003.64,7.25,0.0,1.15,Gucheng
2013,4,24,11.222126,2.2359054,4.0,3.0,5.0,119.1,143.9,6.8,63.8,1509.9,23.3,15.85,1003.04,0.68,0.0,1.84,Gucheng
2013,4,25,12.274319,-0.535882,1.0,0.0,4.0,30.5,51.21,4.33,24.25,537.46,74.62,17.02,1005.31,-7.98,0.0,2.17,Gucheng
2013,4,26,12.873764,-4.032003,3.0,3.0,3.0,84.23,122.25,24.78,73.61,778.22,57.61,16.9,1002.28,-1.08,0.0,0.9,Gucheng
2013,4,27,7.3779297,1.683866,2.0,1.0,3.0,63.25,117.17,32.29,67.28,965.22,86.64,18.3,1003.09,0.87,0.0,1.1,Gucheng
2013,4,28,8.346988,3.379,2.0,3.0,5.0,73.21,119.42,41.79,59.33,1612.04,88.5,16.89,1002.59,2.28,0.0,1.3,Gucheng
2013,4,29,12.65875,0.77737457,2.0,3.0,4.0,21.88,94.33,5.21,27.71,447.06,91.07,21.83,1004.35,-6.48,0.0,2.21,Gucheng
2013,4,30,12.78857,-0.062841676,2.0,3.0,4.0,39.25,110.46,9.71,63.21,695.65,58.83,21.72,1006.03,-5.14,0.0,1.3,Gucheng
2013,5,1,13.269147,-3.5860083,2.0,3.0,3.0,39.79,112.88,14.62,43.96,612.5,91.08,17.89,1007.3,0.4,0.0,1.23,Gucheng
2013,5,2,13.63132,-4.2769575,3.0,3.0,3.0,81.83,142.83,38.83,56.96,873.91,92.26,19.42,1004.07,3.31,0.0,1.27,Gucheng
2013,5,3,13.655311,-4.4155397,2.0,3.0,3.0,63.17,93.79,19.79,37.5,741.62,122.54,18.18,1009.06,5.7,0.0,1.36,Gucheng
2013,5,4,12.691875,-4.2615786,3.0,3.0,3.0,103.58,154.08,22.83,50.21,847.83,106.22,19.08,1008.57,7.61,0.0,1.33,Gucheng
2013,5,5,10.644216,-4.8402205,5.0,1.0,1.0,166.92,242.88,36.83,82.21,1462.29,102.0,20.65,1008.43,11.02,0.0,0.74,Gucheng
2013,5,6,12.923195,-4.2386866,5.0,1.0,3.0,227.43,274.25,31.25,53.75,1756.35,148.93,23.11,1006.56,11.78,0.0,0.78,Gucheng
2013,5,7,12.806472,-4.8866143,4.0,1.0,1.0,130.79,234.58,37.25,77.25,1378.96,116.83,23.2,1007.05,10.8,0.0,0.85,Gucheng
2013,5,8,7.624475,3.1210222,5.0,3.0,3.0,162.58,209.89,47.26,72.84,1487.82,83.02,20.33,1006.15,11.92,0.0,0.92,Gucheng
2013,5,9,11.481097,0.2591832,2.0,3.0,4.0,65.46,99.33,10.87,64.83,727.27,43.26,17.8,1001.87,11.4,0.0,0.97,Gucheng
2013,5,10,12.426877,-0.5482308,2.0,3.0,4.0,33.62,115.46,7.12,44.83,545.83,63.88,21.88,993.97,1.83,0.0,1.66,Gucheng
2013,5,11,7.682554,0.5331101,2.0,0.0,0.0,32.65,115.71,7.42,53.58,426.09,52.44,24.78,987.91,-0.92,0.0,1.28,Gucheng
2013,5,12,7.686214,-0.6875965,2.0,0.0,0.0,31.29,113.96,12.92,53.33,660.83,73.26,22.69,992.38,-1.23,0.0,0.9,Gucheng
2013,5,13,9.266413,0.19603,3.0,1.0,3.0,84.79,166.17,54.25,78.25,1586.74,80.68,21.67,994.64,4.35,0.0,0.72,Gucheng
2013,5,14,11.068135,-0.23196797,2.0,3.0,3.0,55.54,134.62,13.62,52.42,695.83,85.04,24.37,1000.24,2.92,0.0,0.99,Gucheng
2013,5,15,10.779279,-2.0129664,3.0,3.0,3.0,59.54,152.88,36.25,59.08,1033.17,109.92,23.14,1008.25,5.71,0.0,1.02,Gucheng
2013,5,16,13.297338,-4.605026,2.0,3.0,3.0,51.92,132.0,20.79,55.46,899.94,98.59,21.56,1008.8,9.47,0.0,1.03,Gucheng
2013,5,17,12.796478,-4.911124,3.0,1.0,3.0,113.92,163.04,24.46,52.62,,97.75,20.81,1003.8,12.34,0.0,0.89,Gucheng
2013,5,18,13.871429,-2.1071765,4.0,3.0,3.0,129.42,209.0,19.54,55.8,,82.52,21.08,998.35,14.28,0.0,1.34,Gucheng
2013,5,19,12.405575,-0.41998816,2.0,3.0,3.0,57.88,144.42,5.83,27.88,,66.3,20.88,992.91,3.17,0.0,1.75,Gucheng
2013,5,20,11.141899,-4.5594735,3.0,3.0,3.0,45.08,159.83,14.92,41.57,,80.36,21.83,992.93,0.9,0.0,1.45,Gucheng
2013,5,21,13.06396,-4.864781,3.0,1.0,3.0,92.33,224.54,33.11,74.73,,103.65,23.08,991.84,9.38,0.0,0.81,Gucheng
2013,5,22,12.756294,-3.2060897,2.0,3.0,4.0,73.46,150.04,31.88,74.42,,90.51,23.2,1002.73,7.42,0.0,1.0,Gucheng
2013,5,23,10.793927,-3.9641445,2.0,0.0,3.0,62.5,137.42,20.08,77.58,1477.56,83.59,23.48,1002.42,8.51,0.0,0.68,Gucheng
2013,5,24,12.536163,-2.6407695,3.0,3.0,3.0,78.12,171.33,20.88,64.75,1391.17,75.13,24.72,1004.13,12.17,0.0,0.79,Gucheng
2013,5,25,11.871693,-2.529376,3.0,3.0,3.0,76.96,141.71,23.33,78.88,858.33,100.67,25.02,1002.76,12.1,0.0,1.08,Gucheng
2013,5,26,7.86114,3.176566,4.0,3.0,5.0,123.83,135.83,22.04,89.88,1141.54,31.79,21.07,1001.01,16.79,0.12,1.02,Gucheng
2013,5,27,8.854473,0.10547977,2.0,0.0,0.0,68.29,68.33,3.62,58.21,786.91,48.39,18.75,999.96,15.81,0.13,0.6,Gucheng
2013,5,28,11.241356,1.8933797,2.0,3.0,5.0,64.46,83.38,3.3,62.74,1121.65,16.87,19.66,998.0,15.36,0.07,1.03,Gucheng
2013,5,29,12.862432,-0.5755301,2.0,3.0,4.0,17.86,58.42,5.22,25.04,463.64,71.92,24.39,1001.67,2.53,0.0,1.87,Gucheng
2013,5,30,13.253445,-4.55908,2.0,3.0,3.0,65.12,149.75,13.71,66.71,1065.17,82.77,25.82,998.47,7.19,0.0,1.44,Gucheng
2013,5,31,12.698269,-4.018167,4.0,3.0,3.0,117.67,182.5,28.38,57.08,1316.5,107.62,24.62,994.92,14.43,0.0,1.04,Gucheng
2013,6,1,13.251037,-4.0399837,3.0,3.0,3.0,92.71,134.75,7.67,58.54,765.09,78.57,25.33,998.75,8.04,0.0,0.87,Gucheng
2013,6,2,12.919921,-4.7958684,5.0,1.0,3.0,200.21,232.38,19.67,89.42,1774.88,61.29,22.32,996.93,15.51,0.0,0.66,Gucheng
2013,6,3,13.514016,-4.212989,5.0,3.0,3.0,175.25,175.08,17.75,63.46,1637.21,129.71,25.85,997.29,15.0,0.0,0.85,Gucheng
2013,6,4,7.5293927,1.2426839,5.0,0.0,0.0,159.83,166.33,16.62,91.17,2029.0,52.62,20.96,1004.08,16.09,0.1,0.8,Gucheng
2013,6,5,6.370645,-0.8335913,4.0,0.0,0.0,148.25,112.75,3.08,61.88,1834.65,22.04,18.91,1004.38,17.74,0.1,0.31,Gucheng
2013,6,6,6.127524,-0.71688586,5.0,0.0,0.0,166.96,136.38,3.21,72.88,2587.08,3.21,19.29,1002.59,17.93,0.02,0.45,Gucheng
2013,6,7,6.118471,-0.7691985,5.0,0.0,0.0,179.58,134.46,5.25,74.79,2632.83,2.21,20.22,1000.79,18.82,0.76,0.45,Gucheng
2013,6,8,6.2263947,-0.2964984,3.0,0.0,0.0,,187.09,4.33,76.17,2883.0,4.0,20.17,1000.08,19.22,0.44,0.33,Gucheng
