year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-5.0118957,0.6873596,1.0,3.0,3.0,7.54,12.38,15.96,12.35,339.13,78.22,0.02,1023.78,-21.94,0.0,2.93,Huairou
2013,3,2,-3.69616,3.7768602,2.0,1.0,1.0,32.71,41.38,40.01,49.85,765.17,35.01,-0.99,1023.69,-16.24,0.0,1.58,Huairou
2013,3,3,-4.4964776,1.9672637,2.0,1.0,1.0,57.62,80.75,38.29,48.04,945.83,27.83,3.91,1011.39,-12.48,0.0,1.77,Huairou
2013,3,4,-3.5928648,3.8789356,1.0,1.0,4.0,19.11,45.88,25.71,35.12,524.96,55.92,7.11,1014.49,-13.1,0.0,1.89,Huairou
2013,3,5,-2.2410853,5.880461,3.0,1.0,5.0,106.14,121.33,52.0,68.48,1345.32,87.96,5.68,1007.92,-8.65,0.0,1.32,Huairou
2013,3,6,-1.6017691,6.501919,5.0,2.0,5.0,167.62,195.38,65.79,86.58,2095.62,80.38,5.47,1004.48,-5.6,0.0,1.24,Huairou
2013,3,7,-0.78127223,6.0648727,5.0,2.0,5.0,206.42,241.82,64.0,121.67,2466.38,63.58,7.63,999.4,-3.99,0.0,1.33,Huairou
2013,3,8,1.302765,1.3756622,5.0,1.0,5.0,194.88,232.25,58.56,88.81,2303.91,85.79,8.82,996.52,-2.75,0.0,2.32,Huairou
2013,3,9,-3.2644355,0.421019,2.0,0.0,4.0,52.12,142.75,29.57,33.43,804.35,102.5,6.2,1001.3,-11.9,0.0,3.97,Huairou
2013,3,10,-3.559758,3.9039967,2.0,0.0,4.0,43.62,68.92,32.25,46.58,762.5,90.54,3.73,1017.32,-14.14,0.0,1.74,Huairou
2013,3,11,-2.167895,6.2101016,4.0,1.0,5.0,119.54,141.88,73.0,72.38,1295.67,70.96,4.88,1010.81,-8.55,0.0,1.4,Huairou
2013,3,12,-2.3877895,1.9569498,3.0,3.0,1.0,106.54,104.67,29.83,81.75,1208.17,41.88,4.94,1005.86,-0.71,0.06,1.63,Huairou
2013,3,13,-3.8153324,1.4269538,1.0,0.0,4.0,10.58,16.46,15.08,19.25,322.73,85.46,2.45,1019.56,-13.34,0.0,2.75,Huairou
2013,3,14,-1.8441728,5.8498874,3.0,1.0,5.0,108.0,120.79,32.46,78.21,1470.58,79.25,2.0,1018.57,-4.95,0.0,1.56,Huairou
2013,3,15,-0.82662636,6.494108,5.0,2.0,5.0,220.83,223.96,49.58,102.04,2021.48,45.38,4.2,1011.42,-2.3,0.0,1.16,Huairou
2013,3,16,-0.6469353,6.410485,5.0,2.0,5.0,236.0,223.92,48.38,83.08,2038.91,77.71,8.2,1013.63,-0.96,0.0,1.75,Huairou
2013,3,17,-0.42041287,4.1842446,6.0,2.0,5.0,280.29,285.92,65.83,105.54,2521.43,99.67,8.09,998.97,1.15,0.0,1.37,Huairou
2013,3,18,-1.2795018,-1.0579935,3.0,3.0,3.0,95.42,115.88,10.25,32.71,799.92,87.79,7.28,998.18,-10.78,0.0,3.7,Huairou
2013,3,19,-3.7544954,-0.5296173,1.0,3.0,3.0,29.46,14.96,4.38,29.21,479.17,40.0,0.97,1005.96,-0.15,0.34,2.42,Huairou
2013,3,20,-1.9724375,2.3762705,1.0,1.0,1.0,35.75,32.96,6.62,33.08,591.67,54.62,0.44,1013.8,-4.21,0.15,1.89,Huairou
2013,3,21,0.6598097,1.845508,4.0,1.0,1.0,122.17,129.88,20.54,62.5,1369.35,28.91,3.07,1001.98,-3.12,0.0,1.44,Huairou
2013,3,22,0.7446622,0.4381821,2.0,1.0,1.0,64.88,107.0,20.12,33.79,637.5,59.42,6.29,1008.58,-8.47,0.0,2.99,Huairou
2013,3,23,-3.5398252,0.6418692,2.0,3.0,3.0,40.0,52.54,28.67,28.22,795.83,43.75,4.08,1005.7,-8.87,0.0,2.41,Huairou
2013,3,24,0.18275201,-0.6115661,1.0,3.0,3.0,11.92,20.75,5.79,12.5,284.21,69.78,3.36,1013.21,-13.75,0.0,2.16,Huairou
2013,3,25,3.4125261,3.0980642,3.0,2.0,5.0,91.96,119.29,32.7,6.84,2061.88,35.02,3.72,1012.32,-7.17,0.0,1.72,Huairou
2013,3,26,2.688431,2.7656972,5.0,2.0,5.0,182.12,210.33,32.33,5.86,1827.05,22.36,5.84,1004.62,-2.6,0.0,1.47,Huairou
2013,3,27,-2.3764675,-0.06096668,3.0,3.0,3.0,94.0,137.78,11.58,10.18,1426.0,56.3,10.1,1002.35,-6.21,0.0,3.21,Huairou
2013,3,28,-2.7200537,0.32578012,1.0,3.0,3.0,19.33,38.71,7.58,19.5,795.83,78.12,6.54,1012.12,-15.35,0.0,2.52,Huairou
2013,3,29,-3.9282262,4.7291017,2.0,1.0,5.0,46.83,80.71,23.54,35.87,918.14,50.55,4.7,1013.32,-9.99,0.0,1.75,Huairou
2013,3,30,-0.008492987,2.6393273,3.0,1.0,5.0,81.0,126.29,59.58,39.42,1499.92,55.62,5.97,1013.59,-5.22,0.0,2.28,Huairou
2013,3,31,1.7282586,2.5453777,5.0,2.0,5.0,151.92,181.62,25.21,39.62,1024.96,25.71,4.72,1010.12,1.5,0.0,1.29,Huairou
2013,4,1,0.0982377,-0.5388985,4.0,3.0,3.0,129.46,139.75,20.08,26.96,1129.04,54.46,8.7,1008.44,-3.38,0.0,2.7,Huairou
2013,4,2,3.2399476,-0.47681296,3.0,0.0,0.0,77.25,116.38,21.17,40.04,990.86,70.79,8.72,1008.3,-6.56,0.0,1.8,Huairou
2013,4,3,0.047417413,1.749475,3.0,1.0,5.0,105.0,204.17,30.33,36.92,1108.57,80.68,11.65,1003.5,-2.58,0.0,2.69,Huairou
2013,4,4,-2.5579588,2.7705767,2.0,1.0,1.0,59.0,86.25,40.79,37.33,1574.79,41.46,7.41,1005.85,0.2,0.44,1.67,Huairou
2013,4,5,-2.5255659,-1.9730004,2.0,3.0,3.0,44.67,33.58,8.92,15.76,808.04,60.21,8.06,1009.6,-2.48,0.02,3.37,Huairou
2013,4,6,-1.0192057,0.7548978,1.0,1.0,1.0,14.67,29.92,4.54,20.35,465.22,63.48,6.85,1007.58,-8.32,0.0,1.93,Huairou
2013,4,7,-2.5494704,1.4110111,2.0,3.0,3.0,67.79,113.96,38.88,40.86,1237.42,47.88,8.05,999.43,-2.75,0.0,2.22,Huairou
