year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,5.6084666,5.4599056,1.0,1.0,1.0,6.46,10.83,9.25,27.71,341.67,72.08,1.32,1028.78,-21.47,0.0,3.31,Nongzhanguan
2013,3,2,1.0319773,1.2133514,2.0,2.0,2.0,28.75,37.71,33.96,64.74,986.87,40.17,0.49,1028.85,-16.96,0.0,0.79,Nongzhanguan
2013,3,3,3.050791,1.6515007,3.0,2.0,2.0,104.75,135.5,63.71,105.67,2308.0,18.58,4.99,1016.46,-12.31,0.0,1.22,Nongzhanguan
2013,3,4,0.34947607,-0.34272507,2.0,2.0,2.0,22.88,35.08,14.67,49.54,674.96,62.46,10.56,1019.45,-14.0,0.0,2.5,Nongzhanguan
2013,3,5,-2.0694392,-0.7334001,4.0,2.0,5.0,131.83,173.08,89.21,137.21,2578.88,77.58,7.21,1012.7,-7.78,0.0,0.91,Nongzhanguan
2013,3,6,-1.8255239,-0.50930107,5.0,2.0,5.0,195.33,213.75,116.0,149.0,2843.04,30.46,8.0,1009.3,-5.38,0.0,0.78,Nongzhanguan
2013,3,7,-1.4138871,0.5352955,6.0,3.0,5.0,270.38,294.58,102.96,167.08,4158.0,47.58,9.26,1004.11,-2.55,0.0,1.17,Nongzhanguan
2013,3,8,1.0577153,-0.11883811,5.0,2.0,0.0,217.79,239.42,69.4,129.96,3069.43,99.33,9.66,1001.33,-2.5,0.0,1.68,Nongzhanguan
2013,3,9,5.308312,3.303696,3.0,0.0,0.0,56.38,218.12,39.62,51.25,1404.08,93.42,7.23,1006.13,-12.1,0.0,4.0,Nongzhanguan
2013,3,10,0.67212826,-0.86879516,2.0,2.0,2.0,35.88,50.38,20.58,55.08,760.87,94.38,5.79,1022.5,-15.11,0.0,2.33,Nongzhanguan
2013,3,11,1.4288827,-0.67120385,3.0,2.0,2.0,113.04,134.04,86.33,87.0,1337.33,87.04,7.18,1015.58,-7.65,0.0,1.52,Nongzhanguan
2013,3,12,3.546423,1.7258793,4.0,1.0,1.0,127.83,120.12,38.54,90.79,1999.71,50.17,5.1,1010.8,1.12,0.22,1.18,Nongzhanguan
2013,3,13,3.1209052,2.6645267,1.0,1.0,2.0,19.38,16.87,13.71,38.67,508.33,78.21,4.36,1024.75,-11.82,0.0,2.02,Nongzhanguan
2013,3,14,0.008209556,-0.7944827,3.0,2.0,5.0,87.46,96.08,61.79,75.38,1399.91,86.5,3.96,1023.47,-4.99,0.0,1.86,Nongzhanguan
2013,3,15,-1.8968028,0.048678648,5.0,2.0,5.0,211.04,225.12,79.96,113.33,2416.21,60.33,5.87,1016.39,-1.32,0.0,0.94,Nongzhanguan
2013,3,16,-2.116823,-0.11529564,5.0,2.0,5.0,244.5,217.21,74.46,97.75,2320.62,81.58,9.63,1018.64,-0.26,0.0,1.78,Nongzhanguan
2013,3,17,1.2380733,1.5514561,6.0,0.0,4.0,282.38,280.5,82.33,120.88,2682.96,106.29,9.97,1003.75,2.35,0.0,1.12,Nongzhanguan
2013,3,18,5.5226097,4.5199957,2.0,1.0,1.0,69.08,86.17,15.92,41.67,804.3,91.38,8.17,1003.12,-10.99,0.0,3.86,Nongzhanguan
2013,3,19,4.5186386,4.6082425,2.0,1.0,1.0,32.88,32.92,11.75,41.92,679.17,35.54,2.19,1010.85,-2.47,0.18,2.07,Nongzhanguan
2013,3,20,2.337243,2.623607,2.0,1.0,2.0,49.83,39.12,12.88,41.0,879.17,44.29,1.76,1019.26,-4.14,0.25,1.89,Nongzhanguan
2013,3,21,2.1177948,0.61019444,4.0,2.0,4.0,122.83,136.62,31.58,82.21,1266.54,24.67,4.52,1006.81,-3.0,0.0,1.71,Nongzhanguan
2013,3,22,3.182393,-0.46682617,3.0,1.0,2.0,79.29,117.96,25.12,58.17,869.52,55.96,6.32,1013.68,-6.19,0.0,2.41,Nongzhanguan
2013,3,23,4.555037,2.471334,2.0,1.0,1.0,52.04,86.71,30.04,55.5,1137.38,37.21,4.47,1010.57,-7.76,0.0,3.29,Nongzhanguan
2013,3,24,2.4001157,1.4552699,1.0,1.0,2.0,18.33,31.5,9.33,34.88,405.26,66.11,4.79,1018.22,-15.44,0.0,2.32,Nongzhanguan
2013,3,25,1.5321001,-0.0014139237,3.0,2.0,2.0,100.54,125.67,48.75,81.12,1150.0,38.09,5.47,1017.35,-8.03,0.0,1.81,Nongzhanguan
2013,3,26,2.454034,0.006883795,5.0,2.0,4.0,174.88,203.04,67.38,90.04,1545.27,22.51,8.47,1009.4,-1.87,0.0,1.61,Nongzhanguan
2013,3,27,5.7490005,2.7998855,3.0,1.0,1.0,88.92,118.21,16.21,44.71,812.96,52.94,11.37,1006.9,-4.37,0.0,2.84,Nongzhanguan
2013,3,28,2.390534,1.5721902,1.0,1.0,2.0,28.38,48.04,8.79,37.25,533.33,75.71,8.3,1017.23,-12.87,0.0,2.09,Nongzhanguan
2013,3,29,1.0554711,-0.44212976,3.0,2.0,2.0,91.38,129.83,46.79,76.79,1670.58,31.0,6.01,1018.07,-6.32,0.0,2.2,Nongzhanguan
2013,3,30,1.7676133,-0.1788522,2.0,2.0,2.0,75.38,99.17,57.58,58.75,1617.22,55.22,5.96,1018.73,-4.2,0.0,2.09,Nongzhanguan
2013,3,31,0.8138241,1.1996721,5.0,2.0,4.0,170.08,183.04,26.12,74.33,1328.96,7.67,5.55,1015.0,2.44,0.0,1.75,Nongzhanguan
2013,4,1,3.2386827,2.4124706,3.0,1.0,2.0,92.12,110.58,36.67,49.46,1403.92,57.12,10.89,1013.38,-4.93,0.0,3.02,Nongzhanguan
2013,4,2,3.9480762,-2.570581,3.0,2.0,2.0,100.08,127.0,41.42,71.33,1430.26,63.34,11.18,1013.15,-2.95,0.0,1.98,Nongzhanguan
2013,4,3,2.8347101,-1.713751,4.0,2.0,2.0,122.58,182.42,45.29,84.62,1482.22,63.61,11.72,1008.48,-1.9,0.0,2.26,Nongzhanguan
2013,4,4,2.5150664,0.6640542,2.0,2.0,2.0,69.71,101.83,62.17,76.12,2299.67,33.21,8.32,1010.71,-1.38,0.27,1.51,Nongzhanguan
2013,4,5,5.594279,3.6776116,2.0,1.0,1.0,56.58,46.04,13.71,41.71,1183.21,44.0,9.0,1014.64,-1.78,0.09,3.36,Nongzhanguan
2013,4,6,2.6085744,2.4500787,1.0,1.0,2.0,11.62,19.75,6.25,30.58,429.17,72.92,9.4,1012.62,-10.38,0.0,2.72,Nongzhanguan
2013,4,7,4.0729246,0.8509392,3.0,0.0,0.0,77.29,103.5,39.71,62.96,1256.35,50.22,9.26,1004.02,-2.84,0.0,2.17,Nongzhanguan
2013,4,8,7.1297283,2.71986,2.0,1.0,1.0,25.21,112.22,5.08,24.62,345.83,78.54,9.34,1008.72,-13.17,0.0,6.1,Nongzhanguan
2013,4,9,8.254568,2.5887034,1.0,1.0,1.0,12.21,25.83,3.54,20.75,312.5,89.88,8.37,1016.05,-10.79,0.0,4.69,Nongzhanguan
2013,4,10,6.8377633,0.99143535,1.0,1.0,1.0,13.38,26.79,4.5,35.38,416.67,69.81,8.11,1015.6,-10.82,0.0,3.22,Nongzhanguan
2013,4,11,4.371348,1.5251188,2.0,1.0,1.0,18.46,39.33,6.93,62.23,595.24,53.98,10.58,1014.38,-11.76,0.0,2.35,Nongzhanguan
2013,4,12,4.8198857,-0.8620303,3.0,2.0,2.0,55.67,115.21,23.83,82.79,863.64,40.37,15.92,1008.38,-5.6,0.0,2.09,Nongzhanguan
2013,4,13,5.6978626,1.7105252,2.0,1.0,1.0,60.12,128.0,24.25,57.83,741.62,49.71,17.83,1000.58,-1.18,0.0,3.06,Nongzhanguan
2013,4,14,3.4822872,-0.8583892,2.0,2.0,2.0,32.75,95.67,11.21,38.88,587.5,80.92,12.38,1006.3,-8.0,0.0,2.2,Nongzhanguan
2013,4,15,3.35711,-1.0766255,2.0,2.0,2.0,72.29,145.83,48.04,63.0,1425.74,66.52,12.29,999.45,-0.73,0.0,2.45,Nongzhanguan
2013,4,16,4.9909444,-0.9636259,2.0,0.0,0.0,62.5,136.33,31.88,51.92,1041.58,79.12,13.92,1002.96,-0.94,0.0,2.21,Nongzhanguan
2013,4,17,6.032377,1.7323633,2.0,1.0,1.0,47.08,66.96,16.58,49.46,616.67,73.46,11.52,1007.79,-3.15,0.0,2.02,Nongzhanguan
2013,4,18,3.8166466,2.475197,1.0,1.0,1.0,13.17,41.21,4.01,23.6,300.0,82.38,10.72,1018.86,-14.05,0.0,2.63,Nongzhanguan
2013,4,19,4.7824125,-0.042859573,2.0,1.0,1.0,49.62,71.62,17.65,48.09,769.57,52.57,6.75,1020.45,-2.57,0.0,2.75,Nongzhanguan
2013,4,20,5.6765676,-2.3966482,2.0,0.0,0.0,68.54,72.79,9.04,52.92,733.33,59.54,9.37,1017.12,-0.42,0.0,1.93,Nongzhanguan
2013,4,21,4.140082,-2.2611573,4.0,2.0,2.0,119.38,132.62,32.11,68.01,1138.89,53.58,12.36,1014.17,2.18,0.0,2.27,Nongzhanguan
