year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,11.194721,10.8858185,1.0,1.0,1.0,8.0,14.29,11.65,32.43,395.65,46.35,1.39,1026.88,-18.75,0.0,3.25,Wanliu
2013,3,2,6.3572745,11.857951,2.0,3.0,3.0,29.08,41.62,34.25,73.71,908.33,17.67,0.62,1026.85,-15.94,0.0,1.48,Wanliu
2013,3,3,9.103522,10.311593,3.0,1.0,3.0,80.12,130.75,50.21,86.96,2074.58,12.08,5.57,1014.61,-12.32,0.0,1.66,Wanliu
2013,3,4,7.28417,11.62058,2.0,3.0,3.0,22.88,52.38,27.08,66.83,829.08,31.75,9.96,1017.65,-11.68,0.0,2.4,Wanliu
2013,3,5,3.7249248,11.566735,4.0,3.0,5.0,134.04,196.96,80.74,121.0,2530.09,48.54,6.29,1010.9,-7.52,0.0,1.13,Wanliu
2013,3,6,3.190588,10.986552,5.0,3.0,5.0,229.54,276.88,104.29,130.42,3328.71,16.29,7.18,1007.48,-4.22,0.0,1.48,Wanliu
2013,3,7,4.2256827,10.360135,5.0,2.0,5.0,238.0,318.33,79.96,133.58,4733.0,25.21,9.29,1002.32,-2.03,0.0,1.56,Wanliu
2013,3,8,6.959493,9.436427,5.0,3.0,0.0,210.62,273.71,60.68,121.03,4522.55,64.46,9.61,999.48,-1.15,0.0,1.64,Wanliu
2013,3,9,10.421415,9.832324,3.0,1.0,1.0,66.0,205.81,25.8,44.72,1277.18,61.71,6.98,1004.39,-10.16,0.0,3.39,Wanliu
2013,3,10,7.348741,11.73776,2.0,3.0,3.0,38.08,71.46,18.96,61.17,816.62,67.46,5.26,1020.49,-12.85,0.0,2.44,Wanliu
2013,3,11,5.929241,10.515378,4.0,3.0,5.0,139.96,197.92,79.88,89.92,2295.43,56.42,5.54,1013.66,-6.62,0.0,1.57,Wanliu
2013,3,12,7.841247,8.573131,4.0,0.0,0.0,134.38,148.46,24.61,84.82,2249.75,21.0,4.6,1008.81,1.35,0.12,1.08,Wanliu
2013,3,13,7.8967032,11.778371,2.0,0.0,3.0,21.71,30.88,18.54,70.25,645.79,47.46,4.93,1022.48,-10.05,0.0,2.33,Wanliu
2013,3,14,3.9967785,11.742134,3.0,3.0,5.0,104.38,120.46,57.08,92.42,1454.04,61.04,3.82,1021.4,-3.59,0.0,1.95,Wanliu
2013,3,15,3.076337,11.160821,5.0,3.0,5.0,225.08,251.33,80.79,133.96,2345.46,37.79,6.4,1014.5,-1.07,0.0,1.42,Wanliu
2013,3,16,3.5420449,11.692145,5.0,3.0,5.0,248.08,262.58,79.75,121.96,2578.09,59.79,9.53,1016.85,0.88,0.0,1.7,Wanliu
2013,3,17,5.822043,9.266847,6.0,3.0,5.0,284.92,316.67,79.96,140.21,2769.09,88.71,10.01,1001.94,3.15,0.0,1.15,Wanliu
2013,3,18,10.639465,10.436944,2.0,1.0,1.0,70.79,106.75,20.83,59.58,843.43,82.0,8.38,1001.22,-9.4,0.0,3.64,Wanliu
2013,3,19,8.82903,9.460291,2.0,1.0,1.0,35.46,41.79,14.75,61.21,734.78,16.32,2.07,1008.89,-1.33,0.38,1.92,Wanliu
2013,3,20,7.10297,9.960319,2.0,0.0,3.0,53.71,52.25,18.58,61.38,956.48,26.86,1.52,1017.12,-2.82,0.31,1.99,Wanliu
2013,3,21,7.172322,6.455298,4.0,3.0,0.0,133.38,159.83,32.54,96.65,1399.88,11.12,3.59,1004.92,-1.42,0.0,1.65,Wanliu
2013,3,22,7.474872,9.418426,3.0,3.0,3.0,84.79,124.58,32.04,90.46,979.12,33.25,6.3,1011.56,-4.54,0.0,2.55,Wanliu
2013,3,23,9.310426,10.118267,2.0,1.0,1.0,55.17,83.38,35.0,75.92,1145.67,27.62,4.77,1008.5,-6.29,0.0,2.41,Wanliu
2013,3,24,7.473261,10.988396,2.0,3.0,3.0,19.58,32.96,16.33,60.42,431.58,53.44,5.11,1016.26,-12.9,0.0,2.69,Wanliu
2013,3,25,5.776463,8.136943,3.0,3.0,5.0,104.62,140.08,50.71,109.92,1224.88,30.71,5.15,1015.3,-5.38,0.0,1.92,Wanliu
2013,3,26,5.4213214,9.373456,5.0,3.0,5.0,181.38,239.21,66.75,128.5,1838.96,11.28,6.8,1007.57,-0.8,0.0,1.66,Wanliu
2013,3,27,10.033322,10.608367,3.0,1.0,1.0,89.38,117.38,24.96,64.0,1039.04,40.11,10.88,1005.16,-4.57,0.0,2.85,Wanliu
2013,3,28,7.5714207,10.142186,2.0,0.0,3.0,25.67,51.7,10.0,64.1,350.0,57.85,7.88,1015.57,-10.24,0.0,2.22,Wanliu
2013,3,29,7.0356064,10.61354,3.0,3.0,3.0,75.33,124.65,36.0,98.6,1476.77,30.46,6.21,1016.28,-5.3,0.0,1.57,Wanliu
2013,3,30,7.291296,7.4958816,3.0,3.0,3.0,89.04,114.88,55.5,84.17,1599.67,36.88,6.45,1016.82,-2.53,0.0,1.74,Wanliu
2013,3,31,6.6520023,6.5720963,5.0,2.0,0.0,185.29,216.92,20.0,80.25,1483.17,2.33,5.57,1013.12,2.48,0.0,1.5,Wanliu
2013,4,1,8.041617,9.2781515,3.0,0.0,3.0,100.79,130.42,19.46,70.75,1078.13,52.64,10.46,1011.7,-4.69,0.0,3.07,Wanliu
2013,4,2,6.4490705,4.86842,3.0,3.0,5.0,110.54,152.88,42.38,109.96,1428.96,45.75,10.04,1011.41,-1.5,0.0,1.92,Wanliu
2013,4,3,7.67325,8.539557,4.0,3.0,3.0,145.17,225.71,43.88,119.21,1620.67,47.92,11.92,1006.75,0.03,0.0,1.83,Wanliu
2013,4,4,7.713934,8.919171,3.0,3.0,3.0,70.62,99.58,39.21,95.0,1903.71,28.29,7.76,1009.12,-0.09,0.34,1.55,Wanliu
2013,4,5,10.415514,10.60905,2.0,1.0,1.0,69.33,57.71,13.0,56.38,1147.78,42.55,8.52,1013.28,-0.51,0.1,2.45,Wanliu
2013,4,6,8.317899,10.990441,2.0,1.0,3.0,13.12,27.88,9.79,68.38,720.79,50.0,8.56,1010.84,-6.86,0.0,1.87,Wanliu
2013,4,7,9.281928,5.917956,3.0,0.0,4.0,85.08,136.46,39.88,82.67,1299.83,35.22,8.85,1002.4,-0.61,0.0,1.67,Wanliu
2013,4,8,12.058717,8.812211,2.0,1.0,1.0,25.21,122.54,12.59,29.67,404.76,72.42,9.02,1007.2,-10.9,0.0,4.72,Wanliu
2013,4,9,11.538768,11.775428,1.0,1.0,1.0,10.38,33.96,12.0,37.38,250.0,76.47,8.05,1014.6,-9.13,0.0,3.96,Wanliu
2013,4,10,10.721845,5.7020087,2.0,1.0,1.0,12.25,30.29,10.08,61.83,291.67,57.85,7.78,1014.03,-8.33,0.0,2.6,Wanliu
2013,4,11,10.34825,5.5845466,3.0,1.0,3.0,18.75,57.79,14.33,90.91,577.27,38.04,9.79,1012.81,-7.93,0.0,2.15,Wanliu
2013,4,12,9.332378,5.4602,3.0,0.0,3.0,49.71,124.92,29.83,123.24,718.18,21.87,14.74,1006.79,-2.2,0.0,1.99,Wanliu
2013,4,13,10.418882,7.647508,3.0,1.0,1.0,50.71,128.17,23.18,85.61,591.3,42.27,17.38,999.1,0.13,0.0,3.08,Wanliu
2013,4,14,8.1371,6.63695,3.0,0.0,3.0,34.33,110.62,16.46,86.46,491.67,59.17,11.94,1004.55,-2.83,0.0,2.4,Wanliu
2013,4,15,9.045981,7.42495,3.0,0.0,3.0,75.71,158.0,48.33,94.7,1429.0,54.75,12.72,997.73,1.37,0.0,1.78,Wanliu
2013,4,16,10.032078,8.42124,2.0,0.0,4.0,51.29,122.42,28.64,56.13,856.52,70.82,14.53,1001.21,0.59,0.0,2.38,Wanliu
2013,4,17,10.326961,9.977649,2.0,1.0,1.0,47.62,74.75,22.3,54.13,695.45,72.77,12.36,1005.91,-1.1,0.0,2.1,Wanliu
2013,4,18,9.869571,10.974587,1.0,1.0,1.0,7.08,22.83,5.54,29.0,286.96,76.06,11.02,1017.2,-11.62,0.0,2.52,Wanliu
2013,4,19,10.437495,5.8530307,2.0,1.0,1.0,45.46,82.58,18.71,52.12,716.67,47.75,6.2,1018.66,-1.25,0.01,2.7,Wanliu
2013,4,20,9.47395,4.1890426,2.0,0.0,4.0,71.67,76.08,14.0,55.92,713.04,53.79,8.92,1015.36,0.76,0.0,2.08,Wanliu
2013,4,21,6.702498,7.391666,4.0,3.0,3.0,125.04,157.17,35.32,83.13,1087.44,48.54,11.87,1012.36,3.3,0.0,2.29,Wanliu
2013,4,22,5.128297,9.604402,5.0,3.0,5.0,176.7,189.39,63.21,84.04,1295.67,24.33,12.28,1008.33,6.23,0.0,1.7,Wanliu
2013,4,23,5.1872625,7.7286496,5.0,2.0,0.0,203.79,199.29,35.5,89.71,1341.5,15.79,11.79,1005.7,7.67,0.0,1.36,Wanliu
2013,4,24,10.7596655,8.762381,3.0,1.0,1.0,112.5,140.88,17.67,73.25,1149.92,35.92,15.36,1005.2,2.26,0.0,1.93,Wanliu
2013,4,25,10.716924,5.6823883,2.0,1.0,3.0,15.08,49.83,9.26,54.35,421.74,50.41,14.91,1007.48,-3.28,0.0,2.3,Wanliu
2013,4,26,8.871918,6.55455,3.0,0.0,3.0,79.33,154.08,32.96,91.29,1062.42,48.21,16.19,1004.45,2.2,0.0,1.34,Wanliu
2013,4,27,9.120784,9.873697,2.0,3.0,4.0,63.57,104.13,39.5,77.0,886.36,74.9,17.8,1005.23,3.71,0.0,1.44,Wanliu
2013,4,28,9.363585,8.91318,2.0,1.0,1.0,72.71,118.92,55.38,62.75,1637.38,83.62,16.25,1004.77,4.39,0.0,1.29,Wanliu
2013,4,29,12.126823,6.495684,2.0,1.0,1.0,20.79,91.12,11.04,48.09,431.19,58.5,20.12,1006.45,-2.98,0.0,2.25,Wanliu
2013,4,30,11.5623865,5.6731315,2.0,1.0,1.0,32.42,75.62,13.38,51.88,525.0,51.38,20.72,1008.27,-3.46,0.0,1.58,Wanliu
2013,5,1,11.181133,1.7881137,2.0,0.0,4.0,44.96,97.67,20.42,56.33,616.67,70.67,17.4,1009.47,2.45,0.0,1.95,Wanliu
2013,5,2,12.079799,1.081454,3.0,0.0,4.0,80.38,127.17,46.54,61.21,958.33,76.75,19.23,1006.32,5.17,0.0,1.75,Wanliu
2013,5,3,11.673241,0.8811981,2.0,0.0,4.0,64.96,84.17,24.83,43.42,786.91,108.0,18.13,1011.19,7.23,0.0,2.08,Wanliu
2013,5,4,10.755805,0.9391897,3.0,0.0,4.0,107.5,133.38,32.54,55.62,841.67,92.71,18.78,1010.77,8.93,0.0,1.86,Wanliu
