year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,13.20789,10.570403,1.0,1.0,2.0,8.04,10.75,7.43,18.26,326.09,57.22,2.06,1025.9,-19.71,0.0,2.61,Wanshouxigong
2013,3,2,9.501599,13.766164,2.0,2.0,5.0,30.92,40.96,30.96,50.33,879.17,27.83,0.68,1026.02,-15.48,0.0,1.06,Wanshouxigong
2013,3,3,10.079623,11.539945,3.0,2.0,5.0,96.0,130.46,58.71,88.42,2004.0,11.5,5.26,1013.77,-11.78,0.0,1.39,Wanshouxigong
2013,3,4,11.016747,13.411347,2.0,2.0,5.0,23.12,38.67,18.92,43.67,754.04,42.46,9.44,1016.82,-11.81,0.0,1.71,Wanshouxigong
2013,3,5,8.101283,15.624717,4.0,2.0,4.0,148.67,171.67,79.43,102.04,2277.96,81.79,7.25,1009.92,-7.46,0.0,0.88,Wanshouxigong
2013,3,6,7.564009,14.593825,5.0,2.0,4.0,207.88,232.67,108.75,125.42,3153.79,60.04,7.88,1006.68,-4.58,0.0,0.83,Wanshouxigong
2013,3,7,7.2824116,13.25758,6.0,3.0,4.0,265.33,304.71,93.5,138.25,4420.42,38.38,9.52,1001.4,-1.95,0.0,1.15,Wanshouxigong
2013,3,8,10.054343,9.982158,5.0,2.0,5.0,223.42,257.92,63.4,119.87,3491.22,91.33,10.25,998.54,-1.74,0.0,1.68,Wanshouxigong
2013,3,9,13.58009,9.013074,3.0,1.0,1.0,57.25,234.79,31.0,40.17,1182.48,83.92,7.38,1003.39,-10.78,0.0,3.12,Wanshouxigong
2013,3,10,11.00291,13.941155,2.0,2.0,5.0,35.08,48.17,23.33,44.33,875.0,82.42,5.29,1019.85,-14.08,0.0,2.17,Wanshouxigong
2013,3,11,9.034207,13.28678,4.0,2.0,5.0,120.21,144.38,97.75,74.38,1624.79,74.54,5.75,1012.8,-7.25,0.0,1.18,Wanshouxigong
2013,3,12,10.111468,11.111603,4.0,1.0,5.0,123.71,100.58,31.04,72.92,1820.58,33.42,5.16,1007.94,0.89,0.27,1.08,Wanshouxigong
2013,3,13,11.495004,13.2571945,1.0,1.0,5.0,21.71,19.0,14.67,34.12,634.78,62.67,5.0,1021.72,-10.5,0.0,2.04,Wanshouxigong
2013,3,14,8.85284,14.385822,3.0,2.0,5.0,85.58,85.54,56.38,64.42,1583.21,66.92,4.3,1020.58,-4.28,0.0,1.71,Wanshouxigong
2013,3,15,7.185395,14.182972,5.0,2.0,4.0,175.38,208.58,74.71,94.33,2382.3,43.71,6.06,1013.58,-0.93,0.0,1.0,Wanshouxigong
2013,3,16,7.6246357,14.57811,5.0,2.0,4.0,227.38,236.29,71.46,82.38,2469.22,72.88,10.06,1015.91,0.65,0.0,1.32,Wanshouxigong
2013,3,17,8.151288,11.637066,6.0,2.0,5.0,273.5,294.5,67.46,96.96,2725.74,100.75,9.96,1001.09,2.98,0.0,0.98,Wanshouxigong
2013,3,18,12.264882,9.938186,2.0,1.0,2.0,73.75,99.21,15.83,35.42,917.35,87.65,8.52,1000.17,-9.7,0.0,3.56,Wanshouxigong
2013,3,19,10.421284,9.298521,2.0,1.0,2.0,38.83,50.92,10.83,39.79,865.22,19.71,2.48,1007.97,-2.02,0.32,1.38,Wanshouxigong
2013,3,20,9.406981,10.825952,2.0,1.0,5.0,51.58,55.04,13.67,35.75,1082.57,26.9,1.68,1016.5,-2.93,0.13,1.98,Wanshouxigong
2013,3,21,9.145922,10.353577,4.0,0.0,5.0,135.54,145.38,30.46,68.0,1386.65,14.3,4.15,1003.85,-2.1,0.0,1.35,Wanshouxigong
2013,3,22,10.685104,12.218506,3.0,1.0,5.0,81.79,123.88,23.58,48.29,962.5,44.96,6.91,1010.76,-6.14,0.0,2.3,Wanshouxigong
2013,3,23,12.019405,10.726121,2.0,1.0,2.0,53.58,82.54,27.88,46.79,1204.0,29.75,5.38,1007.55,-7.73,0.0,2.4,Wanshouxigong
2013,3,24,11.395577,12.985341,1.0,1.0,5.0,18.17,32.54,10.21,29.62,390.0,57.72,5.34,1015.38,-14.88,0.0,2.02,Wanshouxigong
2013,3,25,9.119477,12.9106,3.0,2.0,5.0,99.17,122.71,40.02,66.62,1228.43,43.82,5.48,1014.43,-7.4,0.0,1.71,Wanshouxigong
2013,3,26,9.045859,12.3769655,5.0,2.0,5.0,182.96,210.88,66.67,69.46,1591.09,14.23,7.4,1006.68,-1.4,0.0,1.54,Wanshouxigong
2013,3,27,12.041453,10.0349245,3.0,1.0,2.0,84.88,102.75,16.33,33.83,869.52,45.11,11.12,1004.03,-4.9,0.0,2.78,Wanshouxigong
2013,3,28,11.558506,11.938571,1.0,1.0,2.0,28.67,43.46,8.0,28.0,570.83,66.29,8.46,1014.58,-11.61,0.0,2.42,Wanshouxigong
2013,3,29,9.765439,13.4974985,3.0,2.0,5.0,85.38,118.71,33.04,65.67,1521.48,26.7,6.73,1015.16,-6.32,0.0,1.79,Wanshouxigong
2013,3,30,8.413634,11.923999,2.0,2.0,5.0,75.46,96.42,50.92,47.96,1633.08,41.21,6.55,1015.8,-3.52,0.0,1.87,Wanshouxigong
2013,3,31,7.726378,11.143344,5.0,2.0,5.0,174.75,191.96,23.33,60.92,1604.04,4.21,6.07,1012.06,2.6,0.0,1.31,Wanshouxigong
2013,4,1,11.112743,12.136224,3.0,1.0,5.0,93.0,103.25,33.25,40.75,1566.58,48.5,11.22,1010.66,-5.72,0.0,2.63,Wanshouxigong
2013,4,2,9.250289,5.828947,3.0,2.0,5.0,107.21,135.25,38.04,54.17,1499.91,57.42,10.81,1010.5,-1.42,0.0,2.05,Wanshouxigong
2013,4,3,9.792789,9.857499,4.0,2.0,5.0,126.0,183.75,43.29,72.58,1630.26,47.58,11.92,1005.72,-1.18,0.0,1.73,Wanshouxigong
2013,4,4,8.778074,12.119865,2.0,2.0,5.0,68.71,99.54,50.67,63.67,2264.96,26.86,8.04,1008.07,-1.3,0.28,1.55,Wanshouxigong
2013,4,5,12.323811,10.225315,2.0,1.0,2.0,61.62,59.46,13.17,36.17,1378.83,35.08,9.03,1012.13,-1.55,0.11,2.35,Wanshouxigong
2013,4,6,11.60745,12.841519,1.0,1.0,2.0,11.29,18.58,5.96,23.75,508.7,57.35,9.15,1009.95,-9.85,0.0,1.66,Wanshouxigong
2013,4,7,10.21852,11.508546,3.0,1.0,5.0,90.88,113.0,35.75,54.83,1281.73,36.05,9.51,1001.19,-2.55,0.0,1.78,Wanshouxigong
2013,4,8,14.382413,8.342139,2.0,1.0,2.0,75.08,92.46,5.04,15.33,370.83,68.54,9.47,1006.29,-12.61,0.0,5.26,Wanshouxigong
2013,4,9,14.5827265,9.260206,1.0,1.0,2.0,24.12,31.42,4.29,11.5,354.17,78.92,8.38,1013.61,-10.4,0.0,3.86,Wanshouxigong
2013,4,10,12.299732,7.312577,1.0,1.0,2.0,22.42,28.58,3.86,19.97,404.55,61.11,8.42,1013.06,-10.77,0.0,3.04,Wanshouxigong
2013,4,11,11.530372,6.3319745,2.0,1.0,2.0,38.54,41.67,5.81,41.71,718.14,44.12,10.35,1011.8,-10.98,0.0,2.31,Wanshouxigong
2013,4,12,8.463401,10.257236,3.0,0.0,5.0,107.62,111.08,19.15,63.56,942.81,29.63,14.52,1005.85,-3.38,0.0,1.6,Wanshouxigong
2013,4,13,11.868321,10.948573,4.0,1.0,2.0,122.67,113.79,19.46,41.21,837.33,41.04,17.46,997.93,-0.99,0.0,3.1,Wanshouxigong
2013,4,14,10.786403,13.129483,3.0,1.0,5.0,89.21,97.74,14.29,27.75,669.52,65.96,12.63,1003.58,-3.33,0.0,2.33,Wanshouxigong
2013,4,15,9.717622,12.667188,4.0,2.0,5.0,132.91,134.29,47.18,51.37,1465.0,51.69,12.46,996.71,0.37,0.0,1.8,Wanshouxigong
2013,4,16,11.41877,8.676153,4.0,1.0,1.0,134.5,124.83,27.5,37.5,1066.46,67.04,14.42,1000.25,-0.58,0.0,1.73,Wanshouxigong
2013,4,17,12.971723,9.452095,2.0,1.0,2.0,63.43,60.54,16.54,35.29,770.83,65.5,12.12,1004.97,-2.26,0.0,2.12,Wanshouxigong
2013,4,18,12.753112,10.898961,1.0,1.0,2.0,9.83,30.62,3.17,17.8,300.0,69.59,11.0,1015.99,-13.06,0.0,2.7,Wanshouxigong
2013,4,19,10.037976,6.9812903,2.0,1.0,2.0,49.17,76.21,14.96,38.96,787.5,40.46,5.95,1017.85,-1.54,0.03,2.35,Wanshouxigong
2013,4,20,9.687983,5.7991996,2.0,1.0,1.0,73.88,75.67,9.79,42.83,779.17,47.0,8.89,1014.52,0.5,0.0,2.06,Wanshouxigong
2013,4,21,9.545751,8.070943,4.0,2.0,5.0,121.83,132.71,29.09,55.35,1160.83,39.91,11.69,1011.52,3.24,0.0,1.77,Wanshouxigong
2013,4,22,8.737351,12.4468155,5.0,2.0,5.0,158.67,169.58,47.57,57.17,1352.04,25.3,11.91,1007.43,5.91,0.0,1.56,Wanshouxigong
2013,4,23,7.776478,10.20356,5.0,0.0,0.0,190.17,177.46,29.25,58.21,1495.75,15.12,11.48,1004.77,7.79,0.0,1.27,Wanshouxigong
2013,4,24,11.432578,8.381126,3.0,1.0,2.0,103.83,104.04,10.75,50.58,1304.17,36.53,15.88,1004.08,1.35,0.0,2.48,Wanshouxigong
2013,4,25,11.316552,5.9082265,1.0,1.0,2.0,11.21,28.46,4.25,32.33,400.0,52.83,16.04,1006.5,-6.16,0.0,2.23,Wanshouxigong
2013,4,26,9.078162,2.8974717,2.0,1.0,5.0,67.67,117.25,28.09,61.83,1086.87,56.0,16.8,1003.31,-0.71,0.0,1.41,Wanshouxigong
2013,4,27,9.803514,9.540303,2.0,2.0,5.0,70.5,110.42,39.71,47.21,1145.79,82.58,18.58,1004.13,1.29,0.0,1.71,Wanshouxigong
2013,4,28,10.769536,10.59862,3.0,1.0,5.0,77.67,98.83,51.42,50.42,1803.83,70.88,17.03,1003.65,2.51,0.0,1.75,Wanshouxigong
2013,4,29,12.609749,6.610632,2.0,1.0,2.0,28.42,73.92,4.79,37.17,429.41,63.03,21.53,1005.4,-4.73,0.0,2.72,Wanshouxigong
2013,4,30,12.506141,6.5705495,2.0,1.0,2.0,35.12,76.96,7.25,41.25,495.65,57.13,21.3,1007.18,-3.83,0.0,1.79,Wanshouxigong
2013,5,1,11.196734,5.104585,2.0,1.0,1.0,41.92,88.42,13.46,39.21,633.33,71.79,17.35,1008.5,1.82,0.0,1.53,Wanshouxigong
2013,5,2,10.613992,9.937476,3.0,1.0,5.0,77.42,114.92,38.53,49.88,1056.48,69.96,19.39,1005.21,3.09,0.0,1.88,Wanshouxigong
2013,5,3,9.148022,3.0031812,2.0,1.0,1.0,62.21,81.12,22.21,32.0,874.96,100.54,18.05,1010.22,5.92,0.0,2.32,Wanshouxigong
2013,5,4,9.201978,3.27668,3.0,1.0,1.0,89.21,117.62,23.56,37.55,804.55,84.01,18.92,1009.8,7.37,0.0,2.04,Wanshouxigong
2013,5,5,7.589825,4.535812,5.0,0.0,1.0,179.54,229.08,45.17,69.17,1549.5,81.21,20.82,1009.54,11.43,0.0,1.36,Wanshouxigong
2013,5,6,9.544307,2.5963497,5.0,1.0,1.0,213.04,242.83,31.08,55.67,1625.83,104.49,22.98,1007.7,12.69,0.0,1.3,Wanshouxigong
2013,5,7,9.950721,4.9807043,5.0,2.0,5.0,153.04,191.5,44.83,59.71,1466.54,112.71,23.48,1008.15,11.95,0.0,1.3,Wanshouxigong
2013,5,8,10.328458,10.6494,4.0,1.0,5.0,140.25,158.88,49.79,52.46,1699.65,71.63,20.35,1007.26,12.29,0.02,1.61,Wanshouxigong
2013,5,9,10.874234,7.170919,2.0,1.0,2.0,41.42,50.62,11.33,40.58,660.87,38.08,17.61,1003.01,11.54,0.0,1.26,Wanshouxigong
2013,5,10,11.969224,6.014664,2.0,1.0,2.0,42.83,82.5,7.29,41.62,625.0,49.04,21.47,995.21,2.72,0.0,2.58,Wanshouxigong
