year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-0.74,5.01,1.0,2.0,5.0,8.08,9.33,3.0,13.0,352.17,62.48,0.54,1029.64,-20.64,0.0,3.17,Shunyi
2013,3,2,-0.38,8.8,2.0,1.0,1.0,32.62,38.13,20.21,47.58,920.83,40.42,0.08,1029.47,-16.28,0.0,1.35,Shunyi
2013,3,3,0.96,7.21,3.0,2.0,5.0,76.5,95.21,30.88,65.29,1749.92,24.54,5.03,1017.04,-11.78,0.0,1.62,Shunyi
2013,3,4,0.2,8.53,2.0,1.0,1.0,19.83,33.04,13.08,43.29,791.58,55.12,8.94,1020.12,-12.44,0.0,2.09,Shunyi
2013,3,5,2.02,12.26,3.0,3.0,4.0,114.96,145.83,58.83,87.87,1851.96,74.54,6.45,1013.49,-7.22,0.0,1.2,Shunyi
2013,3,6,1.9,12.47,5.0,3.0,4.0,168.71,186.08,86.87,95.69,2313.36,49.71,6.58,1009.99,-4.8,0.0,1.2,Shunyi
2013,3,7,2.55,12.67,6.0,3.0,4.0,283.0,301.62,88.79,120.12,3524.88,52.21,8.38,1004.86,-1.92,0.0,1.15,Shunyi
2013,3,8,6.94,11.34,5.0,3.0,4.0,226.0,246.38,69.43,90.28,2790.68,95.67,8.98,1002.05,-1.72,0.0,2.32,Shunyi
2013,3,9,1.48,7.34,3.0,1.0,1.0,98.25,175.58,41.36,62.18,1736.18,78.38,6.79,1006.77,-10.85,0.0,4.58,Shunyi
2013,3,10,0.59,10.02,2.0,1.0,4.0,52.8,71.4,27.86,54.07,835.71,49.08,5.05,1023.11,-13.23,0.0,2.15,Shunyi
2013,3,11,2.33,11.58,4.0,1.0,4.0,124.92,157.12,86.83,74.46,1603.88,64.92,6.48,1016.38,-6.84,0.0,1.6,Shunyi
2013,3,12,2.0,8.29,4.0,2.0,5.0,115.88,113.71,27.92,65.0,1533.29,43.67,4.73,1011.47,0.75,0.12,1.32,Shunyi
2013,3,13,-0.02,8.25,1.0,2.0,5.0,14.17,18.46,11.88,24.46,421.74,76.62,3.52,1025.45,-12.49,0.0,2.2,Shunyi
2013,3,14,2.29,11.56,3.0,1.0,4.0,90.12,100.29,38.25,68.79,1270.79,74.12,3.51,1024.26,-4.58,0.0,1.73,Shunyi
2013,3,15,3.33,13.04,5.0,3.0,4.0,210.17,221.38,48.12,100.79,2016.46,39.46,5.67,1017.08,-1.48,0.0,1.46,Shunyi
2013,3,16,3.07,12.69,5.0,3.0,4.0,233.42,209.83,47.79,80.62,2053.88,67.62,8.98,1019.29,-0.15,0.0,2.12,Shunyi
2013,3,17,2.65,10.93,6.0,3.0,4.0,287.88,277.29,56.83,89.67,2364.96,103.5,9.2,1004.52,1.98,0.0,1.25,Shunyi
2013,3,18,4.32,5.0,3.0,2.0,5.0,91.92,93.83,9.79,37.62,962.5,89.25,7.65,1003.89,-9.77,0.0,3.76,Shunyi
2013,3,19,4.28,4.09,1.0,2.0,5.0,24.33,19.46,3.0,23.96,583.33,40.83,1.68,1011.66,-1.05,0.28,2.11,Shunyi
2013,3,20,4.68,9.15,2.0,1.0,1.0,37.08,32.92,4.25,44.58,787.5,35.88,1.25,1019.82,-4.46,0.23,2.0,Shunyi
2013,3,21,5.92,8.55,4.0,1.0,1.0,122.29,129.92,19.29,58.83,1426.95,28.18,3.92,1007.52,-2.78,0.0,1.5,Shunyi
2013,3,22,5.54,8.19,2.0,1.0,1.0,67.83,112.42,15.88,40.0,729.17,56.92,5.85,1014.35,-6.55,0.0,2.5,Shunyi
2013,3,23,1.77,7.08,2.0,2.0,5.0,43.58,58.04,21.0,45.38,1065.09,31.98,4.24,1011.34,-7.08,0.0,3.1,Shunyi
2013,3,24,0.1,8.28,1.0,1.0,1.0,16.21,25.79,6.5,27.46,350.0,59.95,3.91,1019.0,-13.16,0.0,2.0,Shunyi
2013,3,25,2.12,10.8,3.0,1.0,4.0,96.88,121.54,32.11,73.05,1374.75,34.57,4.91,1018.02,-6.8,0.0,1.66,Shunyi
2013,3,26,5.93,10.07,5.0,3.0,4.0,187.0,214.58,47.79,88.54,1817.13,13.82,7.52,1010.18,-1.8,0.0,1.84,Shunyi
2013,3,27,2.12,6.75,3.0,2.0,5.0,93.12,105.67,12.21,41.88,969.43,39.32,10.78,1007.66,-4.16,0.0,2.96,Shunyi
2013,3,28,0.08,8.25,1.0,1.0,1.0,21.83,40.67,3.88,27.58,495.79,66.75,7.62,1017.89,-12.71,0.0,2.21,Shunyi
2013,3,29,1.28,11.04,3.0,1.0,1.0,80.71,113.04,22.79,48.25,1690.77,31.57,5.55,1018.94,-6.4,0.0,1.97,Shunyi
2013,3,30,2.67,13.11,2.0,1.0,1.0,75.38,99.17,48.75,45.12,1760.65,49.32,5.98,1019.39,-4.25,0.0,2.32,Shunyi
2013,3,31,2.65,12.66,4.0,1.0,3.0,146.88,157.12,3.42,47.17,1133.21,20.08,5.19,1015.73,1.94,0.0,1.76,Shunyi
2013,4,1,3.89,7.43,4.0,1.0,1.0,118.17,113.35,13.21,47.75,2034.43,38.14,10.15,1014.05,-3.23,0.0,2.85,Shunyi
2013,4,2,9.1,10.0,3.0,1.0,1.0,87.29,109.25,22.17,55.54,1290.68,55.73,9.67,1013.87,-3.8,0.0,1.77,Shunyi
2013,4,3,5.91,10.55,3.0,1.0,1.0,111.58,167.88,22.29,60.29,1395.67,63.25,11.73,1009.17,-1.54,0.0,2.48,Shunyi
2013,4,4,2.99,10.27,2.0,1.0,1.0,63.5,81.54,41.67,69.5,2062.12,22.08,7.93,1011.46,-0.53,0.33,1.84,Shunyi
2013,4,5,2.16,6.24,2.0,2.0,5.0,39.75,25.46,3.46,26.96,1116.67,42.0,8.73,1015.28,-1.65,0.05,2.8,Shunyi
2013,4,6,7.08,7.09,1.0,1.0,2.0,14.96,17.17,3.88,24.08,369.57,57.22,7.95,1013.31,-8.55,0.0,2.07,Shunyi
2013,4,7,5.96,6.75,2.0,1.0,2.0,72.88,103.12,34.08,57.42,1453.92,45.42,8.96,1004.92,-2.25,0.0,2.62,Shunyi
2013,4,8,2.77,5.75,2.0,2.0,5.0,20.58,72.33,3.33,20.29,581.82,58.05,8.85,1009.02,-11.13,0.0,5.54,Shunyi
2013,4,9,1.85,5.51,1.0,2.0,5.0,11.21,18.88,3.0,11.75,562.5,78.5,8.11,1016.55,-10.6,0.0,3.9,Shunyi
2013,4,10,2.08,5.28,1.0,2.0,5.0,12.58,15.61,3.01,21.63,863.64,55.87,7.76,1016.12,-10.48,0.0,3.48,Shunyi
2013,4,11,1.89,6.43,1.0,1.0,2.0,16.96,21.88,4.1,38.94,1136.36,53.94,9.72,1014.96,-10.51,0.0,2.7,Shunyi
2013,4,12,2.18,9.02,2.0,1.0,1.0,63.62,91.54,15.75,79.17,1590.73,31.1,13.23,1009.18,-5.1,0.0,1.46,Shunyi
2013,4,13,3.91,6.6,2.0,2.0,2.0,59.38,98.0,15.71,48.71,1520.79,38.04,16.35,1001.47,-1.56,0.0,3.16,Shunyi
2013,4,14,8.12,7.83,2.0,0.0,2.0,26.71,61.54,8.92,24.67,513.04,71.04,12.15,1006.97,-8.48,0.0,2.33,Shunyi
2013,4,15,9.68,10.75,2.0,0.0,4.0,64.91,125.33,42.75,52.0,1486.7,60.71,12.45,1000.21,-0.54,0.0,2.47,Shunyi
2013,4,16,8.25,7.62,2.0,0.0,2.0,52.08,129.96,31.83,36.83,949.88,76.5,13.84,1003.73,-0.59,0.0,2.42,Shunyi
2013,4,17,5.34,5.4,2.0,2.0,5.0,46.75,74.5,19.83,34.42,645.83,71.46,11.65,1008.58,-2.67,0.0,2.48,Shunyi
2013,4,18,3.79,6.62,1.0,2.0,5.0,9.57,39.92,3.18,9.91,272.73,74.01,10.68,1019.67,-13.59,0.0,3.01,Shunyi
2013,4,19,7.28,8.81,2.0,1.0,1.0,40.42,63.54,14.27,37.59,756.52,50.35,6.9,1021.08,-2.18,0.0,2.25,Shunyi
2013,4,20,8.6,9.35,2.0,1.0,1.0,71.5,75.29,8.25,48.08,875.0,49.54,9.38,1017.65,-0.52,0.0,1.54,Shunyi
2013,4,21,8.9,9.8,4.0,1.0,1.0,123.54,139.71,23.37,56.75,1194.39,47.08,12.16,1014.88,2.22,0.0,2.21,Shunyi
2013,4,22,8.12,10.25,4.0,1.0,1.0,128.27,144.5,24.45,50.23,991.22,37.57,12.44,1010.88,5.4,0.0,1.86,Shunyi
2013,4,23,7.52,9.91,5.0,1.0,2.0,177.0,157.96,13.17,54.48,1266.58,26.67,12.05,1008.18,7.5,0.0,1.65,Shunyi
2013,4,24,5.36,5.85,2.0,2.0,2.0,66.92,77.5,5.38,29.79,833.29,42.67,15.47,1007.33,0.93,0.0,3.28,Shunyi
2013,4,25,7.29,6.71,1.0,0.0,2.0,9.67,27.79,3.25,22.79,433.33,64.71,15.91,1009.61,-6.49,0.0,3.14,Shunyi
2013,4,26,9.76,10.55,2.0,0.0,0.0,51.5,94.33,23.7,45.48,660.87,64.74,16.8,1006.84,-0.96,0.0,1.88,Shunyi
2013,4,27,9.87,11.29,2.0,1.0,4.0,61.54,113.5,44.46,42.24,1126.09,93.77,17.98,1007.53,1.81,0.0,1.92,Shunyi
2013,4,28,7.19,7.78,3.0,0.0,2.0,83.75,132.79,60.79,52.83,2045.54,81.21,15.75,1007.02,3.41,0.0,1.68,Shunyi
2013,4,29,6.27,5.09,2.0,0.0,2.0,13.25,62.46,3.92,30.0,341.18,67.87,21.08,1008.45,-6.15,0.0,3.08,Shunyi
2013,4,30,7.37,6.42,1.0,0.0,2.0,12.54,39.04,3.29,12.96,278.26,87.87,20.78,1010.68,-7.22,0.0,2.26,Shunyi
2013,5,1,9.8,9.86,2.0,0.0,0.0,34.42,80.12,16.83,40.17,816.67,77.83,17.6,1011.78,0.13,0.0,1.67,Shunyi
2013,5,2,10.18,10.67,3.0,0.0,0.0,78.46,124.42,38.58,42.88,1324.92,86.83,18.45,1009.01,3.7,0.0,2.85,Shunyi
2013,5,3,10.27,9.85,2.0,0.0,0.0,58.5,72.29,16.38,29.17,966.62,114.79,17.88,1013.45,6.11,0.0,2.12,Shunyi
2013,5,4,10.56,10.43,3.0,0.0,0.0,84.29,107.62,18.42,39.71,831.82,85.3,18.99,1013.25,5.9,0.0,2.16,Shunyi
2013,5,5,10.86,11.35,5.0,3.0,4.0,155.67,181.58,47.92,49.21,1220.71,121.5,20.98,1012.92,10.46,0.0,1.62,Shunyi
2013,5,6,11.22,10.98,5.0,0.0,0.0,209.92,230.08,20.71,54.17,1465.17,139.89,23.21,1010.91,12.42,0.0,1.55,Shunyi
2013,5,7,10.54,11.55,5.0,0.0,4.0,168.26,218.58,38.33,76.04,1387.33,135.08,23.33,1011.55,12.32,0.0,1.7,Shunyi
2013,5,8,10.01,9.82,4.0,0.0,0.0,132.46,173.83,60.0,49.83,1581.77,114.75,21.01,1010.49,10.52,0.0,2.0,Shunyi
2013,5,9,10.55,6.22,2.0,0.0,2.0,46.08,62.38,7.96,40.96,578.26,66.62,17.57,1006.38,11.07,0.0,1.74,Shunyi
2013,5,10,8.72,6.26,2.0,0.0,2.0,44.17,78.5,4.71,42.58,516.67,55.54,21.48,998.03,4.16,0.0,2.17,Shunyi
2013,5,11,7.73,5.31,2.0,0.0,2.0,35.25,98.92,7.71,48.04,378.26,51.91,23.26,992.06,0.15,0.0,2.12,Shunyi
2013,5,12,9.01,7.82,2.0,0.0,0.0,21.79,66.54,4.96,20.75,309.09,81.3,22.38,996.81,-2.63,0.0,1.93,Shunyi
2013,5,13,9.98,10.67,3.0,0.0,0.0,88.46,201.46,41.29,57.46,1608.52,85.97,20.78,998.94,6.58,0.0,1.51,Shunyi
2013,5,14,9.85,9.8,2.0,0.0,0.0,57.42,122.67,6.17,33.62,720.75,86.04,24.18,1004.59,2.54,0.0,2.3,Shunyi
2013,5,15,10.39,10.59,3.0,0.0,0.0,67.54,160.38,55.12,47.42,1578.88,101.83,22.0,1012.72,6.62,0.0,1.95,Shunyi
2013,5,16,11.04,10.19,2.0,0.0,0.0,52.88,91.71,23.17,31.54,818.18,112.43,21.07,1013.39,9.62,0.0,1.88,Shunyi
2013,5,17,11.11,10.53,3.0,0.0,0.0,107.62,122.42,30.04,45.12,1224.71,108.17,20.45,1008.39,12.26,0.0,1.98,Shunyi
2013,5,18,10.36,8.53,4.0,0.0,0.0,116.62,113.25,24.71,47.33,1191.17,92.09,20.65,1003.01,13.64,0.0,2.4,Shunyi
2013,5,19,7.67,5.49,2.0,0.0,2.0,58.21,95.54,5.38,26.33,587.5,62.92,20.05,997.29,3.8,0.0,3.6,Shunyi
2013,5,20,9.16,7.98,2.0,0.0,0.0,48.08,91.33,9.17,35.77,490.91,76.18,21.08,997.21,0.28,0.0,2.34,Shunyi
2013,5,21,10.0,11.23,3.0,0.0,4.0,93.27,192.96,47.92,51.46,1378.17,110.72,23.39,996.25,9.06,0.0,1.61,Shunyi
2013,5,22,9.94,10.34,2.0,0.0,0.0,67.12,149.38,35.88,53.33,1508.0,93.25,23.24,1007.12,7.79,0.0,1.82,Shunyi
2013,5,23,11.58,11.54,3.0,0.0,0.0,100.08,193.21,32.71,63.79,1712.33,79.33,22.98,1006.81,11.18,0.0,1.4,Shunyi
2013,5,24,11.63,8.89,3.0,0.0,2.0,105.54,158.46,6.67,34.21,1312.83,70.39,23.8,1008.56,13.59,0.0,1.72,Shunyi
2013,5,25,13.52,8.73,2.0,0.0,0.0,55.71,104.38,12.88,38.71,841.62,98.04,24.37,1007.21,12.7,0.0,1.93,Shunyi
2013,5,26,13.24,6.16,3.0,0.0,2.0,94.33,110.33,13.58,36.75,1604.0,41.12,21.0,1005.56,16.87,0.03,2.22,Shunyi
2013,5,27,13.17,6.03,2.0,0.0,2.0,51.04,50.17,3.0,24.38,713.0,68.53,19.62,1004.25,15.67,0.01,1.41,Shunyi
2013,5,28,12.24,6.16,3.0,0.0,2.0,84.42,90.88,3.09,54.96,1082.52,13.3,20.27,1002.23,15.36,0.02,1.61,Shunyi
2013,5,29,9.46,7.01,2.0,0.0,2.0,18.96,55.25,3.62,21.58,250.0,65.08,24.93,1005.5,2.12,0.0,3.6,Shunyi
2013,5,30,10.99,9.62,2.0,0.0,0.0,54.5,132.71,9.12,52.75,547.83,82.94,26.11,1002.52,6.37,0.0,2.7,Shunyi
2013,5,31,13.21,9.56,3.0,0.0,0.0,90.33,154.46,12.67,37.54,820.79,124.0,24.9,999.32,13.68,0.0,2.1,Shunyi
2013,6,1,10.92,10.4,2.0,0.0,0.0,65.42,119.62,6.46,24.92,528.57,91.67,25.31,1003.11,8.18,0.0,1.45,Shunyi
2013,6,2,13.75,10.76,5.0,0.0,0.0,164.0,210.25,29.29,44.08,2586.7,80.74,22.3,1001.49,15.58,0.0,1.92,Shunyi
2013,6,3,14.88,8.77,3.0,0.0,0.0,108.25,137.79,5.83,35.54,1287.21,104.83,25.86,1001.53,13.15,0.0,1.39,Shunyi
2013,6,4,13.25,6.44,3.0,0.0,0.0,113.54,133.12,8.54,32.96,1779.12,80.79,20.78,1008.52,16.28,1.57,2.11,Shunyi
2013,6,5,7.67,11.94,4.0,0.0,2.0,125.08,108.96,3.04,29.61,1808.82,28.14,18.82,1008.89,17.58,0.16,1.4,Shunyi
2013,6,6,9.59,10.62,3.0,0.0,2.0,111.71,112.96,3.0,9.25,445.83,3.79,19.26,1006.91,18.29,0.01,1.19,Shunyi
2013,6,7,9.78,9.46,3.0,0.0,2.0,110.92,115.83,3.0,31.88,1349.92,4.17,20.61,1005.12,19.07,0.52,1.13,Shunyi
2013,6,8,7.94,11.77,5.0,0.0,2.0,154.83,156.54,3.08,48.71,2341.17,4.67,20.41,1004.35,19.29,0.03,0.99,Shunyi
