year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,0.63,4.05,1.0,1.0,1.0,7.12,10.75,11.71,22.58,429.17,63.88,1.39,1026.88,-18.75,0.0,3.25,Aotizhongxin
2013,3,2,-1.1,0.42,2.0,1.0,5.0,30.75,42.08,36.62,66.67,824.92,29.75,0.62,1026.85,-15.94,0.0,1.48,Aotizhongxin
2013,3,3,1.51,2.65,3.0,1.0,1.0,76.92,120.54,61.29,81.0,1620.62,19.12,5.57,1014.61,-12.32,0.0,1.66,Aotizhongxin
2013,3,4,-0.51,0.19,2.0,1.0,5.0,22.71,44.58,22.87,46.96,617.39,53.75,9.96,1017.65,-11.68,0.0,2.4,Aotizhongxin
2013,3,5,-2.32,-1.99,4.0,3.0,5.0,148.88,183.79,93.88,132.83,2357.96,68.46,6.29,1010.9,-7.52,0.0,1.13,Aotizhongxin
2013,3,6,-2.37,-2.0,5.0,3.0,5.0,223.25,265.17,116.24,142.06,3108.35,19.75,7.18,1007.48,-4.22,0.0,1.48,Aotizhongxin
2013,3,7,-1.91,-2.08,6.0,3.0,5.0,263.38,316.08,97.54,147.75,3632.88,38.83,9.29,1002.32,-2.03,0.0,1.56,Aotizhongxin
2013,3,8,7.68,-0.57,5.0,3.0,5.0,221.46,297.96,68.56,118.84,2581.45,79.33,9.61,999.48,-1.15,0.0,1.64,Aotizhongxin
2013,3,9,3.35,3.89,3.0,1.0,1.0,62.04,211.09,33.33,45.0,1178.96,73.92,6.98,1004.39,-10.16,0.0,3.39,Aotizhongxin
2013,3,10,-0.27,0.44,2.0,1.0,5.0,34.29,68.92,22.92,49.67,708.33,82.67,5.26,1020.49,-12.85,0.0,2.44,Aotizhongxin
2013,3,11,0.38,-0.89,4.0,3.0,5.0,123.79,178.29,86.88,90.67,1670.75,75.25,5.54,1013.66,-6.62,0.0,1.57,Aotizhongxin
2013,3,12,2.14,1.73,4.0,1.0,1.0,122.79,117.17,27.5,72.88,1634.7,36.58,4.6,1008.81,1.35,0.12,1.08,Aotizhongxin
2013,3,13,-0.34,2.35,1.0,1.0,1.0,16.04,19.33,16.25,36.08,504.17,71.88,4.93,1022.48,-10.05,0.0,2.33,Aotizhongxin
2013,3,14,-0.69,-0.97,3.0,3.0,5.0,95.17,107.29,51.92,70.38,1337.29,68.92,3.82,1021.4,-3.59,0.0,1.95,Aotizhongxin
2013,3,15,-1.39,-2.24,5.0,3.0,5.0,212.29,250.62,75.58,99.42,2116.5,44.21,6.4,1014.5,-1.07,0.0,1.42,Aotizhongxin
2013,3,16,-1.09,-1.99,5.0,3.0,5.0,244.88,257.92,70.12,90.38,2173.61,66.67,9.53,1016.85,0.88,0.0,1.7,Aotizhongxin
2013,3,17,0.3,-0.11,6.0,3.0,5.0,284.54,309.67,73.67,113.88,2558.0,96.54,10.01,1001.94,3.15,0.0,1.15,Aotizhongxin
2013,3,18,1.97,3.23,2.0,1.0,1.0,70.67,118.04,19.62,46.17,866.58,89.04,8.38,1001.22,-9.4,0.0,3.64,Aotizhongxin
2013,3,19,1.63,0.64,2.0,1.0,1.0,41.0,49.12,16.5,49.17,800.0,19.73,2.07,1008.89,-1.33,0.38,1.92,Aotizhongxin
2013,3,20,4.72,-0.38,2.0,1.0,0.0,48.92,47.79,12.5,41.54,920.83,32.08,1.52,1017.12,-2.82,0.31,2.06,Aotizhongxin
2013,3,21,6.44,-0.76,4.0,3.0,0.0,148.96,161.75,21.67,85.75,1454.04,11.88,3.59,1004.92,-1.42,0.0,1.65,Aotizhongxin
2013,3,22,7.02,0.38,3.0,1.0,0.0,90.42,144.58,26.04,70.38,979.12,33.92,6.3,1011.56,-4.54,0.0,2.55,Aotizhongxin
2013,3,26,6.38,-1.32,5.0,3.0,5.0,187.46,251.33,75.08,106.29,1745.09,12.46,6.8,1007.57,-0.8,0.0,1.66,Aotizhongxin
2013,3,27,3.49,3.15,3.0,1.0,1.0,91.62,122.92,20.71,42.96,868.09,43.16,10.88,1005.16,-4.57,0.0,2.85,Aotizhongxin
2013,3,28,2.32,1.56,2.0,1.0,1.0,28.33,54.79,12.67,39.83,595.79,57.92,7.88,1015.57,-10.24,0.0,2.22,Aotizhongxin
2013,3,29,-0.34,0.12,3.0,1.0,5.0,87.88,140.42,47.17,88.5,1563.36,16.92,6.21,1016.28,-5.3,0.0,1.57,Aotizhongxin
2013,3,30,2.27,-0.77,3.0,1.0,0.0,79.54,111.17,62.08,68.21,1666.46,33.67,6.45,1016.82,-2.53,0.0,1.74,Aotizhongxin
2013,3,31,3.54,-0.16,5.0,3.0,0.0,174.25,194.0,14.62,72.67,1333.0,3.0,5.57,1013.12,2.48,0.0,1.5,Aotizhongxin
2013,4,1,4.78,1.98,3.0,1.0,1.0,94.92,112.58,17.12,39.08,1208.17,51.04,10.46,1011.7,-4.69,0.0,3.07,Aotizhongxin
