year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,2,8.92,14.38,2.0,1,5,36.92,51.38,37.29,37.57,1479.04,39.58,0.82,1024.9,-16.34,0.0,1.09,Gucheng
2013,3,3,10.95,11.41,3.0,1,1,80.33,120.04,47.54,63.33,2349.71,33.71,6.56,1012.57,-11.99,0.0,1.4,Gucheng
2013,3,7,5.27,11.8,5.0,1,5,243.75,308.58,83.17,155.14,4607.83,55.62,9.73,1000.3,-2.21,0.0,1.0,Gucheng
2013,3,8,11.17,7.15,5.0,2,4,201.5,267.33,60.55,141.18,3017.26,106.67,10.61,997.45,-1.65,0.0,1.25,Gucheng
2013,3,9,13.32,8.88,3.0,2,4,59.33,242.5,20.43,41.91,960.87,102.12,7.62,1002.32,-11.04,0.0,2.27,Gucheng
2013,3,10,9.69,15.02,2.0,1,1,41.58,75.54,20.04,46.88,799.96,98.62,6.42,1018.58,-14.7,0.0,1.98,Gucheng
2013,3,11,7.3,11.67,4.0,1,5,138.0,197.12,96.0,106.17,2203.75,91.54,5.78,1011.65,-7.25,0.0,0.98,Gucheng
2013,3,12,10.28,10.16,4.0,1,1,137.08,139.92,27.38,101.75,2053.92,39.67,5.18,1006.91,0.42,0.14,0.98,Gucheng
2013,3,13,9.73,15.01,2.0,1,1,28.58,39.0,10.88,46.46,756.52,64.62,4.85,1020.54,-10.35,0.0,1.64,Gucheng
2013,3,14,6.32,15.7,3.0,1,5,100.58,115.42,48.54,80.33,1608.08,80.04,3.98,1019.43,-3.98,0.0,1.35,Gucheng
2013,3,15,5.09,15.91,5.0,1,5,220.21,239.29,65.04,121.25,2658.0,61.29,5.98,1012.47,-1.23,0.0,0.74,Gucheng
2013,3,16,5.22,15.95,5.0,1,5,239.62,244.54,62.08,109.17,2637.29,87.17,9.72,1014.85,0.38,0.0,1.24,Gucheng
2013,3,17,7.72,12.08,6.0,1,5,276.88,306.79,64.04,122.21,2669.17,107.0,10.2,999.96,2.71,0.0,0.83,Gucheng
2013,3,18,8.91,6.18,2.0,0,0,75.79,113.5,11.75,39.79,883.29,93.58,8.7,999.06,-10.13,0.0,2.46,Gucheng
2013,3,19,4.79,4.62,2.0,0,0,36.46,37.79,6.58,53.12,858.29,24.5,1.95,1006.95,-1.79,0.35,1.34,Gucheng
2013,3,20,9.77,8.36,2.0,2,4,61.0,64.0,8.0,42.0,979.12,44.17,1.89,1015.25,-2.98,0.14,1.36,Gucheng
2013,3,21,10.03,8.52,4.0,2,4,148.75,162.92,19.67,87.79,1508.48,19.43,3.62,1002.84,-2.05,0.0,1.21,Gucheng
2013,3,22,11.07,8.77,3.0,2,4,82.67,126.08,19.46,58.75,995.79,54.38,7.04,1009.52,-6.07,0.0,2.01,Gucheng
2013,3,23,11.85,11.04,2.0,1,1,54.38,102.12,21.58,55.04,1041.54,38.42,4.96,1006.55,-6.99,0.0,1.88,Gucheng
2013,3,24,9.65,12.64,1.0,1,1,21.08,43.42,9.5,28.04,465.0,75.17,5.36,1014.2,-14.82,0.0,1.54,Gucheng
2013,3,26,7.09,10.92,5.0,1,5,180.96,251.33,61.83,107.21,2064.78,19.24,7.11,1005.53,-2.49,0.0,0.89,Gucheng
2013,3,27,11.68,10.81,3.0,1,1,105.62,157.75,17.33,55.96,1325.96,52.18,10.66,1003.01,-5.9,0.0,1.9,Gucheng
2013,3,28,9.67,12.6,2.0,1,1,29.83,54.75,9.67,35.25,604.17,73.96,8.01,1013.5,-11.61,0.0,1.82,Gucheng
2013,3,29,8.24,12.44,3.0,1,5,66.29,114.96,29.12,85.33,1322.5,31.64,6.49,1014.11,-7.26,0.0,1.35,Gucheng
2013,3,30,7.67,11.23,2.0,1,5,64.88,106.5,49.46,67.04,1562.21,49.08,6.51,1014.69,-3.95,0.0,1.58,Gucheng
2013,3,31,7.67,10.8,5.0,1,5,173.04,196.67,19.33,83.67,1516.38,5.62,5.65,1011.03,1.99,0.0,1.14,Gucheng
2013,4,1,11.22,8.16,3.0,2,4,93.79,124.75,23.42,48.67,1204.3,58.02,11.22,1009.53,-5.99,0.0,2.27,Gucheng
2013,4,2,7.95,9.3,3.0,0,0,93.21,147.38,37.33,69.17,1268.0,62.09,10.75,1009.31,-3.69,0.0,1.3,Gucheng
2013,4,3,11.31,6.45,4.0,2,4,122.96,197.46,36.75,86.21,1658.04,60.79,11.78,1004.67,-1.28,0.0,1.71,Gucheng
2013,4,4,9.97,8.88,2.0,2,4,58.58,94.21,37.54,79.12,1837.33,33.46,7.86,1007.04,-1.35,0.31,1.02,Gucheng
2013,4,5,11.77,10.89,2.0,1,1,54.71,54.5,9.5,44.17,1074.83,50.46,8.66,1011.15,-1.77,0.08,1.85,Gucheng
2013,4,6,12.22,6.67,1.0,2,4,14.38,30.5,7.08,36.0,508.7,63.74,8.55,1008.76,-8.89,0.0,1.23,Gucheng
2013,4,7,12.86,7.29,3.0,2,4,89.46,137.12,31.0,80.42,1337.33,37.08,8.84,1000.21,-2.14,0.0,1.37,Gucheng
2013,4,8,13.34,9.81,2.0,2,1,27.08,133.38,6.0,22.88,429.17,82.58,9.31,1005.08,-12.46,0.0,4.02,Gucheng
2013,4,9,12.96,10.91,1.0,1,1,12.54,36.46,5.0,13.71,383.33,95.46,8.22,1012.42,-10.28,0.0,2.91,Gucheng
2013,4,10,12.48,10.63,1.0,1,1,11.12,26.83,4.73,19.94,447.83,83.58,8.77,1011.89,-11.24,0.0,2.71,Gucheng
2013,4,11,12.09,6.27,2.0,2,4,20.24,51.48,8.26,41.06,622.73,69.47,10.99,1010.65,-11.62,0.0,1.77,Gucheng
2013,4,12,12.75,5.12,2.0,2,4,42.08,122.42,19.38,77.92,840.91,38.64,15.05,1004.68,-4.18,0.0,1.46,Gucheng
2013,4,13,13.33,6.63,2.0,2,4,68.88,131.46,13.33,53.25,745.83,52.04,17.39,996.83,-1.21,0.0,2.33,Gucheng
2013,4,14,12.5,5.47,3.0,2,4,81.08,116.08,14.88,31.58,560.87,77.17,12.79,1002.39,-5.0,0.0,1.84,Gucheng
2013,4,15,12.84,5.03,3.0,2,4,98.24,151.67,38.29,70.0,1349.83,59.46,12.82,995.59,0.33,0.0,1.5,Gucheng
2013,4,16,12.01,4.67,2.0,2,4,58.21,124.33,19.21,45.25,945.75,74.92,14.58,999.05,-0.55,0.0,1.92,Gucheng
2013,4,17,12.52,8.78,2.0,2,4,58.71,83.75,15.79,47.0,800.0,73.88,12.34,1003.86,-2.26,0.0,1.95,Gucheng
2013,4,18,11.82,9.91,1.0,2,1,9.42,32.88,3.27,20.73,354.55,79.63,11.05,1014.9,-13.84,0.0,1.99,Gucheng
2013,4,19,10.63,7.58,2.0,2,4,33.08,83.92,13.62,41.25,737.5,55.42,6.24,1016.62,-2.06,0.02,1.75,Gucheng
2013,4,20,10.69,6.55,2.0,2,4,75.58,84.79,9.04,43.5,704.17,64.08,9.17,1013.26,0.32,0.0,1.5,Gucheng
2013,4,21,8.87,8.0,3.0,0,0,113.75,181.08,25.89,75.35,1138.78,50.96,12.02,1010.27,2.42,0.0,1.38,Gucheng
2013,4,22,6.74,10.54,5.0,1,5,156.33,203.25,42.96,75.65,1321.61,29.91,12.12,1006.23,5.65,0.0,1.17,Gucheng
2013,4,23,8.21,9.36,5.0,0,0,166.0,200.54,22.12,76.62,1383.17,18.75,11.84,1003.64,7.25,0.0,1.15,Gucheng
2013,4,25,12.05,6.22,1.0,2,4,30.5,51.21,4.33,24.25,537.46,74.62,17.02,1005.31,-7.98,0.0,2.17,Gucheng
2013,4,26,12.35,4.39,3.0,2,4,84.23,122.25,24.78,73.61,778.22,57.61,16.9,1002.28,-1.08,0.0,0.9,Gucheng
2013,4,27,12.99,3.96,2.0,2,4,63.25,117.17,32.29,67.28,965.22,86.64,18.3,1003.09,0.87,0.0,1.1,Gucheng
2013,4,28,13.73,6.07,2.0,2,4,73.21,119.42,41.79,59.33,1612.04,88.5,16.89,1002.59,2.28,0.0,1.3,Gucheng
2013,4,29,12.13,6.53,2.0,2,4,21.88,94.33,5.21,27.71,447.06,91.07,21.83,1004.35,-6.48,0.0,2.21,Gucheng
2013,4,30,11.95,5.85,2.0,2,4,39.25,110.46,9.71,63.21,695.65,58.83,21.72,1006.03,-5.14,0.0,1.3,Gucheng
2013,5,1,12.46,4.07,2.0,2,4,39.79,112.88,14.62,43.96,612.5,91.08,17.89,1007.3,0.4,0.0,1.23,Gucheng
2013,5,2,12.66,3.43,3.0,2,4,81.83,142.83,38.83,56.96,873.91,92.26,19.42,1004.07,3.31,0.0,1.27,Gucheng
2013,5,3,12.68,3.33,2.0,2,4,63.17,93.79,19.79,37.5,741.62,122.54,18.18,1009.06,5.7,0.0,1.36,Gucheng
2013,5,4,13.19,1.61,3.0,3,2,103.58,154.08,22.83,50.21,847.83,106.22,19.08,1008.57,7.61,0.0,1.33,Gucheng
2013,5,5,13.48,0.84,5.0,3,2,166.92,242.88,36.83,82.21,1462.29,102.0,20.65,1008.43,11.02,0.0,0.74,Gucheng
2013,5,6,13.33,0.6,5.0,3,2,227.43,274.25,31.25,53.75,1756.35,148.93,23.11,1006.56,11.78,0.0,0.78,Gucheng
2013,5,7,13.0,1.67,4.0,3,2,130.79,234.58,37.25,77.25,1378.96,116.83,23.2,1007.05,10.8,0.0,0.85,Gucheng
2013,5,9,10.89,4.21,2.0,2,4,65.46,99.33,10.87,64.83,727.27,43.26,17.8,1001.87,11.4,0.0,0.97,Gucheng
2013,5,10,13.68,4.4,2.0,2,4,33.62,115.46,7.12,44.83,545.83,63.88,21.88,993.97,1.83,0.0,1.66,Gucheng
2013,5,11,13.89,4.55,2.0,2,4,32.65,115.71,7.42,53.58,426.09,52.44,24.78,987.91,-0.92,0.0,1.28,Gucheng
