year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-1.13,8.26,1.0,2,2,8.0,14.29,11.65,32.43,395.65,46.35,1.39,1026.88,-18.75,0.0,3.25,Wanliu
2013,3,2,-2.34,5.0,2.0,2,2,29.08,41.62,34.25,73.71,908.33,17.67,0.62,1026.85,-15.94,0.0,1.48,Wanliu
2013,3,3,-0.42,5.63,3.0,2,2,80.12,130.75,50.21,86.96,2074.58,12.08,5.57,1014.61,-12.32,0.0,1.66,Wanliu
2013,3,4,0.76,4.36,2.0,2,2,22.88,52.38,27.08,66.83,829.08,31.75,9.96,1017.65,-11.68,0.0,2.4,Wanliu
2013,3,5,-0.96,1.78,4.0,2,2,134.04,196.96,80.74,121.0,2530.09,48.54,6.29,1010.9,-7.52,0.0,1.13,Wanliu
2013,3,6,-1.53,1.69,5.0,2,2,229.54,276.88,104.29,130.42,3328.71,16.29,7.18,1007.48,-4.22,0.0,1.48,Wanliu
2013,3,7,-1.41,1.95,5.0,2,2,238.0,318.33,79.96,133.58,4733.0,25.21,9.29,1002.32,-2.03,0.0,1.56,Wanliu
2013,3,8,0.22,3.12,5.0,2,2,210.62,273.71,60.68,121.03,4522.55,64.46,9.61,999.48,-1.15,0.0,1.64,Wanliu
2013,3,9,1.05,6.76,3.0,2,2,66.0,205.81,25.8,44.72,1277.18,61.71,6.98,1004.39,-10.16,0.0,3.39,Wanliu
2013,3,10,0.95,4.36,2.0,2,2,38.08,71.46,18.96,61.17,816.62,67.46,5.26,1020.49,-12.85,0.0,2.44,Wanliu
2013,3,11,0.69,2.33,4.0,0,0,139.96,197.92,79.88,89.92,2295.43,56.42,5.54,1013.66,-6.62,0.0,1.57,Wanliu
2013,3,12,0.25,5.22,4.0,2,2,134.38,148.46,24.61,84.82,2249.75,21.0,4.6,1008.81,1.35,0.12,1.08,Wanliu
2013,3,13,1.08,4.55,2.0,2,2,21.71,30.88,18.54,70.25,645.79,47.46,4.93,1022.48,-10.05,0.0,2.33,Wanliu
2013,3,14,0.16,1.82,3.0,0,0,104.38,120.46,57.08,92.42,1454.04,61.04,3.82,1021.4,-3.59,0.0,1.95,Wanliu
2013,3,15,-0.32,1.36,5.0,2,2,225.08,251.33,80.79,133.96,2345.46,37.79,6.4,1014.5,-1.07,0.0,1.42,Wanliu
2013,3,16,-0.37,1.33,5.0,2,2,248.08,262.58,79.75,121.96,2578.09,59.79,9.53,1016.85,0.88,0.0,1.7,Wanliu
2013,3,17,0.46,3.27,6.0,2,2,284.92,316.67,79.96,140.21,2769.09,88.71,10.01,1001.94,3.15,0.0,1.15,Wanliu
2013,3,18,1.89,6.52,2.0,2,2,70.79,106.75,20.83,59.58,843.43,82.0,8.38,1001.22,-9.4,0.0,3.64,Wanliu
2013,3,19,1.95,5.35,2.0,2,2,35.46,41.79,14.75,61.21,734.78,16.32,2.07,1008.89,-1.33,0.38,1.92,Wanliu
2013,3,20,1.53,3.2,2.0,0,0,53.71,52.25,18.58,61.38,956.48,26.86,1.52,1017.12,-2.82,0.31,1.99,Wanliu
2013,3,21,1.41,2.67,4.0,0,0,133.38,159.83,32.54,96.65,1399.88,11.12,3.59,1004.92,-1.42,0.0,1.65,Wanliu
2013,3,22,1.15,2.99,3.0,0,0,84.79,124.58,32.04,90.46,979.12,33.25,6.3,1011.56,-4.54,0.0,2.55,Wanliu
2013,3,23,0.74,6.1,2.0,2,2,55.17,83.38,35.0,75.92,1145.67,27.62,4.77,1008.5,-6.29,0.0,2.41,Wanliu
2013,3,24,1.01,4.35,2.0,2,2,19.58,32.96,16.33,60.42,431.58,53.44,5.11,1016.26,-12.9,0.0,2.69,Wanliu
2013,3,26,1.23,2.1,5.0,0,0,181.38,239.21,66.75,128.5,1838.96,11.28,6.8,1007.57,-0.8,0.0,1.66,Wanliu
2013,3,27,1.56,6.39,3.0,2,2,89.38,117.38,24.96,64.0,1039.04,40.11,10.88,1005.16,-4.57,0.0,2.85,Wanliu
2013,3,30,1.77,2.28,3.0,0,0,89.04,114.88,55.5,84.17,1599.67,36.88,6.45,1016.82,-2.53,0.0,1.74,Wanliu
