year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,9.98,-0.53,1.0,1.0,1.0,6.42,9.88,8.48,28.52,395.65,72.78,1.32,1028.78,-21.47,0.0,3.31,Dongsi
2013,3,2,10.28,2.67,2.0,1.0,1.0,30.5,40.58,28.29,58.5,966.58,37.79,0.49,1028.85,-16.96,0.0,0.79,Dongsi
2013,3,3,8.35,2.17,3.0,3.0,5.0,98.33,131.58,58.29,93.46,2132.88,20.33,4.99,1016.46,-12.31,0.0,1.22,Dongsi
2013,3,4,7.3,7.07,2.0,3.0,5.0,24.29,40.88,16.51,47.67,869.57,62.29,10.56,1019.45,-14.0,0.0,2.5,Dongsi
2013,3,5,6.6,9.44,5.0,3.0,3.0,154.25,183.17,82.0,140.04,2447.61,83.04,7.21,1012.7,-7.78,0.0,0.91,Dongsi
2013,3,6,6.54,9.64,5.0,3.0,3.0,206.83,231.92,102.42,161.5,2991.33,28.0,8.0,1009.3,-5.38,0.0,0.78,Dongsi
2013,3,7,6.54,9.58,6.0,3.0,4.0,274.42,306.62,92.96,174.0,4249.67,53.54,9.26,1004.11,-2.55,0.0,1.17,Dongsi
2013,3,8,6.72,6.29,5.0,3.0,4.0,189.33,232.46,61.46,151.76,3199.7,104.54,9.66,1001.33,-2.5,0.0,1.68,Dongsi
2013,3,9,8.02,0.01,3.0,3.0,3.0,58.92,201.87,31.96,56.87,1260.61,97.08,7.23,1006.13,-12.1,0.0,4.0,Dongsi
2013,3,10,7.43,6.79,2.0,3.0,5.0,36.33,66.46,19.25,53.21,913.0,95.12,5.79,1022.5,-15.11,0.0,2.33,Dongsi
2013,3,11,6.8,5.37,3.0,3.0,3.0,111.62,149.79,75.12,83.12,1278.0,86.67,7.18,1015.58,-7.65,0.0,1.52,Dongsi
2013,3,12,6.6,1.99,4.0,3.0,3.0,126.75,125.83,28.42,88.88,1408.08,45.75,5.1,1010.8,1.12,0.22,1.18,Dongsi
2013,3,13,8.38,2.85,1.0,1.0,1.0,18.46,23.88,12.17,36.0,509.52,79.5,4.36,1024.75,-11.82,0.0,2.02,Dongsi
2013,3,14,7.18,6.14,3.0,1.0,3.0,97.5,105.33,52.33,71.75,1437.29,78.88,3.96,1023.47,-4.99,0.0,1.86,Dongsi
2013,3,15,6.84,5.92,5.0,3.0,5.0,219.96,229.5,78.29,115.5,2299.42,60.71,5.87,1016.39,-1.32,0.0,0.94,Dongsi
2013,3,16,6.81,6.04,5.0,3.0,3.0,243.58,235.33,69.42,122.62,2349.71,84.67,9.63,1018.64,-0.26,0.0,1.78,Dongsi
2013,3,17,7.05,4.06,6.0,3.0,4.0,289.25,289.21,72.58,140.5,1933.33,106.92,9.97,1003.75,2.35,0.0,1.12,Dongsi
2013,3,18,9.67,-1.87,2.0,3.0,3.0,69.62,101.04,16.92,55.33,,90.92,8.17,1003.12,-10.99,0.0,3.86,Dongsi
2013,3,19,7.42,-3.81,2.0,3.0,3.0,38.83,47.58,11.0,53.58,,30.25,2.19,1010.85,-2.47,0.18,2.07,Dongsi
2013,3,20,6.44,2.42,2.0,3.0,3.0,51.21,57.88,17.29,39.0,1009.09,37.42,1.76,1019.26,-4.14,0.25,1.89,Dongsi
2013,3,21,5.15,2.14,4.0,3.0,3.0,144.46,145.92,23.42,76.62,1360.87,20.04,4.52,1006.81,-3.0,0.0,1.71,Dongsi
2013,3,22,4.64,1.5,3.0,3.0,3.0,83.33,124.54,22.58,52.25,862.5,54.62,6.32,1013.68,-6.19,0.0,2.41,Dongsi
2013,3,23,6.98,0.42,2.0,3.0,3.0,53.25,84.04,25.08,46.12,983.25,39.75,4.47,1010.57,-7.76,0.0,3.29,Dongsi
2013,3,24,7.64,1.67,1.0,3.0,3.0,18.0,28.58,9.29,23.96,225.0,69.76,4.79,1018.22,-15.44,0.0,2.32,Dongsi
2013,3,25,7.49,4.2,3.0,3.0,3.0,100.38,120.71,38.93,65.12,1162.38,43.99,5.47,1017.35,-8.03,0.0,1.81,Dongsi
2013,3,26,5.82,3.56,5.0,3.0,4.0,154.17,166.91,53.59,81.32,1519.6,17.89,8.47,1009.4,-1.87,0.0,1.61,Dongsi
2013,3,27,4.47,-0.63,3.0,3.0,4.0,85.71,97.46,15.54,46.17,890.91,62.68,11.37,1006.9,-4.37,0.0,2.84,Dongsi
2013,3,28,7.42,1.58,2.0,3.0,3.0,28.58,53.92,8.42,29.12,525.0,78.75,8.3,1017.23,-12.87,0.0,2.09,Dongsi
2013,3,29,8.68,3.98,3.0,3.0,3.0,90.5,134.21,36.21,69.83,1517.95,31.65,6.01,1018.07,-6.32,0.0,2.2,Dongsi
2013,3,30,6.85,4.01,3.0,3.0,3.0,79.62,105.83,47.62,50.83,1616.42,51.33,5.96,1018.73,-4.2,0.0,2.09,Dongsi
2013,3,31,6.97,4.11,5.0,3.0,3.0,178.88,193.25,20.21,71.0,1437.29,9.17,5.55,1015.0,2.44,0.0,1.75,Dongsi
2013,4,1,4.05,1.74,3.0,3.0,5.0,95.29,118.79,33.17,45.62,1383.21,62.42,10.89,1013.38,-4.93,0.0,3.02,Dongsi
2013,4,2,0.95,4.79,3.0,3.0,4.0,104.5,134.17,35.42,55.17,1331.55,73.28,11.18,1013.15,-2.95,0.0,1.98,Dongsi
2013,4,3,1.77,4.75,4.0,3.0,4.0,125.62,194.42,42.21,79.75,1456.3,65.45,11.72,1008.48,-1.9,0.0,2.26,Dongsi
2013,4,4,6.0,3.66,2.0,3.0,3.0,70.92,107.21,47.79,65.25,2191.0,32.21,8.32,1010.71,-1.38,0.27,1.51,Dongsi
2013,4,5,5.8,-0.32,2.0,3.0,5.0,59.54,57.54,14.75,38.0,1204.22,50.62,9.0,1014.64,-1.78,0.09,3.36,Dongsi
2013,4,6,2.33,0.83,1.0,3.0,4.0,11.33,20.25,6.12,19.29,373.91,77.26,9.4,1012.62,-10.38,0.0,2.72,Dongsi
2013,4,7,3.91,-0.18,3.0,3.0,4.0,79.88,115.96,34.42,59.38,1233.21,46.67,9.26,1004.02,-2.84,0.0,2.17,Dongsi
2013,4,8,4.8,-1.66,2.0,3.0,3.0,23.42,120.12,5.54,15.46,362.5,86.12,9.34,1008.72,-13.17,0.0,6.1,Dongsi
2013,4,9,5.27,-1.63,1.0,3.0,5.0,11.92,27.0,4.38,9.54,341.67,91.88,8.37,1016.05,-10.79,0.0,4.69,Dongsi
2013,4,10,3.97,-0.66,1.0,3.0,3.0,14.75,24.58,4.84,23.89,400.0,75.72,8.11,1015.6,-10.82,0.0,3.22,Dongsi
2013,4,11,2.15,0.29,2.0,3.0,4.0,20.33,39.83,8.58,51.11,731.82,61.98,10.58,1014.38,-11.76,0.0,2.35,Dongsi
2013,4,12,0.48,0.91,2.0,3.0,4.0,52.92,97.62,22.79,71.37,919.05,54.64,15.92,1008.38,-5.6,0.0,2.09,Dongsi
2013,4,13,2.8,-1.0,2.0,3.0,4.0,65.83,120.67,29.54,57.17,737.38,70.83,17.83,1000.58,-1.18,0.0,3.06,Dongsi
2013,4,14,0.79,2.16,2.0,3.0,4.0,34.88,85.67,11.67,26.71,534.78,101.48,12.38,1006.3,-8.0,0.0,2.2,Dongsi
2013,4,15,0.87,2.11,2.0,3.0,4.0,73.35,139.58,44.58,44.79,1445.58,71.96,12.29,999.45,-0.73,0.0,2.45,Dongsi
2013,4,16,1.35,0.12,2.0,3.0,4.0,62.92,136.62,25.83,36.13,1183.25,80.17,13.92,1002.96,-0.94,0.0,2.21,Dongsi
2013,4,17,3.79,-1.15,2.0,3.0,5.0,51.83,84.67,13.33,27.79,866.67,72.83,11.52,1007.79,-3.15,0.0,2.02,Dongsi
2013,4,18,4.48,-0.37,1.0,3.0,5.0,11.46,42.92,3.43,16.1,272.73,87.88,10.72,1018.86,-14.05,0.0,2.63,Dongsi
2013,4,19,3.28,0.5,2.0,3.0,5.0,49.38,83.46,17.96,36.62,778.26,56.38,6.75,1020.45,-2.57,0.0,2.75,Dongsi
2013,4,20,0.85,2.95,2.0,3.0,5.0,73.08,77.96,8.83,38.67,745.83,65.83,9.37,1017.12,-0.42,0.0,1.93,Dongsi
2013,4,21,-0.48,4.88,4.0,0.0,5.0,124.96,143.33,29.63,49.84,1147.06,61.15,12.36,1014.17,2.18,0.0,2.27,Dongsi
2013,4,22,0.01,5.1,5.0,3.0,4.0,167.29,175.92,50.52,52.57,1247.61,51.48,12.86,1010.14,5.1,0.0,2.07,Dongsi
2013,4,23,4.92,3.88,5.0,3.0,4.0,195.71,186.21,27.79,61.67,1433.12,32.79,11.96,1007.4,7.22,0.0,1.66,Dongsi
2013,4,24,3.08,-0.92,3.0,3.0,4.0,96.33,108.29,9.96,49.04,1120.79,55.42,15.83,1006.71,0.58,0.0,2.77,Dongsi
2013,4,25,1.75,0.82,1.0,3.0,4.0,13.92,29.92,5.17,32.92,483.29,73.42,16.2,1009.02,-7.18,0.0,2.83,Dongsi
2013,4,26,-0.92,4.01,2.0,3.0,4.0,73.79,128.83,30.17,66.43,1112.96,70.04,16.82,1006.0,-0.65,0.0,2.07,Dongsi
2013,4,27,-1.06,4.48,2.0,3.0,4.0,71.46,124.54,42.71,55.96,1162.38,98.33,17.92,1006.79,1.42,0.0,1.99,Dongsi
2013,4,28,1.79,1.54,3.0,3.0,4.0,76.46,109.83,52.25,58.62,1791.38,90.92,16.13,1006.3,2.31,0.0,1.73,Dongsi
2013,4,29,3.42,-1.28,2.0,3.0,4.0,20.71,62.62,3.96,31.98,412.5,87.82,21.41,1007.85,-7.49,0.0,2.88,Dongsi
2013,4,30,1.62,0.5,2.0,3.0,4.0,24.79,58.62,5.5,38.33,408.7,84.17,20.62,1010.0,-7.53,0.0,2.14,Dongsi
2013,5,1,-0.48,3.29,2.0,0.0,4.0,41.79,90.38,15.38,38.5,654.17,97.0,17.67,1011.15,0.11,0.0,1.62,Dongsi
2013,5,2,-0.74,4.12,3.0,0.0,4.0,80.21,127.38,40.46,55.46,1095.79,89.83,18.93,1008.2,2.86,0.0,2.35,Dongsi
2013,5,3,-1.28,4.23,2.0,0.0,5.0,58.58,77.17,20.29,31.38,891.62,129.75,18.03,1012.91,5.54,0.0,2.09,Dongsi
2013,5,4,-0.36,4.03,3.0,0.0,0.0,86.04,115.58,23.88,33.62,743.48,118.78,19.78,1012.53,5.32,0.0,2.27,Dongsi
2013,5,5,-1.76,5.26,5.0,0.0,0.0,183.33,256.38,49.33,77.17,1603.88,115.17,20.81,1012.22,10.55,0.0,1.35,Dongsi
2013,5,6,-2.44,5.03,5.0,0.0,0.0,228.79,262.21,38.88,67.25,1699.83,157.15,23.67,1010.28,12.05,0.0,1.49,Dongsi
2013,5,7,-2.03,5.05,5.0,0.0,0.0,169.08,213.08,52.0,74.42,1537.38,161.21,24.09,1010.82,12.5,0.0,1.51,Dongsi
