year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-3.3733966,1.2552451,1.0,1,4,7.12,10.75,11.71,22.58,429.17,63.88,1.39,1026.88,-18.75,0.0,3.25,Aotizhongxin
2013,3,2,-1.355482,3.6739433,2.0,1,4,30.75,42.08,36.62,66.67,824.92,29.75,0.62,1026.85,-15.94,0.0,1.48,Aotizhongxin
2013,3,3,0.3404598,6.8772187,3.0,1,5,76.92,120.54,61.29,81.0,1620.62,19.12,5.57,1014.61,-12.32,0.0,1.66,Aotizhongxin
2013,3,4,0.06623521,6.3379726,2.0,1,5,22.71,44.58,22.87,46.96,617.39,53.75,9.96,1017.65,-11.68,0.0,2.4,Aotizhongxin
2013,3,5,2.4552376,8.379933,4.0,3,5,148.88,183.79,93.88,132.83,2357.96,68.46,6.29,1010.9,-7.52,0.0,1.13,Aotizhongxin
2013,3,6,3.2132206,8.403452,5.0,3,5,223.25,265.17,116.24,142.06,3108.35,19.75,7.18,1007.48,-4.22,0.0,1.48,Aotizhongxin
2013,3,7,4.7848797,7.6029534,6.0,3,5,263.38,316.08,97.54,147.75,3632.88,38.83,9.29,1002.32,-2.03,0.0,1.56,Aotizhongxin
2013,3,8,4.3756537,6.983402,5.0,3,5,221.46,297.96,68.56,118.84,2581.45,79.33,9.61,999.48,-1.15,0.0,1.64,Aotizhongxin
2013,3,9,0.47958055,4.8939853,3.0,1,5,62.04,211.09,33.33,45.0,1178.96,73.92,6.98,1004.39,-10.16,0.0,3.39,Aotizhongxin
2013,3,10,-0.2684544,6.158343,2.0,1,5,34.29,68.92,22.92,49.67,708.33,82.67,5.26,1020.49,-12.85,0.0,2.44,Aotizhongxin
2013,3,11,2.4522994,8.310184,4.0,3,5,123.79,178.29,86.88,90.67,1670.75,75.25,5.54,1013.66,-6.62,0.0,1.57,Aotizhongxin
2013,3,12,0.027452132,7.5541186,4.0,1,5,122.79,117.17,27.5,72.88,1634.7,36.58,4.6,1008.81,1.35,0.12,1.08,Aotizhongxin
2013,3,13,-2.2164123,8.905186,1.0,1,1,16.04,19.33,16.25,36.08,504.17,71.88,4.93,1022.48,-10.05,0.0,2.33,Aotizhongxin
2013,3,14,-0.42450592,9.749509,3.0,3,5,95.17,107.29,51.92,70.38,1337.29,68.92,3.82,1021.4,-3.59,0.0,1.95,Aotizhongxin
2013,3,15,0.9895672,11.31974,5.0,3,3,212.29,250.62,75.58,99.42,2116.5,44.21,6.4,1014.5,-1.07,0.0,1.42,Aotizhongxin
2013,3,16,3.5613177,11.026825,5.0,3,3,244.88,257.92,70.12,90.38,2173.61,66.67,9.53,1016.85,0.88,0.0,1.7,Aotizhongxin
2013,3,17,4.2879252,7.2100945,6.0,3,5,284.54,309.67,73.67,113.88,2558.0,96.54,10.01,1001.94,3.15,0.0,1.15,Aotizhongxin
2013,3,18,3.2277586,6.831272,2.0,3,5,70.67,118.04,19.62,46.17,866.58,89.04,8.38,1001.22,-9.4,0.0,3.64,Aotizhongxin
2013,3,19,0.46005532,7.543471,2.0,1,5,41.0,49.12,16.5,49.17,800.0,19.73,2.07,1008.89,-1.33,0.38,1.92,Aotizhongxin
2013,3,20,1.1498846,8.501985,2.0,3,5,48.92,47.79,12.5,41.54,920.83,32.08,1.52,1017.12,-2.82,0.31,2.06,Aotizhongxin
2013,3,21,3.2950618,7.9176316,4.0,3,5,148.96,161.75,21.67,85.75,1454.04,11.88,3.59,1004.92,-1.42,0.0,1.65,Aotizhongxin
2013,3,22,1.978357,8.337324,3.0,3,5,90.42,144.58,26.04,70.38,979.12,33.92,6.3,1011.56,-4.54,0.0,2.55,Aotizhongxin
2013,3,26,4.4045525,8.57038,5.0,3,3,187.46,251.33,75.08,106.29,1745.09,12.46,6.8,1007.57,-0.8,0.0,1.66,Aotizhongxin
2013,3,27,1.7537813,7.063518,3.0,1,5,91.62,122.92,20.71,42.96,868.09,43.16,10.88,1005.16,-4.57,0.0,2.85,Aotizhongxin
2013,3,28,0.23785943,7.7056065,2.0,1,5,28.33,54.79,12.67,39.83,595.79,57.92,7.88,1015.57,-10.24,0.0,2.22,Aotizhongxin
2013,3,29,0.32232735,8.85164,3.0,3,5,87.88,140.42,47.17,88.5,1563.36,16.92,6.21,1016.28,-5.3,0.0,1.57,Aotizhongxin
2013,3,30,0.15082626,10.310697,3.0,3,5,79.54,111.17,62.08,68.21,1666.46,33.67,6.45,1016.82,-2.53,0.0,1.74,Aotizhongxin
2013,3,31,1.4883932,10.102435,5.0,3,5,174.25,194.0,14.62,72.67,1333.0,3.0,5.57,1013.12,2.48,0.0,1.5,Aotizhongxin
2013,4,1,2.377117,9.758241,3.0,3,5,94.92,112.58,17.12,39.08,1208.17,51.04,10.46,1011.7,-4.69,0.0,3.07,Aotizhongxin
2013,4,2,4.1059833,9.071069,3.0,3,3,99.58,140.54,40.0,68.96,1282.48,53.34,10.04,1011.41,-1.5,0.0,1.92,Aotizhongxin
2013,4,3,3.591646,9.035611,4.0,3,5,124.17,204.58,50.75,87.71,1454.04,46.0,11.92,1006.75,0.03,0.0,1.83,Aotizhongxin
2013,4,4,2.7442636,9.215357,3.0,3,5,66.67,110.75,62.12,84.58,2264.87,19.83,7.76,1009.12,-0.09,0.34,1.55,Aotizhongxin
2013,4,5,1.1383271,8.581348,2.0,3,5,54.67,49.58,12.04,41.08,1179.04,37.29,8.52,1013.28,-0.51,0.1,2.45,Aotizhongxin
2013,4,6,2.8111656,8.382031,1.0,3,5,11.0,23.08,7.71,27.04,458.33,58.79,8.56,1010.84,-6.86,0.0,1.87,Aotizhongxin
2013,4,7,3.8042545,7.3482285,3.0,3,5,79.25,126.83,41.67,71.88,1254.08,32.71,8.85,1002.4,-0.61,0.0,1.67,Aotizhongxin
2013,4,8,1.9586655,7.0113673,2.0,1,5,25.83,123.83,7.62,21.38,450.0,67.54,9.02,1007.2,-10.9,0.0,4.72,Aotizhongxin
2013,4,9,0.9303498,8.08714,1.0,3,5,11.79,28.92,5.71,14.42,408.33,76.46,8.05,1014.6,-9.13,0.0,3.96,Aotizhongxin
