year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,2,11.03,9.91,2.0,3.0,5.0,34.04,41.71,25.08,56.38,875.0,24.71,-0.4,1023.73,-16.12,0.0,0.93,Dingling
2013,3,3,8.96,7.27,2.0,2.0,5.0,43.83,65.33,19.78,45.75,804.35,41.0,5.33,1011.31,-13.0,0.0,1.36,Dingling
2013,3,4,8.21,7.9,1.0,2.0,5.0,17.54,28.91,9.17,16.5,400.0,76.92,9.24,1014.4,-13.47,0.0,2.38,Dingling
2013,3,5,7.82,11.47,3.0,2.0,5.0,105.38,117.21,36.38,58.38,1187.38,86.5,6.46,1007.8,-9.0,0.0,0.77,Dingling
2013,3,6,8.64,10.86,5.0,2.0,5.0,220.79,225.0,71.25,96.33,2166.5,73.12,7.35,1004.35,-4.77,0.0,1.04,Dingling
2013,3,7,7.16,10.82,4.0,2.0,2.0,141.42,152.88,47.78,97.39,1756.35,60.33,9.24,999.23,-3.9,0.0,1.01,Dingling
2013,3,8,2.35,9.64,4.0,2.0,2.0,146.17,217.0,33.28,56.75,1439.04,87.58,12.04,996.15,-2.87,0.0,2.1,Dingling
2013,3,10,8.08,8.36,1.0,2.0,5.0,25.79,40.59,11.25,15.5,379.17,94.0,7.29,1017.02,-16.72,0.0,2.35,Dingling
2013,3,11,7.68,11.39,4.0,2.0,5.0,117.71,150.17,61.96,68.08,1290.68,90.67,5.36,1010.51,-8.42,0.0,1.26,Dingling
2013,3,12,8.53,8.83,4.0,2.0,5.0,138.08,136.79,27.33,70.58,1545.5,43.04,5.19,1005.91,-0.66,0.09,1.21,Dingling
2013,3,13,8.53,8.24,1.0,3.0,1.0,10.96,15.42,5.04,10.29,260.87,85.71,4.74,1019.4,-13.32,0.0,2.13,Dingling
2013,3,14,7.72,11.42,3.0,2.0,1.0,107.83,107.0,35.92,64.54,1253.92,81.29,3.49,1018.31,-4.69,0.0,1.5,Dingling
2013,3,15,7.44,12.29,5.0,1.0,1.0,204.17,190.33,49.71,79.87,1586.87,62.67,5.67,1011.36,-2.45,0.0,0.94,Dingling
2013,3,16,7.48,12.32,5.0,2.0,2.0,237.5,219.38,42.79,83.29,2053.88,93.62,8.87,1013.54,-0.36,0.0,1.49,Dingling
2013,3,17,8.41,10.27,6.0,2.0,2.0,326.5,290.5,45.42,107.54,2641.33,104.17,9.52,998.85,1.63,0.0,1.04,Dingling
2013,3,18,3.84,6.3,2.0,2.0,5.0,33.71,63.67,5.92,15.83,429.17,93.42,8.67,998.23,-11.44,0.0,3.69,Dingling
2013,3,19,5.54,6.74,2.0,2.0,5.0,45.0,33.29,4.0,28.25,608.7,35.7,1.23,1005.96,-0.78,0.38,1.4,Dingling
2013,3,20,7.5,8.38,1.0,2.0,5.0,31.04,23.92,5.83,18.83,475.0,63.21,1.39,1013.85,-4.63,0.5,1.28,Dingling
2013,3,21,7.75,8.99,4.0,2.0,5.0,132.62,117.21,10.38,43.62,1016.67,40.83,3.16,1001.91,-2.28,0.0,0.98,Dingling
2013,3,22,6.37,8.82,2.0,2.0,5.0,55.21,90.58,10.92,25.88,554.17,75.83,6.79,1008.23,-7.58,0.0,2.28,Dingling
2013,3,23,9.04,7.42,2.0,2.0,5.0,50.79,65.79,17.42,37.12,756.52,47.7,4.05,1005.68,-7.53,0.0,2.48,Dingling
2013,3,24,9.23,7.91,1.0,2.0,5.0,13.71,19.62,4.75,12.29,230.0,78.98,4.83,1013.03,-14.56,0.0,1.98,Dingling
2013,3,26,7.03,11.22,5.0,2.0,2.0,177.67,203.0,41.71,76.46,1386.83,39.38,6.33,1004.37,-3.35,0.0,1.0,Dingling
2013,3,27,8.67,6.94,3.0,2.0,5.0,108.62,116.67,16.96,35.0,886.36,63.46,10.11,1002.2,-7.3,0.0,2.65,Dingling
2013,3,28,8.81,5.98,1.0,2.0,5.0,13.25,18.54,4.0,13.08,250.0,86.88,7.84,1012.12,-14.67,0.0,2.14,Dingling
2013,3,29,8.64,9.61,2.0,2.0,5.0,45.12,66.38,14.96,30.62,782.57,64.19,5.64,1013.15,-9.18,0.0,1.75,Dingling
2013,3,30,7.08,11.24,3.0,1.0,1.0,81.33,103.75,43.96,42.46,1345.75,65.08,6.28,1013.51,-4.37,0.0,1.87,Dingling
2013,3,31,6.02,11.11,4.0,2.0,5.0,146.79,142.71,11.17,51.96,1017.3,17.57,4.72,1010.02,1.73,0.0,1.63,Dingling
2013,4,2,1.81,10.99,2.0,2.0,2.0,66.04,91.83,19.58,31.36,773.83,88.63,10.35,1008.1,-7.62,0.0,1.23,Dingling
2013,4,3,2.4,10.25,4.0,2.0,2.0,118.04,191.25,31.09,41.65,1213.59,85.18,11.95,1003.38,-1.82,0.0,1.66,Dingling
2013,4,4,5.28,9.94,2.0,1.0,0.0,56.17,78.17,21.04,46.67,1395.61,42.65,7.58,1006.02,-0.4,0.37,1.24,Dingling
2013,4,5,8.74,6.82,2.0,2.0,5.0,53.79,41.88,5.62,21.96,883.29,51.62,8.06,1010.14,-1.6,0.07,2.3,Dingling
2013,4,6,4.69,6.77,1.0,2.0,2.0,11.62,14.78,5.29,12.17,260.87,73.92,8.74,1007.44,-9.83,0.0,1.83,Dingling
2013,4,7,3.69,7.29,2.0,2.0,2.0,65.62,96.04,21.62,37.58,891.62,53.42,8.32,999.34,-2.23,0.0,1.42,Dingling
2013,4,8,8.43,4.96,2.0,2.0,5.0,18.96,86.79,3.46,6.04,226.09,86.04,8.5,1003.76,-12.64,0.0,5.88,Dingling
