year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,15.199791,3.2692635,1.0,3,3,6.42,9.88,8.48,28.52,395.65,72.78,1.32,1028.78,-21.47,0.0,3.31,Dongsi
2013,3,2,12.444772,0.041677106,2.0,3,3,30.5,40.58,28.29,58.5,966.58,37.79,0.49,1028.85,-16.96,0.0,0.79,Dongsi
2013,3,3,8.118398,-1.7959541,3.0,0,0,98.33,131.58,58.29,93.46,2132.88,20.33,4.99,1016.46,-12.31,0.0,1.22,Dongsi
2013,3,4,8.4791765,-1.442143,2.0,0,0,24.29,40.88,16.51,47.67,869.57,62.29,10.56,1019.45,-14.0,0.0,2.5,Dongsi
2013,3,5,8.314099,-3.6864312,5.0,0,0,154.25,183.17,82.0,140.04,2447.61,83.04,7.21,1012.7,-7.78,0.0,0.91,Dongsi
2013,3,6,7.6057315,-3.195922,5.0,0,0,206.83,231.92,102.42,161.5,2991.33,28.0,8.0,1009.3,-5.38,0.0,0.78,Dongsi
2013,3,7,2.2920716,4.164407,6.0,2,2,274.42,306.62,92.96,174.0,4249.67,53.54,9.26,1004.11,-2.55,0.0,1.17,Dongsi
2013,3,8,5.1521263,2.29391,5.0,0,4,189.33,232.46,61.46,151.76,3199.7,104.54,9.66,1001.33,-2.5,0.0,1.68,Dongsi
2013,3,9,14.0146475,-1.2942668,3.0,3,3,58.92,201.87,31.96,56.87,1260.61,97.08,7.23,1006.13,-12.1,0.0,4.0,Dongsi
2013,3,10,9.176805,-0.97579926,2.0,0,0,36.33,66.46,19.25,53.21,913.0,95.12,5.79,1022.5,-15.11,0.0,2.33,Dongsi
2013,3,11,4.573396,0.6335842,3.0,0,4,111.62,149.79,75.12,83.12,1278.0,86.67,7.18,1015.58,-7.65,0.0,1.52,Dongsi
2013,3,12,9.878731,-1.1547629,4.0,3,0,126.75,125.83,28.42,88.88,1408.08,45.75,5.1,1010.8,1.12,0.22,1.18,Dongsi
2013,3,13,9.972428,1.7475592,1.0,3,3,18.46,23.88,12.17,36.0,509.52,79.5,4.36,1024.75,-11.82,0.0,2.02,Dongsi
2013,3,14,9.675141,-0.80103344,3.0,3,0,97.5,105.33,52.33,71.75,1437.29,78.88,3.96,1023.47,-4.99,0.0,1.86,Dongsi
2013,3,15,7.6761804,0.04424031,5.0,0,4,219.96,229.5,78.29,115.5,2299.42,60.71,5.87,1016.39,-1.32,0.0,0.94,Dongsi
2013,3,16,4.500292,1.1144706,5.0,0,4,243.58,235.33,69.42,122.62,2349.71,84.67,9.63,1018.64,-0.26,0.0,1.78,Dongsi
2013,3,21,8.873282,-3.9700372,4.0,0,0,144.46,145.92,23.42,76.62,1360.87,20.04,4.52,1006.81,-3.0,0.0,1.71,Dongsi
2013,3,22,9.747628,-3.7210805,3.0,0,0,83.33,124.54,22.58,52.25,862.5,54.62,6.32,1013.68,-6.19,0.0,2.41,Dongsi
2013,3,23,11.371665,-2.674925,2.0,3,0,53.25,84.04,25.08,46.12,983.25,39.75,4.47,1010.57,-7.76,0.0,3.29,Dongsi
2013,3,24,9.800363,-1.5224867,1.0,3,0,18.0,28.58,9.29,23.96,225.0,69.76,4.79,1018.22,-15.44,0.0,2.32,Dongsi
2013,3,27,6.7534623,-2.733661,3.0,0,4,85.71,97.46,15.54,46.17,890.91,62.68,11.37,1006.9,-4.37,0.0,2.84,Dongsi
2013,3,28,9.287766,-1.3863751,2.0,0,0,28.58,53.92,8.42,29.12,525.0,78.75,8.3,1017.23,-12.87,0.0,2.09,Dongsi
2013,3,29,9.303914,-1.741196,3.0,0,0,90.5,134.21,36.21,69.83,1517.95,31.65,6.01,1018.07,-6.32,0.0,2.2,Dongsi
2013,3,30,8.058719,-0.36291125,3.0,0,4,79.62,105.83,47.62,50.83,1616.42,51.33,5.96,1018.73,-4.2,0.0,2.09,Dongsi
2013,3,31,7.679278,-1.552749,5.0,0,4,178.88,193.25,20.21,71.0,1437.29,9.17,5.55,1015.0,2.44,0.0,1.75,Dongsi
2013,4,1,8.045353,-1.644938,3.0,0,4,95.29,118.79,33.17,45.62,1383.21,62.42,10.89,1013.38,-4.93,0.0,3.02,Dongsi
