year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,9.21,-2.28,1.0,1.0,4.0,7.54,11.67,8.5,28.5,400.0,63.17,1.39,1026.88,-18.75,0.0,3.25,Guanyuan
2013,3,2,11.57,0.3,2.0,1.0,4.0,26.38,34.88,28.7,63.61,860.78,35.17,0.62,1026.85,-15.94,0.0,1.48,Guanyuan
2013,3,3,9.55,0.65,3.0,2.0,5.0,81.5,119.08,69.21,96.46,1966.46,16.5,5.57,1014.61,-12.32,0.0,1.66,Guanyuan
2013,3,4,12.14,-0.61,2.0,2.0,5.0,18.25,41.96,20.21,51.33,625.0,54.5,9.96,1017.65,-11.68,0.0,2.4,Guanyuan
2013,3,5,13.67,1.41,4.0,2.0,5.0,141.17,163.71,83.38,134.75,2483.08,78.79,6.29,1010.9,-7.52,0.0,1.13,Guanyuan
2013,3,6,13.63,1.95,5.0,2.0,5.0,205.58,229.75,127.52,154.87,3382.22,28.42,7.18,1007.48,-4.22,0.0,1.48,Guanyuan
2013,3,7,12.59,1.31,5.0,2.0,2.0,248.0,280.12,98.71,161.38,3949.67,46.67,9.29,1002.32,-2.03,0.0,1.56,Guanyuan
2013,3,8,3.77,-1.26,5.0,2.0,5.0,209.96,249.5,63.98,139.75,3117.13,106.0,9.61,999.48,-1.15,0.0,1.64,Guanyuan
2013,3,9,8.43,-0.79,3.0,2.0,5.0,51.75,197.09,36.71,49.83,1024.83,96.92,6.98,1004.39,-10.16,0.0,3.39,Guanyuan
2013,3,10,12.23,-0.83,2.0,2.0,5.0,34.08,59.38,23.04,51.71,747.83,90.29,5.26,1020.49,-12.85,0.0,2.44,Guanyuan
2013,3,11,11.38,1.5,4.0,2.0,5.0,119.33,162.96,106.83,91.83,1699.75,85.17,5.54,1013.66,-6.62,0.0,1.57,Guanyuan
2013,3,12,8.59,0.77,4.0,2.0,5.0,117.71,114.38,36.17,86.75,1858.21,39.5,4.6,1008.81,1.35,0.12,1.08,Guanyuan
2013,3,13,11.36,-1.45,2.0,2.0,1.0,14.67,19.5,15.12,43.17,550.0,74.46,4.93,1022.48,-10.05,0.0,2.33,Guanyuan
2013,3,14,13.9,0.09,3.0,2.0,1.0,93.58,104.25,65.5,73.0,1486.96,76.08,3.82,1021.4,-3.59,0.0,1.95,Guanyuan
2013,3,15,14.29,0.65,5.0,2.0,1.0,188.12,227.21,92.29,111.33,2270.62,63.08,6.4,1014.5,-1.07,0.0,1.42,Guanyuan
2013,3,16,14.29,0.57,5.0,2.0,2.0,225.67,228.33,78.04,93.25,2382.92,94.54,9.53,1016.85,0.88,0.0,1.7,Guanyuan
2013,3,17,10.91,1.49,6.0,2.0,2.0,258.21,283.12,77.83,111.42,2632.96,107.0,10.01,1001.94,3.15,0.0,1.15,Guanyuan
2013,3,18,5.97,-0.88,2.0,2.0,5.0,70.08,107.46,16.12,44.0,869.52,91.08,8.38,1001.22,-9.4,0.0,3.64,Guanyuan
2013,3,19,5.45,0.13,2.0,2.0,5.0,36.12,44.54,10.12,42.21,687.5,31.67,2.07,1008.89,-1.33,0.38,1.92,Guanyuan
2013,3,20,6.74,1.87,2.0,2.0,5.0,52.0,44.42,13.25,36.67,854.17,45.38,1.52,1017.12,-2.82,0.31,2.06,Guanyuan
2013,3,21,6.85,1.52,4.0,2.0,5.0,142.71,150.83,28.33,78.04,1553.96,30.04,3.59,1004.92,-1.42,0.0,1.65,Guanyuan
2013,3,22,7.25,0.51,3.0,2.0,5.0,78.25,112.12,22.67,53.08,865.13,55.83,6.3,1011.56,-4.54,0.0,2.55,Guanyuan
2013,3,23,7.24,-0.81,2.0,2.0,5.0,47.96,69.67,27.58,50.62,1162.33,38.21,4.77,1008.5,-6.29,0.0,2.41,Guanyuan
2013,3,24,9.32,0.07,1.0,2.0,5.0,15.79,25.62,10.67,33.58,365.0,61.07,5.11,1016.26,-12.9,0.0,2.69,Guanyuan
2013,3,26,9.04,3.07,5.0,2.0,2.0,178.75,213.21,71.96,76.04,1527.09,43.06,6.8,1007.57,-0.8,0.0,1.66,Guanyuan
2013,3,27,7.85,-0.39,3.0,2.0,5.0,85.38,122.33,17.38,37.08,804.26,57.46,10.88,1005.16,-4.57,0.0,2.85,Guanyuan
2013,3,28,9.29,0.11,2.0,2.0,5.0,24.88,52.04,8.62,35.21,512.5,67.5,7.88,1015.57,-10.24,0.0,2.22,Guanyuan
2013,3,29,10.18,1.77,2.0,2.0,5.0,69.12,114.96,35.17,66.67,1362.38,39.21,6.21,1016.28,-5.3,0.0,1.57,Guanyuan
2013,3,30,8.97,2.8,2.0,2.0,1.0,74.12,106.12,53.0,53.25,1508.91,57.0,6.45,1016.82,-2.53,0.0,1.74,Guanyuan
2013,3,31,9.1,2.76,5.0,2.0,5.0,171.92,195.29,25.58,66.38,1441.46,21.5,5.57,1013.12,2.48,0.0,1.5,Guanyuan
2013,4,1,6.21,-0.55,3.0,2.0,5.0,90.33,115.21,29.5,45.21,1303.96,57.17,10.46,1011.7,-4.69,0.0,3.07,Guanyuan
2013,4,2,0.39,-1.76,3.0,0.0,2.0,97.17,120.33,38.96,55.29,1316.54,72.08,10.04,1011.41,-1.5,0.0,1.92,Guanyuan
2013,4,3,6.54,0.59,4.0,2.0,2.0,117.38,176.54,42.25,75.67,1452.04,68.26,11.92,1006.75,0.03,0.0,1.83,Guanyuan
2013,4,4,8.95,2.36,2.0,2.0,5.0,58.21,91.67,51.54,67.04,2204.0,37.92,7.76,1009.12,-0.09,0.34,1.55,Guanyuan
2013,4,5,7.27,-0.52,2.0,2.0,5.0,60.5,56.17,12.21,41.17,1287.29,44.92,8.52,1013.28,-0.51,0.1,2.45,Guanyuan
2013,4,8,5.22,-1.94,2.0,2.0,5.0,23.42,123.33,4.62,28.17,304.17,77.17,9.02,1007.2,-10.9,0.0,4.72,Guanyuan
2013,4,9,7.07,-1.66,1.0,2.0,5.0,12.42,40.12,3.08,21.54,250.0,83.79,8.05,1014.6,-9.13,0.0,3.96,Guanyuan
2013,4,10,4.11,-0.53,1.0,2.0,5.0,13.5,37.12,3.29,30.79,333.33,66.22,7.78,1014.03,-8.33,0.0,2.6,Guanyuan
2013,4,11,3.34,-0.38,2.0,2.0,2.0,18.71,53.83,6.55,48.72,676.14,46.64,9.79,1012.81,-7.93,0.0,2.15,Guanyuan
2013,4,16,2.63,-0.98,2.0,0.0,2.0,55.62,124.29,26.96,54.47,979.12,74.08,14.53,1001.21,0.59,0.0,2.38,Guanyuan
2013,4,17,6.13,-0.88,2.0,2.0,2.0,44.71,65.62,17.75,44.54,687.5,78.04,12.36,1005.91,-1.1,0.0,2.1,Guanyuan
2013,4,18,6.07,-0.48,1.0,2.0,1.0,9.04,33.5,3.32,24.06,239.13,79.01,11.02,1017.2,-11.62,0.0,2.52,Guanyuan
2013,4,19,4.23,1.01,2.0,2.0,1.0,44.88,66.08,16.87,36.3,717.35,57.26,6.2,1018.66,-1.25,0.01,2.7,Guanyuan
2013,4,20,2.51,0.54,2.0,0.0,1.0,67.71,69.21,10.62,43.5,679.17,63.08,8.92,1015.36,0.76,0.0,2.08,Guanyuan
2013,4,21,4.65,0.84,4.0,0.0,2.0,117.17,131.5,32.67,57.19,1094.0,56.8,11.87,1012.36,3.3,0.0,2.29,Guanyuan
2013,4,22,8.91,3.4,5.0,0.0,2.0,151.17,166.12,60.79,57.25,1266.62,41.88,12.28,1008.33,6.23,0.0,1.7,Guanyuan
2013,4,23,5.49,3.01,5.0,0.0,2.0,180.42,177.33,28.13,66.22,1399.78,25.0,11.79,1005.7,7.67,0.0,1.36,Guanyuan
