year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,2,-1.3400513,5.0241385,2.0,1,1,36.92,51.38,37.29,37.57,1479.04,39.58,0.82,1024.9,-16.34,0.0,1.09,Gucheng
2013,3,3,1.768128,3.1819184,3.0,1,1,80.33,120.04,47.54,63.33,2349.71,33.71,6.56,1012.57,-11.99,0.0,1.4,Gucheng
2013,3,7,5.111723,3.5790377,5.0,0,5,243.75,308.58,83.17,155.14,4607.83,55.62,9.73,1000.3,-2.21,0.0,1.0,Gucheng
2013,3,8,4.289191,4.1241593,5.0,0,5,201.5,267.33,60.55,141.18,3017.26,106.67,10.61,997.45,-1.65,0.0,1.25,Gucheng
2013,3,9,-0.2689776,5.6113243,3.0,1,1,59.33,242.5,20.43,41.91,960.87,102.12,7.62,1002.32,-11.04,0.0,2.27,Gucheng
2013,3,10,0.43414053,2.4536064,2.0,1,1,41.58,75.54,20.04,46.88,799.96,98.62,6.42,1018.58,-14.7,0.0,1.98,Gucheng
2013,3,11,2.4895797,0.38503596,4.0,0,4,138.0,197.12,96.0,106.17,2203.75,91.54,5.78,1011.65,-7.25,0.0,0.98,Gucheng
2013,3,12,0.07429994,1.1082941,4.0,1,4,137.08,139.92,27.38,101.75,2053.92,39.67,5.18,1006.91,0.42,0.14,0.98,Gucheng
2013,3,13,-1.3788677,1.5407137,2.0,1,1,28.58,39.0,10.88,46.46,756.52,64.62,4.85,1020.54,-10.35,0.0,1.64,Gucheng
2013,3,14,1.4617105,-0.7807664,3.0,0,4,100.58,115.42,48.54,80.33,1608.08,80.04,3.98,1019.43,-3.98,0.0,1.35,Gucheng
2013,3,15,3.2338133,-2.2921634,5.0,0,4,220.21,239.29,65.04,121.25,2658.0,61.29,5.98,1012.47,-1.23,0.0,0.74,Gucheng
2013,3,16,6.0332017,-0.32360062,5.0,0,0,239.62,244.54,62.08,109.17,2637.29,87.17,9.72,1014.85,0.38,0.0,1.24,Gucheng
2013,3,17,4.533003,3.7673962,6.0,0,5,276.88,306.79,64.04,122.21,2669.17,107.0,10.2,999.96,2.71,0.0,0.83,Gucheng
2013,3,18,2.487321,2.2134886,2.0,0,4,75.79,113.5,11.75,39.79,883.29,93.58,8.7,999.06,-10.13,0.0,2.46,Gucheng
2013,3,19,1.3853077,-0.60948247,2.0,0,4,36.46,37.79,6.58,53.12,858.29,24.5,1.95,1006.95,-1.79,0.35,1.34,Gucheng
2013,3,20,1.4488112,0.15072721,2.0,0,4,61.0,64.0,8.0,42.0,979.12,44.17,1.89,1015.25,-2.98,0.14,1.36,Gucheng
2013,3,21,2.735115,0.19896998,4.0,0,4,148.75,162.92,19.67,87.79,1508.48,19.43,3.62,1002.84,-2.05,0.0,1.21,Gucheng
2013,3,22,2.00172,0.62865233,3.0,0,4,82.67,126.08,19.46,58.75,995.79,54.38,7.04,1009.52,-6.07,0.0,2.01,Gucheng
2013,3,23,0.6006767,4.153021,2.0,1,1,54.38,102.12,21.58,55.04,1041.54,38.42,4.96,1006.55,-6.99,0.0,1.88,Gucheng
2013,3,24,0.48570797,2.3833563,1.0,1,1,21.08,43.42,9.5,28.04,465.0,75.17,5.36,1014.2,-14.82,0.0,1.54,Gucheng
2013,3,26,4.461237,0.14879212,5.0,0,4,180.96,251.33,61.83,107.21,2064.78,19.24,7.11,1005.53,-2.49,0.0,0.89,Gucheng
2013,3,27,2.8457117,2.2041461,3.0,0,4,105.62,157.75,17.33,55.96,1325.96,52.18,10.66,1003.01,-5.9,0.0,1.9,Gucheng
2013,3,28,0.79367185,1.9263514,2.0,1,4,29.83,54.75,9.67,35.25,604.17,73.96,8.01,1013.5,-11.61,0.0,1.82,Gucheng
2013,3,29,1.3511881,0.92178434,3.0,0,4,66.29,114.96,29.12,85.33,1322.5,31.64,6.49,1014.11,-7.26,0.0,1.35,Gucheng
2013,3,30,2.7285035,-2.0997043,2.0,0,4,64.88,106.5,49.46,67.04,1562.21,49.08,6.51,1014.69,-3.95,0.0,1.58,Gucheng
2013,3,31,3.1048594,-1.1745131,5.0,0,4,173.04,196.67,19.33,83.67,1516.38,5.62,5.65,1011.03,1.99,0.0,1.14,Gucheng
2013,4,1,3.0336215,1.0984179,3.0,0,4,93.79,124.75,23.42,48.67,1204.3,58.02,11.22,1009.53,-5.99,0.0,2.27,Gucheng
2013,4,2,4.449541,0.47728965,3.0,0,4,93.21,147.38,37.33,69.17,1268.0,62.09,10.75,1009.31,-3.69,0.0,1.3,Gucheng
2013,4,3,4.4399934,0.2915391,4.0,0,4,122.96,197.46,36.75,86.21,1658.04,60.79,11.78,1004.67,-1.28,0.0,1.71,Gucheng
2013,4,4,3.5778635,-1.1919464,2.0,0,4,58.58,94.21,37.54,79.12,1837.33,33.46,7.86,1007.04,-1.35,0.31,1.02,Gucheng
2013,4,5,1.7441502,1.310783,2.0,0,4,54.71,54.5,9.5,44.17,1074.83,50.46,8.66,1011.15,-1.77,0.08,1.85,Gucheng
2013,4,6,3.386175,1.4207197,1.0,0,4,14.38,30.5,7.08,36.0,508.7,63.74,8.55,1008.76,-8.89,0.0,1.23,Gucheng
2013,4,7,4.238506,3.8365886,3.0,0,5,89.46,137.12,31.0,80.42,1337.33,37.08,8.84,1000.21,-2.14,0.0,1.37,Gucheng
2013,4,8,2.20259,3.7689526,2.0,1,1,27.08,133.38,6.0,22.88,429.17,82.58,9.31,1005.08,-12.46,0.0,4.02,Gucheng
2013,4,9,1.6975573,1.9801292,1.0,1,4,12.54,36.46,5.0,13.71,383.33,95.46,8.22,1012.42,-10.28,0.0,2.91,Gucheng
2013,4,10,2.06703,1.9952637,1.0,0,4,11.12,26.83,4.73,19.94,447.83,83.58,8.77,1011.89,-11.24,0.0,2.71,Gucheng
