year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,10.991277,0.7418315,1.0,3,3,7.54,12.38,15.96,12.35,339.13,78.22,0.02,1023.78,-21.94,0.0,2.93,Huairou
2013,3,2,11.957588,3.119048,2.0,3,5,32.71,41.38,40.01,49.85,765.17,35.01,-0.99,1023.69,-16.24,0.0,1.58,Huairou
2013,3,3,9.088962,8.522836,2.0,1,1,57.62,80.75,38.29,48.04,945.83,27.83,3.91,1011.39,-12.48,0.0,1.77,Huairou
2013,3,4,9.809833,7.129804,1.0,1,1,19.11,45.88,25.71,35.12,524.96,55.92,7.11,1014.49,-13.1,0.0,1.89,Huairou
2013,3,6,8.09242,6.206433,5.0,1,1,167.62,195.38,65.79,86.58,2095.62,80.38,5.47,1004.48,-5.6,0.0,1.24,Huairou
2013,3,7,5.971928,5.305348,5.0,1,1,206.42,241.82,64.0,121.67,2466.38,63.58,7.63,999.4,-3.99,0.0,1.33,Huairou
2013,3,8,6.7628098,4.7561474,5.0,1,1,194.88,232.25,58.56,88.81,2303.91,85.79,8.82,996.52,-2.75,0.0,2.32,Huairou
2013,3,9,9.58208,2.4873774,2.0,3,3,52.12,142.75,29.57,33.43,804.35,102.5,6.2,1001.3,-11.9,0.0,3.97,Huairou
2013,3,10,10.260991,6.931919,2.0,1,1,43.62,68.92,32.25,46.58,762.5,90.54,3.73,1017.32,-14.14,0.0,1.74,Huairou
2013,3,11,8.243787,6.76844,4.0,1,1,119.54,141.88,73.0,72.38,1295.67,70.96,4.88,1010.81,-8.55,0.0,1.4,Huairou
2013,3,12,10.486025,3.8447511,3.0,1,5,106.54,104.67,29.83,81.75,1208.17,41.88,4.94,1005.86,-0.71,0.06,1.63,Huairou
2013,3,13,13.066589,3.0577533,1.0,3,5,10.58,16.46,15.08,19.25,322.73,85.46,2.45,1019.56,-13.34,0.0,2.75,Huairou
2013,3,14,11.963031,7.8253064,3.0,1,1,108.0,120.79,32.46,78.21,1470.58,79.25,2.0,1018.57,-4.95,0.0,1.56,Huairou
2013,3,15,8.059352,10.419259,5.0,1,1,220.83,223.96,49.58,102.04,2021.48,45.38,4.2,1011.42,-2.3,0.0,1.16,Huairou
2013,3,16,4.486362,9.030995,5.0,0,4,236.0,223.92,48.38,83.08,2038.91,77.71,8.2,1013.63,-0.96,0.0,1.75,Huairou
2013,3,17,6.767254,4.934798,6.0,1,1,280.29,285.92,65.83,105.54,2521.43,99.67,8.09,998.97,1.15,0.0,1.37,Huairou
2013,3,18,8.237206,5.360764,3.0,1,1,95.42,115.88,10.25,32.71,799.92,87.79,7.28,998.18,-10.78,0.0,3.7,Huairou
2013,3,19,10.260831,6.305736,1.0,1,1,29.46,14.96,4.38,29.21,479.17,40.0,0.97,1005.96,-0.15,0.34,2.42,Huairou
2013,3,20,9.235415,6.0365615,1.0,1,1,35.75,32.96,6.62,33.08,591.67,54.62,0.44,1013.8,-4.21,0.15,1.89,Huairou
