year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-0.53,6.41,1.0,1.0,1.0,6.46,10.83,9.25,27.71,341.67,72.08,1.32,1028.78,-21.47,0.0,3.31,Nongzhanguan
2013,3,2,-0.26,10.28,2.0,1.0,1.0,28.75,37.71,33.96,64.74,986.87,40.17,0.49,1028.85,-16.96,0.0,0.79,Nongzhanguan
2013,3,3,1.79,9.05,3.0,1.0,5.0,104.75,135.5,63.71,105.67,2308.0,18.58,4.99,1016.46,-12.31,0.0,1.22,Nongzhanguan
2013,3,4,-1.22,10.06,2.0,1.0,5.0,22.88,35.08,14.67,49.54,674.96,62.46,10.56,1019.45,-14.0,0.0,2.5,Nongzhanguan
2013,3,5,-0.05,13.71,4.0,3.0,5.0,131.83,173.08,89.21,137.21,2578.88,77.58,7.21,1012.7,-7.78,0.0,0.91,Nongzhanguan
2013,3,6,0.01,13.66,5.0,0.0,5.0,195.33,213.75,116.0,149.0,2843.04,30.46,8.0,1009.3,-5.38,0.0,0.78,Nongzhanguan
2013,3,7,0.44,13.47,6.0,0.0,4.0,270.38,294.58,102.96,167.08,4158.0,47.58,9.26,1004.11,-2.55,0.0,1.17,Nongzhanguan
2013,3,8,8.03,9.7,5.0,0.0,4.0,217.79,239.42,69.4,129.96,3069.43,99.33,9.66,1001.33,-2.5,0.0,1.68,Nongzhanguan
2013,3,9,2.67,6.07,3.0,1.0,5.0,56.38,218.12,39.62,51.25,1404.08,93.42,7.23,1006.13,-12.1,0.0,4.0,Nongzhanguan
2013,3,10,-1.79,9.5,2.0,1.0,5.0,35.88,50.38,20.58,55.08,760.87,94.38,5.79,1022.5,-15.11,0.0,2.33,Nongzhanguan
2013,3,11,1.07,10.88,3.0,3.0,5.0,113.04,134.04,86.33,87.0,1337.33,87.04,7.18,1015.58,-7.65,0.0,1.52,Nongzhanguan
2013,3,12,2.22,9.05,4.0,3.0,3.0,127.83,120.12,38.54,90.79,1999.71,50.17,5.1,1010.8,1.12,0.22,1.18,Nongzhanguan
2013,3,13,-1.19,8.35,1.0,1.0,1.0,19.38,16.87,13.71,38.67,508.33,78.21,4.36,1024.75,-11.82,0.0,2.02,Nongzhanguan
2013,3,14,-1.23,11.73,3.0,3.0,3.0,87.46,96.08,61.79,75.38,1399.91,86.5,3.96,1023.47,-4.99,0.0,1.86,Nongzhanguan
2013,3,15,-0.46,13.41,5.0,3.0,3.0,211.04,225.12,79.96,113.33,2416.21,60.33,5.87,1016.39,-1.32,0.0,0.94,Nongzhanguan
2013,3,16,-0.67,13.63,5.0,3.0,5.0,244.5,217.21,74.46,97.75,2320.62,81.58,9.63,1018.64,-0.26,0.0,1.78,Nongzhanguan
2013,3,17,1.7,10.92,6.0,0.0,4.0,282.38,280.5,82.33,120.88,2682.96,106.29,9.97,1003.75,2.35,0.0,1.12,Nongzhanguan
2013,3,18,1.85,5.95,2.0,3.0,5.0,69.08,86.17,15.92,41.67,804.3,91.38,8.17,1003.12,-10.99,0.0,3.86,Nongzhanguan
2013,3,19,0.3,6.36,2.0,3.0,3.0,32.88,32.92,11.75,41.92,679.17,35.54,2.19,1010.85,-2.47,0.18,2.07,Nongzhanguan
2013,3,20,1.1,8.83,2.0,3.0,3.0,49.83,39.12,12.88,41.0,879.17,44.29,1.76,1019.26,-4.14,0.25,1.89,Nongzhanguan
2013,3,21,4.45,9.04,4.0,3.0,5.0,122.83,136.62,31.58,82.21,1266.54,24.67,4.52,1006.81,-3.0,0.0,1.71,Nongzhanguan
2013,3,22,3.88,8.56,3.0,3.0,5.0,79.29,117.96,25.12,58.17,869.52,55.96,6.32,1013.68,-6.19,0.0,2.41,Nongzhanguan
2013,3,23,1.92,7.8,2.0,1.0,5.0,52.04,86.71,30.04,55.5,1137.38,37.21,4.47,1010.57,-7.76,0.0,3.29,Nongzhanguan
2013,3,24,0.47,9.18,1.0,1.0,5.0,18.33,31.5,9.33,34.88,405.26,66.11,4.79,1018.22,-15.44,0.0,2.32,Nongzhanguan
2013,3,26,8.03,10.69,5.0,0.0,4.0,174.88,203.04,67.38,90.04,1545.27,22.51,8.47,1009.4,-1.87,0.0,1.61,Nongzhanguan
2013,3,27,2.01,7.4,3.0,0.0,5.0,88.92,118.21,16.21,44.71,812.96,52.94,11.37,1006.9,-4.37,0.0,2.84,Nongzhanguan
2013,3,28,0.47,9.18,1.0,3.0,5.0,28.38,48.04,8.79,37.25,533.33,75.71,8.3,1017.23,-12.87,0.0,2.09,Nongzhanguan
2013,3,29,0.7,10.77,3.0,3.0,5.0,91.38,129.83,46.79,76.79,1670.58,31.0,6.01,1018.07,-6.32,0.0,2.2,Nongzhanguan
2013,3,30,6.8,11.37,2.0,3.0,3.0,75.38,99.17,57.58,58.75,1617.22,55.22,5.96,1018.73,-4.2,0.0,2.09,Nongzhanguan
2013,3,31,4.07,11.15,5.0,3.0,3.0,170.08,183.04,26.12,74.33,1328.96,7.67,5.55,1015.0,2.44,0.0,1.75,Nongzhanguan
2013,4,1,1.39,8.73,3.0,0.0,5.0,92.12,110.58,36.67,49.46,1403.92,57.12,10.89,1013.38,-4.93,0.0,3.02,Nongzhanguan
2013,4,2,7.37,11.38,3.0,0.0,4.0,100.08,127.0,41.42,71.33,1430.26,63.34,11.18,1013.15,-2.95,0.0,1.98,Nongzhanguan
2013,4,3,7.38,10.7,4.0,0.0,5.0,122.58,182.42,45.29,84.62,1482.22,63.61,11.72,1008.48,-1.9,0.0,2.26,Nongzhanguan
2013,4,4,2.44,10.55,2.0,3.0,3.0,69.71,101.83,62.17,76.12,2299.67,33.21,8.32,1010.71,-1.38,0.27,1.51,Nongzhanguan
2013,4,5,1.99,7.2,2.0,3.0,5.0,56.58,46.04,13.71,41.71,1183.21,44.0,9.0,1014.64,-1.78,0.09,3.36,Nongzhanguan
2013,4,6,0.91,8.79,1.0,0.0,5.0,11.62,19.75,6.25,30.58,429.17,72.92,9.4,1012.62,-10.38,0.0,2.72,Nongzhanguan
2013,4,7,4.94,6.92,3.0,0.0,4.0,77.29,103.5,39.71,62.96,1256.35,50.22,9.26,1004.02,-2.84,0.0,2.17,Nongzhanguan
2013,4,8,4.58,5.93,2.0,0.0,5.0,25.21,112.22,5.08,24.62,345.83,78.54,9.34,1008.72,-13.17,0.0,6.1,Nongzhanguan
2013,4,9,1.76,6.37,1.0,1.0,5.0,12.21,25.83,3.54,20.75,312.5,89.88,8.37,1016.05,-10.79,0.0,4.69,Nongzhanguan
2013,4,10,4.41,6.93,1.0,1.0,5.0,13.38,26.79,4.5,35.38,416.67,69.81,8.11,1015.6,-10.82,0.0,3.22,Nongzhanguan
2013,4,11,7.13,7.57,2.0,0.0,5.0,18.46,39.33,6.93,62.23,595.24,53.98,10.58,1014.38,-11.76,0.0,2.35,Nongzhanguan
2013,4,12,8.5,7.47,3.0,0.0,4.0,55.67,115.21,23.83,82.79,863.64,40.37,15.92,1008.38,-5.6,0.0,2.09,Nongzhanguan
2013,4,13,6.74,6.04,2.0,0.0,4.0,60.12,128.0,24.25,57.83,741.62,49.71,17.83,1000.58,-1.18,0.0,3.06,Nongzhanguan
2013,4,14,7.73,8.21,2.0,0.0,4.0,32.75,95.67,11.21,38.88,587.5,80.92,12.38,1006.3,-8.0,0.0,2.2,Nongzhanguan
2013,4,15,8.85,9.32,2.0,0.0,4.0,72.29,145.83,48.04,63.0,1425.74,66.52,12.29,999.45,-0.73,0.0,2.45,Nongzhanguan
2013,4,16,7.01,7.15,2.0,0.0,4.0,62.5,136.33,31.88,51.92,1041.58,79.12,13.92,1002.96,-0.94,0.0,2.21,Nongzhanguan
2013,4,17,4.75,6.51,2.0,0.0,5.0,47.08,66.96,16.58,49.46,616.67,73.46,11.52,1007.79,-3.15,0.0,2.02,Nongzhanguan
2013,4,18,2.01,8.13,1.0,1.0,5.0,13.17,41.21,4.01,23.6,300.0,82.38,10.72,1018.86,-14.05,0.0,2.63,Nongzhanguan
2013,4,19,5.34,10.05,2.0,3.0,3.0,49.62,71.62,17.65,48.09,769.57,52.57,6.75,1020.45,-2.57,0.0,2.75,Nongzhanguan
2013,4,20,8.19,11.17,2.0,3.0,3.0,68.54,72.79,9.04,52.92,733.33,59.54,9.37,1017.12,-0.42,0.0,1.93,Nongzhanguan
2013,4,21,9.03,11.08,4.0,0.0,0.0,119.38,132.62,32.11,68.01,1138.89,53.58,12.36,1014.17,2.18,0.0,2.27,Nongzhanguan
2013,4,22,8.23,11.18,4.0,0.0,0.0,125.0,155.67,46.17,67.0,1154.08,45.54,12.86,1010.14,5.1,0.0,2.07,Nongzhanguan
2013,4,23,6.77,10.37,5.0,0.0,4.0,154.33,182.0,25.17,72.13,1347.74,26.96,11.96,1007.4,7.22,0.0,1.66,Nongzhanguan
2013,4,24,6.66,6.5,2.0,0.0,4.0,61.62,89.25,7.25,53.38,858.29,48.12,15.83,1006.71,0.58,0.0,2.77,Nongzhanguan
2013,4,25,7.93,8.19,2.0,0.0,4.0,8.04,34.25,4.21,45.92,412.5,63.17,16.2,1009.02,-7.18,0.0,2.83,Nongzhanguan
2013,4,26,9.59,10.16,3.0,0.0,4.0,51.33,148.88,28.25,82.83,1179.12,60.92,16.82,1006.0,-0.65,0.0,2.07,Nongzhanguan
2013,4,27,9.2,10.07,2.0,0.0,4.0,51.12,135.38,44.09,58.91,1160.83,98.48,17.92,1006.79,1.42,0.0,1.99,Nongzhanguan
2013,4,28,7.1,7.8,2.0,0.0,4.0,60.33,124.83,53.75,60.62,1766.33,86.04,16.13,1006.3,2.31,0.0,1.73,Nongzhanguan
2013,4,29,5.99,6.22,2.0,0.0,4.0,10.71,72.08,3.29,36.5,429.41,77.96,21.41,1007.85,-7.49,0.0,2.88,Nongzhanguan
2013,4,30,7.55,7.62,2.0,0.0,4.0,16.92,66.04,3.83,45.96,454.12,72.83,20.62,1010.0,-7.53,0.0,2.14,Nongzhanguan
2013,5,1,8.94,8.96,2.0,0.0,4.0,30.5,97.0,15.25,44.29,608.7,90.17,17.67,1011.15,0.11,0.0,1.62,Nongzhanguan
2013,5,2,9.97,11.09,2.0,0.0,4.0,65.54,140.21,43.12,58.04,1091.62,83.83,18.93,1008.2,2.86,0.0,2.35,Nongzhanguan
2013,5,3,11.08,12.05,2.0,0.0,0.0,57.38,82.88,22.67,33.21,795.83,120.62,18.03,1012.91,5.54,0.0,2.09,Nongzhanguan
2013,5,4,9.82,11.43,3.0,0.0,0.0,81.67,115.58,25.71,37.33,708.33,115.21,19.78,1012.53,5.32,0.0,2.27,Nongzhanguan
2013,5,5,10.52,11.72,5.0,0.0,0.0,206.42,256.92,54.71,82.79,1569.17,108.61,20.81,1012.22,10.55,0.0,1.35,Nongzhanguan
2013,5,6,12.06,11.8,5.0,0.0,0.0,157.58,282.88,37.96,85.92,1743.22,124.1,23.67,1010.28,12.05,0.0,1.49,Nongzhanguan
2013,5,7,11.9,11.94,5.0,0.0,0.0,158.91,233.61,52.25,85.46,1641.5,138.79,24.09,1010.82,12.5,0.0,1.51,Nongzhanguan
2013,5,8,9.61,9.78,4.0,0.0,0.0,133.62,169.17,57.21,72.83,1639.04,84.45,20.55,1009.9,10.56,0.0,1.81,Nongzhanguan
2013,5,9,10.13,6.85,2.0,0.0,4.0,46.62,60.04,11.29,46.25,600.0,59.3,17.59,1005.72,10.87,0.0,1.52,Nongzhanguan
2013,5,10,9.26,6.61,2.0,2.0,4.0,43.54,93.17,6.92,54.38,616.67,59.75,22.12,997.56,2.78,0.0,2.84,Nongzhanguan
2013,5,11,9.49,6.16,2.0,2.0,4.0,39.83,130.5,12.33,70.0,630.43,46.29,24.25,991.46,-0.37,0.0,2.38,Nongzhanguan
2013,5,12,9.17,8.21,2.0,2.0,4.0,28.29,86.42,11.58,56.42,658.29,60.33,22.44,996.1,-2.63,0.0,1.6,Nongzhanguan
2013,5,13,9.37,8.75,3.0,2.0,4.0,82.67,167.83,64.25,77.71,1856.3,76.65,21.38,998.35,5.23,0.0,1.52,Nongzhanguan
2013,5,14,9.38,8.69,2.0,0.0,4.0,43.62,108.38,9.12,45.79,737.46,85.92,24.6,1003.94,1.64,0.0,2.53,Nongzhanguan
2013,5,15,10.56,10.75,2.0,0.0,0.0,66.04,144.12,52.42,68.75,1541.5,92.38,22.32,1012.1,6.28,0.0,1.83,Nongzhanguan
2013,5,16,10.53,10.83,2.0,0.0,0.0,54.96,104.92,28.75,57.0,999.91,93.3,21.35,1012.68,9.16,0.0,1.72,Nongzhanguan
2013,5,17,10.58,11.18,3.0,0.0,0.0,112.67,136.71,35.83,67.62,1256.39,88.87,21.05,1007.67,11.83,0.0,1.6,Nongzhanguan
2013,5,18,10.91,8.58,3.0,2.0,4.0,113.62,128.33,29.21,55.21,1240.77,82.02,21.32,1002.27,13.22,0.0,2.32,Nongzhanguan
2013,5,19,8.4,6.65,2.0,0.0,4.0,45.17,140.46,10.83,31.58,652.94,66.63,20.69,996.63,3.18,0.0,3.38,Nongzhanguan
