year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,13.261262,3.534364,1.0,1,1,8.0,14.29,11.65,32.43,395.65,46.35,1.39,1026.88,-18.75,0.0,3.25,Wanliu
2013,3,2,11.610518,6.009023,2.0,1,1,29.08,41.62,34.25,73.71,908.33,17.67,0.62,1026.85,-15.94,0.0,1.48,Wanliu
2013,3,3,7.89848,8.316996,3.0,0,4,80.12,130.75,50.21,86.96,2074.58,12.08,5.57,1014.61,-12.32,0.0,1.66,Wanliu
2013,3,4,8.274764,8.757985,2.0,0,4,22.88,52.38,27.08,66.83,829.08,31.75,9.96,1017.65,-11.68,0.0,2.4,Wanliu
2013,3,5,7.476965,9.59637,4.0,0,5,134.04,196.96,80.74,121.0,2530.09,48.54,6.29,1010.9,-7.52,0.0,1.13,Wanliu
2013,3,6,7.2472034,9.841995,5.0,0,5,229.54,276.88,104.29,130.42,3328.71,16.29,7.18,1007.48,-4.22,0.0,1.48,Wanliu
2013,3,7,4.067687,6.895106,5.0,3,5,238.0,318.33,79.96,133.58,4733.0,25.21,9.29,1002.32,-2.03,0.0,1.56,Wanliu
2013,3,8,5.3445053,6.743318,5.0,0,5,210.62,273.71,60.68,121.03,4522.55,64.46,9.61,999.48,-1.15,0.0,1.64,Wanliu
2013,3,9,10.584495,5.8014274,3.0,1,1,66.0,205.81,25.8,44.72,1277.18,61.71,6.98,1004.39,-10.16,0.0,3.39,Wanliu
2013,3,10,10.175809,8.488027,2.0,1,4,38.08,71.46,18.96,61.17,816.62,67.46,5.26,1020.49,-12.85,0.0,2.44,Wanliu
2013,3,11,8.401154,10.538712,4.0,0,4,139.96,197.92,79.88,89.92,2295.43,56.42,5.54,1013.66,-6.62,0.0,1.57,Wanliu
2013,3,12,10.821288,9.14934,4.0,1,4,134.38,148.46,24.61,84.82,2249.75,21.0,4.6,1008.81,1.35,0.12,1.08,Wanliu
2013,3,13,10.377669,10.849992,2.0,0,4,21.71,30.88,18.54,70.25,645.79,47.46,4.93,1022.48,-10.05,0.0,2.33,Wanliu
2013,3,14,9.828824,11.265584,3.0,0,4,104.38,120.46,57.08,92.42,1454.04,61.04,3.82,1021.4,-3.59,0.0,1.95,Wanliu
2013,3,15,7.3449,12.466567,5.0,0,5,225.08,251.33,80.79,133.96,2345.46,37.79,6.4,1014.5,-1.07,0.0,1.42,Wanliu
2013,3,16,4.2563357,10.929424,5.0,0,5,248.08,262.58,79.75,121.96,2578.09,59.79,9.53,1016.85,0.88,0.0,1.7,Wanliu
2013,3,17,5.0366397,7.0709414,6.0,0,5,284.92,316.67,79.96,140.21,2769.09,88.71,10.01,1001.94,3.15,0.0,1.15,Wanliu
2013,3,18,7.883119,9.446839,2.0,0,4,70.79,106.75,20.83,59.58,843.43,82.0,8.38,1001.22,-9.4,0.0,3.64,Wanliu
2013,3,19,9.622789,12.416722,2.0,0,4,35.46,41.79,14.75,61.21,734.78,16.32,2.07,1008.89,-1.33,0.38,1.92,Wanliu
2013,3,20,9.422814,10.378596,2.0,0,4,53.71,52.25,18.58,61.38,956.48,26.86,1.52,1017.12,-2.82,0.31,1.99,Wanliu
2013,3,21,8.086194,10.742805,4.0,0,4,133.38,159.83,32.54,96.65,1399.88,11.12,3.59,1004.92,-1.42,0.0,1.65,Wanliu
2013,3,22,8.773708,9.9865465,3.0,0,4,84.79,124.58,32.04,90.46,979.12,33.25,6.3,1011.56,-4.54,0.0,2.55,Wanliu
2013,3,23,9.73921,7.143505,2.0,1,4,55.17,83.38,35.0,75.92,1145.67,27.62,4.77,1008.5,-6.29,0.0,2.41,Wanliu
2013,3,24,9.893636,8.96816,2.0,0,4,19.58,32.96,16.33,60.42,431.58,53.44,5.11,1016.26,-12.9,0.0,2.69,Wanliu
2013,3,26,4.2720466,9.821493,5.0,0,5,181.38,239.21,66.75,128.5,1838.96,11.28,6.8,1007.57,-0.8,0.0,1.66,Wanliu
2013,3,27,6.139763,8.482371,3.0,0,5,89.38,117.38,24.96,64.0,1039.04,40.11,10.88,1005.16,-4.57,0.0,2.85,Wanliu
2013,3,30,8.789201,12.13248,3.0,0,4,89.04,114.88,55.5,84.17,1599.67,36.88,6.45,1016.82,-2.53,0.0,1.74,Wanliu
2013,3,31,7.7115884,11.833068,5.0,0,5,185.29,216.92,20.0,80.25,1483.17,2.33,5.57,1013.12,2.48,0.0,1.5,Wanliu
2013,4,1,6.547975,10.024006,3.0,0,5,100.79,130.42,19.46,70.75,1078.13,52.64,10.46,1011.7,-4.69,0.0,3.07,Wanliu
2013,4,2,4.5796843,9.742879,3.0,0,5,110.54,152.88,42.38,109.96,1428.96,45.75,10.04,1011.41,-1.5,0.0,1.92,Wanliu
2013,4,3,5.890724,10.033357,4.0,0,5,145.17,225.71,43.88,119.21,1620.67,47.92,11.92,1006.75,0.03,0.0,1.83,Wanliu
2013,4,4,6.231529,12.372432,3.0,0,5,70.62,99.58,39.21,95.0,1903.71,28.29,7.76,1009.12,-0.09,0.34,1.55,Wanliu
2013,4,5,7.7560706,10.165541,2.0,0,5,69.33,57.71,13.0,56.38,1147.78,42.55,8.52,1013.28,-0.51,0.1,2.45,Wanliu
2013,4,6,7.0416636,9.2798605,2.0,0,5,13.12,27.88,9.79,68.38,720.79,50.0,8.56,1010.84,-6.86,0.0,1.87,Wanliu
2013,4,7,5.359216,7.072782,3.0,0,5,85.08,136.46,39.88,82.67,1299.83,35.22,8.85,1002.4,-0.61,0.0,1.67,Wanliu
2013,4,8,7.2818027,7.878999,2.0,0,4,25.21,122.54,12.59,29.67,404.76,72.42,9.02,1007.2,-10.9,0.0,4.72,Wanliu
2013,4,9,7.7945476,9.08799,1.0,0,4,10.38,33.96,12.0,37.38,250.0,76.47,8.05,1014.6,-9.13,0.0,3.96,Wanliu
2013,4,10,7.8373513,9.386792,2.0,0,4,12.25,30.29,10.08,61.83,291.67,57.85,7.78,1014.03,-8.33,0.0,2.6,Wanliu
2013,4,11,5.532961,9.036237,3.0,0,5,18.75,57.79,14.33,90.91,577.27,38.04,9.79,1012.81,-7.93,0.0,2.15,Wanliu
2013,4,12,2.896262,6.898632,3.0,3,0,49.71,124.92,29.83,123.24,718.18,21.87,14.74,1006.79,-2.2,0.0,1.99,Wanliu
2013,4,13,4.153278,8.252923,3.0,3,5,50.71,128.17,23.18,85.61,591.3,42.27,17.38,999.1,0.13,0.0,3.08,Wanliu
2013,4,14,3.899332,6.970739,3.0,3,5,34.33,110.62,16.46,86.46,491.67,59.17,11.94,1004.55,-2.83,0.0,2.4,Wanliu
2013,4,15,3.658446,6.8930182,3.0,3,5,75.71,158.0,48.33,94.7,1429.0,54.75,12.72,997.73,1.37,0.0,1.78,Wanliu
2013,4,16,3.9866354,9.023873,2.0,3,5,51.29,122.42,28.64,56.13,856.52,70.82,14.53,1001.21,0.59,0.0,2.38,Wanliu
2013,4,17,5.4390864,8.825076,2.0,0,5,47.62,74.75,22.3,54.13,695.45,72.77,12.36,1005.91,-1.1,0.0,2.1,Wanliu
2013,4,18,8.27597,10.548812,1.0,0,4,7.08,22.83,5.54,29.0,286.96,76.06,11.02,1017.2,-11.62,0.0,2.52,Wanliu
2013,4,19,8.234159,12.25695,2.0,0,5,45.46,82.58,18.71,52.12,716.67,47.75,6.2,1018.66,-1.25,0.01,2.7,Wanliu
2013,4,20,4.8070655,13.187039,2.0,0,5,71.67,76.08,14.0,55.92,713.04,53.79,8.92,1015.36,0.76,0.0,2.08,Wanliu
2013,4,22,1.4553155,10.973537,5.0,3,0,176.7,189.39,63.21,84.04,1295.67,24.33,12.28,1008.33,6.23,0.0,1.7,Wanliu
2013,4,23,1.7590985,10.386938,5.0,3,0,203.79,199.29,35.5,89.71,1341.5,15.79,11.79,1005.7,7.67,0.0,1.36,Wanliu
