year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-5.085256,1.0243977,1.0,1,1,8.04,10.75,7.43,18.26,326.09,57.22,2.06,1025.9,-19.71,0.0,2.61,Wanshouxigong
2013,3,2,-2.5649848,-1.0909008,2.0,1,5,30.92,40.96,30.96,50.33,879.17,27.83,0.68,1026.02,-15.48,0.0,1.06,Wanshouxigong
2013,3,3,0.6803507,-3.4544966,3.0,1,5,96.0,130.46,58.71,88.42,2004.0,11.5,5.26,1013.77,-11.78,0.0,1.39,Wanshouxigong
2013,3,4,-0.25824437,-2.8599243,2.0,1,5,23.12,38.67,18.92,43.67,754.04,42.46,9.44,1016.82,-11.81,0.0,1.71,Wanshouxigong
2013,3,5,2.2563055,-2.853483,4.0,0,5,148.67,171.67,79.43,102.04,2277.96,81.79,7.25,1009.92,-7.46,0.0,0.88,Wanshouxigong
2013,3,6,3.598386,-3.4135249,5.0,0,4,207.88,232.67,108.75,125.42,3153.79,60.04,7.88,1006.68,-4.58,0.0,0.83,Wanshouxigong
2013,3,7,6.4756603,-5.21129,6.0,0,4,265.33,304.71,93.5,138.25,4420.42,38.38,9.52,1001.4,-1.95,0.0,1.15,Wanshouxigong
2013,3,8,4.545657,-5.0783477,5.0,0,4,223.42,257.92,63.4,119.87,3491.22,91.33,10.25,998.54,-1.74,0.0,1.68,Wanshouxigong
2013,3,9,-2.4331143,-2.8008928,3.0,1,5,57.25,234.79,31.0,40.17,1182.48,83.92,7.38,1003.39,-10.78,0.0,3.12,Wanshouxigong
2013,3,10,-1.1993036,-2.2449675,2.0,1,5,35.08,48.17,23.33,44.33,875.0,82.42,5.29,1019.85,-14.08,0.0,2.17,Wanshouxigong
2013,3,11,4.341024,0.17756356,4.0,0,0,120.21,144.38,97.75,74.38,1624.79,74.54,5.75,1012.8,-7.25,0.0,1.18,Wanshouxigong
2013,3,12,2.2186334,1.6641507,4.0,1,0,123.71,100.58,31.04,72.92,1820.58,33.42,5.16,1007.94,0.89,0.27,1.08,Wanshouxigong
2013,3,13,-0.512538,1.139773,1.0,1,1,21.71,19.0,14.67,34.12,634.78,62.67,5.0,1021.72,-10.5,0.0,2.04,Wanshouxigong
2013,3,14,1.2520324,0.7464047,3.0,1,0,85.58,85.54,56.38,64.42,1583.21,66.92,4.3,1020.58,-4.28,0.0,1.71,Wanshouxigong
