year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,14.976143,3.0304744,1.0,1.0,4.0,7.54,11.67,8.5,28.5,400.0,63.17,1.39,1026.88,-18.75,0.0,3.25,Guanyuan
2013,3,2,12.73422,-0.55442363,2.0,1.0,4.0,26.38,34.88,28.7,63.61,860.78,35.17,0.62,1026.85,-15.94,0.0,1.48,Guanyuan
2013,3,3,9.599202,-0.5177603,3.0,2.0,5.0,81.5,119.08,69.21,96.46,1966.46,16.5,5.57,1014.61,-12.32,0.0,1.66,Guanyuan
2013,3,4,10.330201,-1.4177681,2.0,2.0,5.0,18.25,41.96,20.21,51.33,625.0,54.5,9.96,1017.65,-11.68,0.0,2.4,Guanyuan
2013,3,5,7.2197304,-2.2132626,4.0,2.0,5.0,141.17,163.71,83.38,134.75,2483.08,78.79,6.29,1010.9,-7.52,0.0,1.13,Guanyuan
2013,3,6,6.028393,-2.0122812,5.0,2.0,5.0,205.58,229.75,127.52,154.87,3382.22,28.42,7.18,1007.48,-4.22,0.0,1.48,Guanyuan
2013,3,7,3.4522178,-0.4525335,5.0,2.0,2.0,248.0,280.12,98.71,161.38,3949.67,46.67,9.29,1002.32,-2.03,0.0,1.56,Guanyuan
2013,3,8,5.07406,-0.71209836,5.0,2.0,5.0,209.96,249.5,63.98,139.75,3117.13,106.0,9.61,999.48,-1.15,0.0,1.64,Guanyuan
2013,3,9,13.133397,-1.0856434,3.0,2.0,5.0,51.75,197.09,36.71,49.83,1024.83,96.92,6.98,1004.39,-10.16,0.0,3.39,Guanyuan
2013,3,10,10.968911,-1.343276,2.0,2.0,5.0,34.08,59.38,23.04,51.71,747.83,90.29,5.26,1020.49,-12.85,0.0,2.44,Guanyuan
2013,3,11,7.151507,-2.1952364,4.0,2.0,5.0,119.33,162.96,106.83,91.83,1699.75,85.17,5.54,1013.66,-6.62,0.0,1.57,Guanyuan
2013,3,12,8.963393,-0.66720533,4.0,2.0,5.0,117.71,114.38,36.17,86.75,1858.21,39.5,4.6,1008.81,1.35,0.12,1.08,Guanyuan
2013,3,13,10.486772,0.8401098,2.0,2.0,1.0,14.67,19.5,15.12,43.17,550.0,74.46,4.93,1022.48,-10.05,0.0,2.33,Guanyuan
2013,3,14,8.44037,-1.8437058,3.0,2.0,1.0,93.58,104.25,65.5,73.0,1486.96,76.08,3.82,1021.4,-3.59,0.0,1.95,Guanyuan
2013,3,15,7.5730233,-1.5964409,5.0,2.0,1.0,188.12,227.21,92.29,111.33,2270.62,63.08,6.4,1014.5,-1.07,0.0,1.42,Guanyuan
2013,3,16,3.6744711,-1.272384,5.0,2.0,2.0,225.67,228.33,78.04,93.25,2382.92,94.54,9.53,1016.85,0.88,0.0,1.7,Guanyuan
2013,3,17,3.3177087,0.17157738,6.0,2.0,2.0,258.21,283.12,77.83,111.42,2632.96,107.0,10.01,1001.94,3.15,0.0,1.15,Guanyuan
2013,3,18,2.8802853,1.9517283,2.0,2.0,5.0,70.08,107.46,16.12,44.0,869.52,91.08,8.38,1001.22,-9.4,0.0,3.64,Guanyuan
2013,3,19,5.962931,0.55133134,2.0,2.0,5.0,36.12,44.54,10.12,42.21,687.5,31.67,2.07,1008.89,-1.33,0.38,1.92,Guanyuan
2013,3,20,7.7598453,-2.1392963,2.0,2.0,5.0,52.0,44.42,13.25,36.67,854.17,45.38,1.52,1017.12,-2.82,0.31,2.06,Guanyuan
2013,3,21,6.121685,-2.246062,4.0,2.0,5.0,142.71,150.83,28.33,78.04,1553.96,30.04,3.59,1004.92,-1.42,0.0,1.65,Guanyuan
2013,3,22,8.131192,-2.3106196,3.0,2.0,5.0,78.25,112.12,22.67,53.08,865.13,55.83,6.3,1011.56,-4.54,0.0,2.55,Guanyuan
2013,3,23,11.637596,-1.6963114,2.0,2.0,5.0,47.96,69.67,27.58,50.62,1162.33,38.21,4.77,1008.5,-6.29,0.0,2.41,Guanyuan
2013,3,24,10.967609,-1.6171206,1.0,2.0,5.0,15.79,25.62,10.67,33.58,365.0,61.07,5.11,1016.26,-12.9,0.0,2.69,Guanyuan
2013,3,25,7.678726,-2.0648592,3.0,2.0,5.0,95.71,114.21,45.29,71.0,1125.0,48.47,5.15,1015.3,-5.38,0.0,1.92,Guanyuan
2013,3,26,3.3410988,-0.7957817,5.0,2.0,2.0,178.75,213.21,71.96,76.04,1527.09,43.06,6.8,1007.57,-0.8,0.0,1.66,Guanyuan
2013,3,27,7.670507,-0.47268176,3.0,2.0,5.0,85.38,122.33,17.38,37.08,804.26,57.46,10.88,1005.16,-4.57,0.0,2.85,Guanyuan
