year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,15.54197,-0.6153875,1.0,1.0,4.0,8.08,9.33,3.0,13.0,352.17,62.48,0.54,1029.64,-20.64,0.0,3.17,Shunyi
2013,3,2,13.081192,-1.4754567,2.0,1.0,4.0,32.62,38.13,20.21,47.58,920.83,40.42,0.08,1029.47,-16.28,0.0,1.35,Shunyi
2013,3,3,8.76964,-2.1167233,3.0,1.0,5.0,76.5,95.21,30.88,65.29,1749.92,24.54,5.03,1017.04,-11.78,0.0,1.62,Shunyi
2013,3,4,8.56773,-1.8129674,2.0,2.0,5.0,19.83,33.04,13.08,43.29,791.58,55.12,8.94,1020.12,-12.44,0.0,2.09,Shunyi
2013,3,5,7.865542,-0.7289319,3.0,2.0,5.0,114.96,145.83,58.83,87.87,1851.96,74.54,6.45,1013.49,-7.22,0.0,1.2,Shunyi
2013,3,6,6.978512,-1.4042802,5.0,2.0,5.0,168.71,186.08,86.87,95.69,2313.36,49.71,6.58,1009.99,-4.8,0.0,1.2,Shunyi
2013,3,7,4.13043,-4.4287105,6.0,2.0,2.0,283.0,301.62,88.79,120.12,3524.88,52.21,8.38,1004.86,-1.92,0.0,1.15,Shunyi
2013,3,8,5.624687,-4.3452578,5.0,2.0,2.0,226.0,246.38,69.43,90.28,2790.68,95.67,8.98,1002.05,-1.72,0.0,2.32,Shunyi
2013,3,9,12.009782,-1.837835,3.0,1.0,5.0,98.25,175.58,41.36,62.18,1736.18,78.38,6.79,1006.77,-10.85,0.0,4.58,Shunyi
2013,3,10,9.1111,-1.5842018,2.0,1.0,5.0,52.8,71.4,27.86,54.07,835.71,49.08,5.05,1023.11,-13.23,0.0,2.15,Shunyi
2013,3,11,7.128475,-0.21158965,4.0,2.0,5.0,124.92,157.12,86.83,74.46,1603.88,64.92,6.48,1016.38,-6.84,0.0,1.6,Shunyi
2013,3,12,12.15401,0.71116215,4.0,1.0,1.0,115.88,113.71,27.92,65.0,1533.29,43.67,4.73,1011.47,0.75,0.12,1.32,Shunyi
2013,3,13,12.565946,1.3427473,1.0,1.0,1.0,14.17,18.46,11.88,24.46,421.74,76.62,3.52,1025.45,-12.49,0.0,2.2,Shunyi
2013,3,14,9.891513,2.2317185,3.0,1.0,1.0,90.12,100.29,38.25,68.79,1270.79,74.12,3.51,1024.26,-4.58,0.0,1.73,Shunyi
2013,3,15,7.653448,3.2053177,5.0,0.0,1.0,210.17,221.38,48.12,100.79,2016.46,39.46,5.67,1017.08,-1.48,0.0,1.46,Shunyi
2013,3,16,4.932717,0.27354428,5.0,2.0,1.0,233.42,209.83,47.79,80.62,2053.88,67.62,8.98,1019.29,-0.15,0.0,2.12,Shunyi
2013,3,17,5.471482,-4.339541,6.0,2.0,2.0,287.88,277.29,56.83,89.67,2364.96,103.5,9.2,1004.52,1.98,0.0,1.25,Shunyi
2013,3,18,7.5497146,-0.8992119,3.0,2.0,5.0,91.92,93.83,9.79,37.62,962.5,89.25,7.65,1003.89,-9.77,0.0,3.76,Shunyi
2013,3,19,10.058188,2.1663888,1.0,1.0,1.0,24.33,19.46,3.0,23.96,583.33,40.83,1.68,1011.66,-1.05,0.28,2.11,Shunyi
2013,3,20,9.297462,1.2290546,2.0,1.0,1.0,37.08,32.92,4.25,44.58,787.5,35.88,1.25,1019.82,-4.46,0.23,2.0,Shunyi
2013,3,21,8.219644,0.060539763,4.0,2.0,5.0,122.29,129.92,19.29,58.83,1426.95,28.18,3.92,1007.52,-2.78,0.0,1.5,Shunyi
2013,3,22,8.586434,-0.16567086,2.0,2.0,5.0,67.83,112.42,15.88,40.0,729.17,56.92,5.85,1014.35,-6.55,0.0,2.5,Shunyi
2013,3,23,10.7614975,-1.2499868,2.0,1.0,5.0,43.58,58.04,21.0,45.38,1065.09,31.98,4.24,1011.34,-7.08,0.0,3.1,Shunyi
2013,3,24,9.807391,-1.1423479,1.0,1.0,5.0,16.21,25.79,6.5,27.46,350.0,59.95,3.91,1019.0,-13.16,0.0,2.0,Shunyi
2013,3,25,8.194409,-0.28520468,3.0,2.0,5.0,96.88,121.54,32.11,73.05,1374.75,34.57,4.91,1018.02,-6.8,0.0,1.66,Shunyi
2013,3,26,4.866736,-1.0939845,5.0,2.0,2.0,187.0,214.58,47.79,88.54,1817.13,13.82,7.52,1010.18,-1.8,0.0,1.84,Shunyi
2013,3,27,7.035753,-2.2943263,3.0,2.0,5.0,93.12,105.67,12.21,41.88,969.43,39.32,10.78,1007.66,-4.16,0.0,2.96,Shunyi
2013,3,28,9.46079,-1.2781113,1.0,1.0,5.0,21.83,40.67,3.88,27.58,495.79,66.75,7.62,1017.89,-12.71,0.0,2.21,Shunyi
2013,3,29,9.213168,-0.3706638,3.0,1.0,5.0,80.71,113.04,22.79,48.25,1690.77,31.57,5.55,1018.94,-6.4,0.0,1.97,Shunyi
2013,3,30,8.928092,2.5823066,2.0,0.0,1.0,75.38,99.17,48.75,45.12,1760.65,49.32,5.98,1019.39,-4.25,0.0,2.32,Shunyi
2013,3,31,8.044036,1.8308368,4.0,0.0,1.0,146.88,157.12,3.42,47.17,1133.21,20.08,5.19,1015.73,1.94,0.0,1.76,Shunyi
2013,4,1,8.104744,-1.0786546,4.0,2.0,5.0,118.17,113.35,13.21,47.75,2034.43,38.14,10.15,1014.05,-3.23,0.0,2.85,Shunyi
2013,4,2,6.1417108,-1.3681711,3.0,2.0,2.0,87.29,109.25,22.17,55.54,1290.68,55.73,9.67,1013.87,-3.8,0.0,1.77,Shunyi
2013,4,3,5.574312,-1.3296851,3.0,2.0,2.0,111.58,167.88,22.29,60.29,1395.67,63.25,11.73,1009.17,-1.54,0.0,2.48,Shunyi
2013,4,4,6.8279386,1.259292,2.0,0.0,1.0,63.5,81.54,41.67,69.5,2062.12,22.08,7.93,1011.46,-0.53,0.33,1.84,Shunyi
2013,4,5,8.083645,-1.0450155,2.0,2.0,5.0,39.75,25.46,3.46,26.96,1116.67,42.0,8.73,1015.28,-1.65,0.05,2.8,Shunyi
2013,4,6,6.6473083,-1.8987569,1.0,2.0,2.0,14.96,17.17,3.88,24.08,369.57,57.22,7.95,1013.31,-8.55,0.0,2.07,Shunyi
2013,4,7,5.629959,-4.1954665,2.0,2.0,2.0,72.88,103.12,34.08,57.42,1453.92,45.42,8.96,1004.92,-2.25,0.0,2.62,Shunyi
2013,4,8,7.8927245,-2.4938931,2.0,2.0,5.0,20.58,72.33,3.33,20.29,581.82,58.05,8.85,1009.02,-11.13,0.0,5.54,Shunyi
2013,4,9,8.381612,-1.824757,1.0,2.0,5.0,11.21,18.88,3.0,11.75,562.5,78.5,8.11,1016.55,-10.6,0.0,3.9,Shunyi
2013,4,10,8.025767,-1.8447647,1.0,2.0,5.0,12.58,15.61,3.01,21.63,863.64,55.87,7.76,1016.12,-10.48,0.0,3.48,Shunyi
2013,4,11,6.129347,-2.4168875,1.0,2.0,5.0,16.96,21.88,4.1,38.94,1136.36,53.94,9.72,1014.96,-10.51,0.0,2.7,Shunyi
2013,4,12,3.405411,-4.170974,2.0,2.0,2.0,63.62,91.54,15.75,79.17,1590.73,31.1,13.23,1009.18,-5.1,0.0,1.46,Shunyi
2013,4,13,4.0371633,-3.9961967,2.0,2.0,2.0,59.38,98.0,15.71,48.71,1520.79,38.04,16.35,1001.47,-1.56,0.0,3.16,Shunyi
2013,4,14,3.8468888,-4.253205,2.0,2.0,2.0,26.71,61.54,8.92,24.67,513.04,71.04,12.15,1006.97,-8.48,0.0,2.33,Shunyi
2013,4,15,3.9947064,-4.378992,2.0,2.0,2.0,64.91,125.33,42.75,52.0,1486.7,60.71,12.45,1000.21,-0.54,0.0,2.47,Shunyi
2013,4,16,4.725057,-1.8819728,2.0,2.0,2.0,52.08,129.96,31.83,36.83,949.88,76.5,13.84,1003.73,-0.59,0.0,2.42,Shunyi
2013,4,17,6.7626853,-2.2866716,2.0,2.0,5.0,46.75,74.5,19.83,34.42,645.83,71.46,11.65,1008.58,-2.67,0.0,2.48,Shunyi
2013,4,18,9.020464,-1.4321216,1.0,1.0,5.0,9.57,39.92,3.18,9.91,272.73,74.01,10.68,1019.67,-13.59,0.0,3.01,Shunyi
2013,4,19,7.8323064,3.2022133,2.0,1.0,1.0,40.42,63.54,14.27,37.59,756.52,50.35,6.9,1021.08,-2.18,0.0,2.25,Shunyi
2013,4,20,6.0626626,3.051542,2.0,0.0,1.0,71.5,75.29,8.25,48.08,875.0,49.54,9.38,1017.65,-0.52,0.0,1.54,Shunyi
2013,4,21,4.170726,1.0465599,4.0,0.0,0.0,123.54,139.71,23.37,56.75,1194.39,47.08,12.16,1014.88,2.22,0.0,2.21,Shunyi
