year,month,day,UMAP1,UMAP2,AQI,Kmeans_4,Kmeans_6,PM2_5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,station
2013,3,1,-0.7917382,8.711532,1.0,1.0,1.0,8.62,14.46,8.88,21.58,450.0,68.08,1.32,1028.78,-21.47,0.0,3.31,Tiantan
2013,3,2,-2.0307982,5.613317,2.0,1.0,1.0,31.71,37.04,27.17,50.48,934.78,34.04,0.49,1028.85,-16.96,0.0,0.79,Tiantan
2013,3,3,-0.3951234,1.0275006,3.0,2.0,5.0,98.04,121.33,55.62,82.96,2028.96,16.92,4.99,1016.46,-12.31,0.0,1.22,Tiantan
2013,3,4,0.25887305,0.16805808,2.0,2.0,5.0,22.33,37.58,16.58,42.04,895.79,53.12,10.56,1019.45,-14.0,0.0,2.5,Tiantan
2013,3,5,0.37613222,-2.604347,4.0,2.0,5.0,141.67,156.38,74.33,101.67,2408.0,94.0,7.21,1012.7,-7.78,0.0,0.91,Tiantan
2013,3,6,1.0966555,-3.8776205,5.0,2.0,5.0,193.71,206.33,96.39,126.96,3069.17,75.33,8.0,1009.3,-5.38,0.0,0.78,Tiantan
2013,3,7,1.8991681,-6.349195,6.0,2.0,2.0,257.5,278.29,72.67,134.08,4416.29,55.29,9.26,1004.11,-2.55,0.0,1.17,Tiantan
2013,3,8,0.71845096,-4.6852193,5.0,2.0,2.0,198.86,220.73,51.47,110.94,3371.05,102.46,9.66,1001.33,-2.5,0.0,1.68,Tiantan
2013,3,9,-1.1872783,3.8323,3.0,2.0,5.0,60.33,206.3,26.62,41.62,1387.29,88.92,7.23,1006.13,-12.1,0.0,4.0,Tiantan
2013,3,10,-0.06467657,1.301094,2.0,1.0,5.0,38.29,66.5,20.67,44.79,830.35,89.75,5.79,1022.5,-15.11,0.0,2.33,Tiantan
2013,3,11,3.0111024,-0.15965104,4.0,2.0,5.0,122.04,143.83,82.58,73.33,1449.88,88.08,7.18,1015.58,-7.65,0.0,1.52,Tiantan
2013,3,12,1.6744272,2.3310707,4.0,2.0,4.0,126.96,120.25,26.42,69.29,2028.79,47.42,5.1,1010.8,1.12,0.22,1.18,Tiantan
2013,3,13,0.7651487,3.1458654,1.0,1.0,4.0,16.92,22.67,12.67,32.04,600.0,74.0,4.36,1024.75,-11.82,0.0,2.02,Tiantan
2013,3,14,0.53760695,0.9835089,3.0,1.0,4.0,83.88,98.42,56.13,61.92,1366.43,78.46,3.96,1023.47,-4.99,0.0,1.86,Tiantan
2013,3,15,2.5736082,-0.038412932,5.0,2.0,4.0,189.71,213.88,56.71,88.71,2249.62,62.75,5.87,1016.39,-1.32,0.0,0.94,Tiantan
2013,3,16,3.689821,-2.8061416,5.0,2.0,5.0,247.79,234.79,69.25,83.25,2453.75,88.54,9.63,1018.64,-0.26,0.0,1.78,Tiantan
2013,3,17,1.3442558,-5.5780983,6.0,2.0,2.0,289.5,275.04,59.62,100.21,2687.12,103.92,9.97,1003.75,2.35,0.0,1.12,Tiantan
2013,3,18,-1.8734388,-2.0324972,2.0,2.0,5.0,72.92,98.21,12.71,40.25,952.09,93.29,8.17,1003.12,-10.99,0.0,3.86,Tiantan
2013,3,19,-2.4842346,0.34440163,2.0,1.0,4.0,43.54,39.79,10.96,44.62,891.67,27.79,2.19,1010.85,-2.47,0.18,2.07,Tiantan
2013,3,20,-1.7800817,-0.51606977,2.0,2.0,4.0,57.5,44.38,10.29,36.79,1024.96,40.75,1.76,1019.26,-4.14,0.25,1.89,Tiantan
2013,3,21,-0.5637749,-2.189436,4.0,2.0,5.0,134.71,131.92,28.92,69.17,1399.71,25.21,4.52,1006.81,-3.0,0.0,1.71,Tiantan
2013,3,22,-1.423604,-0.7645089,3.0,2.0,5.0,76.67,109.5,25.04,47.54,969.57,57.78,6.32,1013.68,-6.19,0.0,2.41,Tiantan
2013,3,23,-1.7270833,1.7665993,2.0,2.0,5.0,51.33,74.38,28.79,51.33,1237.42,35.62,4.47,1010.57,-7.76,0.0,3.29,Tiantan
2013,3,24,-0.9309938,1.2073951,1.0,1.0,5.0,15.92,26.71,10.33,31.0,465.0,68.3,4.79,1018.22,-15.44,0.0,2.32,Tiantan
2013,3,25,0.41354546,-1.9121946,3.0,2.0,5.0,93.29,109.0,42.25,64.79,1149.88,43.61,5.47,1017.35,-8.03,0.0,1.81,Tiantan
2013,3,26,3.6866605,-4.3801827,5.0,2.0,2.0,173.0,192.0,56.83,70.46,1499.73,26.18,8.47,1009.4,-1.87,0.0,1.61,Tiantan
2013,3,27,2.5497162,-3.9324777,3.0,2.0,5.0,85.17,94.21,14.12,46.79,921.74,45.52,11.37,1006.9,-4.37,0.0,2.84,Tiantan
2013,3,28,-0.43338156,0.5357163,1.0,2.0,5.0,26.0,49.46,7.5,34.54,508.33,72.27,8.3,1017.23,-12.87,0.0,2.09,Tiantan
2013,3,29,-0.54215986,0.32526284,3.0,2.0,5.0,86.79,116.17,33.96,67.71,1520.58,,6.01,1018.07,-6.32,0.0,2.2,Tiantan
