Componente 1,Componente 2
-1.9018337,4.3497124
-1.919074,4.3253913
-1.9744341,4.4075747
-2.273159,4.566076
-2.408583,4.6645117
-2.3757777,4.881015
-2.4174306,5.6772914
-2.3648963,6.0292134
-2.4148104,5.9554176
-2.5544908,5.1924815
-2.5785468,4.434656
-2.5475864,4.420614
-2.2475474,4.2471848
-2.0405881,4.222381
-2.0034537,4.182302
-1.99351,4.140519
-1.9396008,4.21687
-2.0206797,4.332019
-2.1583004,4.508473
-2.4332802,5.229386
-2.4923742,5.4596395
-2.4700408,5.683793
-1.8195403,6.7739253
-1.8289982,6.872909
-2.3338223,6.1826797
-2.5218534,5.859377
-2.5408998,5.8500795
-2.5378535,5.605839
-2.4350178,5.9435697
-1.7814698,7.215521
-2.30784,6.243658
-1.7037629,7.184676
-2.3429537,6.1344857
-1.5457448,7.3684587
-1.5827084,7.2881975
-1.5257045,7.455509
-1.1712811,7.792809
-1.392363,6.9086347
-1.2925812,6.846098
-1.2020309,6.998471
-1.0077953,7.563129
-0.72636765,10.1981535
-0.60722303,10.344344
-0.34103563,10.760501
-0.2309506,11.086127
0.31671533,11.9636
0.45044532,12.176105
0.55712503,12.308068
0.3832561,12.245385
0.47754386,12.354558
0.7187133,12.795555
0.62398016,12.567184
0.6054733,12.505282
0.4989251,11.9520855
0.5077037,11.908062
0.5823477,12.13786
1.4252623,13.252545
1.4728001,13.387663
1.4448706,13.259478
1.2781459,11.995891
1.2464495,11.925251
1.1758484,11.191601
0.07583182,8.918987
3.4139278,4.5634093
3.2283423,4.526267
2.9791808,4.6569157
2.1945386,4.671072
0.87466043,8.835763
0.72829103,12.765392
1.3620592,10.575418
0.8493047,9.327563
0.82305634,9.305638
0.8772918,10.528134
0.108164504,8.672918
0.35759383,4.881323
0.5825807,5.3554745
0.15592052,6.511908
-0.12514046,5.8055124
-0.19541377,7.6967006
-0.09769842,8.004027
-0.051099323,8.254463
0.4785654,5.502747
0.65681726,5.4337287
0.380629,5.385514
1.7198403,4.157116
1.9752431,4.021307
1.9536248,4.026548
1.9433656,4.0243483
1.8767494,4.847172
1.5230122,4.9507966
1.234152,5.2664227
1.0663261,6.33452
1.0121362,6.479401
0.15705942,8.734873
1.0795133,10.238444
1.1432414,10.431877
1.0289625,11.371571
1.0565662,11.4459505
1.0293157,11.317507
1.0617245,11.434124
1.3677001,12.467566
1.5768647,12.7781105
1.5594724,12.7629795
1.4717742,12.627829
1.6291617,12.829923
1.7140335,13.022635
1.7642173,12.98719
1.7846724,13.12221
1.8146625,13.57705
1.8525777,13.412855
1.8474858,13.568517
1.8764896,13.695581
1.9305922,13.912309
1.9506819,13.97143
1.9533234,14.020909
1.9506729,13.991932
1.9549582,14.029625
1.8298492,14.084236
1.8409353,14.113865
2.0666196,14.787219
2.027109,14.7915745
2.001719,14.799821
1.9086257,14.406331
1.8275297,13.836369
1.7968655,13.647529
1.7562716,13.716427
1.7494267,13.71834
1.7481692,13.716897
1.7620656,13.657632
1.7144275,13.554608
1.7828695,13.655226
2.0564137,13.810277
2.13719,13.879519
2.1700573,14.084354
2.135844,14.376779
2.07778,14.668385
2.0929666,14.693857
2.0847917,14.7230215
2.1181014,14.683231
2.0326462,14.749147
1.8806907,14.840836
2.0194745,14.760832
1.9165009,14.79487
1.9160823,14.82501
1.7137674,14.815647
1.4967077,14.690432
1.4515871,14.658639
1.4484121,14.697506
1.2551254,14.712963
1.3158904,14.756935
1.419362,14.741061
2.24157,14.587353
1.98323,14.873763
2.0453806,14.85775
2.0679457,14.789044
2.0821326,14.718951
2.10824,14.712297
2.1223133,14.260532
2.2398973,14.076234
5.567291,12.780989
5.9075494,12.525504
5.976649,12.464323
5.8925123,12.525656
2.239933,13.949563
2.146739,14.251073
2.1961544,14.440696
2.2176495,14.490267
2.210474,14.520851
2.22802,14.474634
2.126092,14.518924
2.3425343,14.457905
2.6233401,14.250559
3.0664496,14.23824
2.3231318,14.422087
2.2078142,14.396629
2.1954498,14.421026
2.063029,14.630549
2.2673647,14.505161
2.445963,14.4709
2.2940938,14.018588
6.244634,10.082706
6.3099074,10.238053
6.757475,12.139736
2.5175312,14.430778
2.6184788,13.560473
6.271824,10.836721
5.904442,10.408139
5.914761,10.392594
5.9039235,10.452234
5.902414,10.423902
5.9033284,10.463166
5.902516,10.473434
5.8881354,10.506165
5.901186,10.628436
5.8781123,10.647355
5.878942,10.650477
5.8943973,10.641539
5.891152,10.669885
5.8845897,10.668675
5.9131937,10.682151
6.0730104,10.733885
6.48009,10.972438
2.2821205,13.768113
4.505332,5.6868267
3.2460687,4.406413
4.316869,5.554077
4.340566,5.5260367
3.9600716,5.4744406
3.8096955,5.53365
3.7714963,5.5081143
2.4253733,4.731473
0.7368961,4.0398583
0.6499708,4.027068
-1.3217298,3.979328
-1.3248339,4.0821757
-1.1484405,4.5267906
-1.1105692,4.6147118
-0.85137254,4.8071866
-0.5145605,5.565068
-0.62139124,6.2264333
-0.7429289,6.881206
-0.7151578,6.8796015
-0.78920054,6.955732
-1.142637,7.961652
-1.4486123,8.24066
-1.3938576,8.037974
-0.61041486,5.927346
-0.46524346,5.6646066
-0.27912435,5.618413
-0.032285944,5.60036
0.17033137,5.5146823
0.20765322,5.663561
0.26703143,5.765272
0.25408286,5.9120164
0.21208341,6.0579076
0.06152982,7.5270967
-0.17049035,8.146434
-0.21464711,8.161894
-0.17923784,8.083768
1.0318259,11.095255
1.0735719,11.273062
1.067127,11.2979145
1.0589508,11.271669
1.0379416,11.340159
1.0394974,11.286822
1.0778253,11.241426
1.1307814,11.126242
1.0012238,11.717702
1.2188642,12.334642
1.6352208,12.865793
1.672449,12.965942
1.7424443,13.016491
1.8017093,13.153069
1.8190172,13.197372
1.73966,12.656413
1.7293818,12.625192
1.7881721,12.669821
1.8425668,13.802091
2.0277638,14.56104
1.9115992,13.1670475
1.8614677,13.339845
2.1423824,13.863568
1.8077778,13.12492
1.4977808,11.6545105
1.3533176,11.302642
1.4311756,11.570092
1.5211847,11.550125
5.820118,10.779108
5.756875,10.801481
2.3930106,11.821587
3.7676597,10.394909
3.781423,10.3178835
3.782577,10.32947
3.7883449,10.335439
3.7905405,10.33749
3.7917871,10.329062
3.8033555,10.334307
3.7927918,10.332925
3.7832522,10.318791
3.801721,10.331643
3.8096774,10.329128
3.737122,10.277904
3.6890352,10.230098
3.5171869,10.308344
3.5054412,10.2549925
3.541428,10.113694
1.3006929,8.561705
0.18710239,8.434044
-0.4572552,5.4595866
-0.5413287,4.874826
-0.5384214,4.8653436
-0.5829319,4.859947
-0.63087195,4.8783154
-0.6768559,4.8781967
-0.73285335,4.9118743
-0.6573148,5.6914525
-0.976746,6.87735
-0.6567295,5.7797627
-0.7261557,5.520475
-0.5735354,4.960835
-0.38667825,4.4853945
-0.24615015,4.4486384
-0.27731737,4.3025727
-0.08619276,4.3525767
-0.04389584,4.4299464
0.09568889,5.1680446
-0.4542889,6.6103525
-0.56114256,6.6705437
-0.57854617,6.6861534
-0.6005236,6.7458525
-0.59358263,6.8293185
-0.67533255,6.854736
-3.1339808,9.867954
-3.1281533,9.849306
-3.157134,9.826898
-3.1175508,9.831381
-3.119309,9.822416
-3.1278389,9.83787
-3.1209872,9.838449
-3.1387515,9.843191
-3.1418009,9.850027
-3.1539838,9.88535
1.0379705,11.200373
1.2235605,11.476383
1.1692877,11.427783
1.2251585,11.528858
1.7290742,12.65077
1.7200956,12.681841
1.7937025,12.631834
1.7046146,12.650826
1.68481,12.611823
1.2285807,11.638125
1.2563269,11.726764
1.2701368,11.698132
1.3908759,11.8581
1.431716,11.98968
1.5867329,11.933195
1.6472645,12.102886
1.6053344,12.08371
1.6348137,12.089116
1.6718997,11.941961
1.6969846,11.683437
1.6922904,11.669998
1.6829774,11.426633
1.2216185,12.604945
1.5738608,13.487748
1.578606,13.517512
1.4992439,13.189028
2.1971784,13.817384
2.20501,13.8442
2.2167475,13.847321
2.1916296,14.000665
2.2037928,14.087172
2.4323568,13.845295
2.5719893,13.804694
2.511885,13.953423
2.48973,14.059422
2.4971173,14.102739
2.4674141,14.11813
2.1684477,14.372084
2.4042292,14.246348
2.581712,14.06949
2.5290709,14.024724
2.4969585,13.948352
2.5402365,13.989995
2.4909978,13.88392
2.466958,13.874141
2.5268855,13.915262
2.527104,13.939389
2.00868,13.949048
2.0835536,13.979675
2.0639079,13.819368
1.8263013,12.975053
1.8649572,12.800559
1.8092859,12.443253
1.7229178,12.209737
1.8919795,12.838077
1.8696111,12.881484
1.8819394,12.993399
1.829831,12.970431
2.1853085,12.913774
2.2152605,12.957152
2.1980917,12.973741
2.264377,12.898583
2.3792205,12.825754
2.3444884,12.830164
2.3243093,12.862812
2.3147979,12.885292
2.3347526,12.852196
2.363998,12.789756
2.3433204,12.853655
2.3604116,12.83679
2.3543932,12.852591
2.079594,13.409845
2.3944702,14.063514
2.4002297,14.330562
2.3734825,14.331316
2.4157248,14.333598
2.51714,14.34681
2.5286455,14.357316
2.618141,14.363256
2.6728146,14.3395405
2.6918416,14.335348
2.6978638,14.341079
2.6716788,14.381738
2.6669757,14.381529
2.6704657,14.398315
2.6750627,14.396836
2.7209067,14.390386
2.7120223,14.393371
2.708021,14.343732
3.0821033,4.302506
3.068186,4.334793
2.9999638,4.2478185
2.762844,4.307184
3.083681,4.0973263
3.381403,3.9138734
3.4350626,3.9172523
3.35813,3.9001915
3.4824862,3.9285414
4.03297,8.930968
3.4463286,3.904525
3.4844763,3.918507
3.4610515,3.9128358
3.5502882,3.9365675
3.61767,4.0634646
5.438313,6.4286222
4.6037154,7.71563
4.7433686,8.930327
2.564184,8.286395
2.526461,8.281648
2.5355005,8.283649
2.5079436,8.295348
2.5070348,8.2794895
2.5106704,8.302567
2.4808857,8.350957
2.4899955,8.341648
2.3391874,8.546828
2.3310676,8.557813
2.3083222,8.554433
2.3648589,8.50422
2.5094147,8.291703
2.5319133,8.283322
2.5334327,8.282205
2.538177,8.267632
2.5230324,8.260595
2.5453095,8.258155
2.535114,8.263525
2.5095537,8.22902
2.3425882,8.157304
1.6694466,7.9944563
1.655913,8.015222
1.6663711,8.013021
1.6570603,8.025959
1.6556685,8.079683
1.7332435,8.124015
1.6132398,8.057016
1.6414884,7.999652
1.5893853,8.128029
1.644566,8.009943
1.6593994,7.979608
0.26160342,6.5362306
0.105764285,6.457096
0.30463424,6.5341005
1.1059518,8.341738
0.21091396,8.690332
0.15012749,8.558317
0.26832518,6.5100517
-0.17238185,5.415142
0.24108,6.8911123
1.7336767,6.745947
1.6386715,6.5397577
1.7881062,6.7958846
1.7753385,6.7889357
1.9284133,6.953911
1.9779848,8.342108
2.0220826,8.333297
2.0148757,8.372413
2.0206337,8.41306
2.030921,8.398665
2.0185564,8.41367
2.0424578,8.438733
2.0989537,8.415483
2.0715327,8.404099
2.166139,8.400299
2.2053716,8.440691
2.2041166,8.483396
2.9503253,10.586867
2.9984868,10.617089
3.0009437,10.735177
3.1322656,10.926493
4.993859,10.972418
4.992795,11.323209
5.040328,11.432074
5.0039644,11.569175
5.0607266,11.597821
5.078158,11.61881
5.087091,11.701184
5.107928,11.752392
5.1588063,11.886163
5.110462,11.766905
5.114051,11.79891
5.1143303,11.852741
5.147127,11.908875
5.099662,11.749898
3.981162,10.792576
3.860651,10.60694
1.3430827,10.618487
1.5135597,10.649591
4.2825694,7.845305
3.6695168,7.38462
0.64225465,8.267065
0.3228185,7.9474654
3.1360886,10.225619
3.211636,10.227339
3.2321966,10.187829
1.3292654,11.018394
1.3176813,10.88843
4.5143957,7.7076907
4.5119696,7.618958
4.488847,7.662601
4.4619427,7.682917
4.466848,7.725575
4.5064783,7.7843375
4.699582,8.000268
4.7226524,8.087502
4.7982035,8.04971
2.099696,9.09445
2.1760862,8.9287815
2.2933905,8.770975
2.2706614,8.7511835
1.7889475,10.546299
2.2766685,8.672947
2.30063,8.661056
2.3085926,8.602
2.326489,8.598987
2.334088,8.606447
4.7673798,9.082641
5.825439,10.78088
5.81231,10.789443
5.8224936,10.7956705
5.8422065,10.776213
5.876382,10.727136
5.9416647,10.739781
5.8527346,10.728187
4.499273,7.6609187
1.868224,4.3943686
0.69802594,5.310785
0.6064875,5.3206506
0.5709243,5.3209233
0.47097433,5.370486
0.47946095,5.3573704
0.43886068,5.4173837
0.058694534,5.668765
-0.05965649,5.694073
-0.04793328,5.7233343
-0.08142645,5.7626505
-0.098112926,5.820134
-0.4287425,6.832557
-0.1806018,5.76442
-0.08244721,5.732449
0.10144059,5.6271973
0.43918115,5.4578815
0.52452236,5.400298
0.61918,5.360744
0.74897754,5.2598352
0.7615408,5.22026
0.8250597,5.242574
0.767572,5.2526054
0.7395194,5.314713
0.83689886,5.294951
0.98815846,6.5099497
0.14736627,8.799907
0.594061,9.494497
0.7567372,9.503615
0.6175545,9.349745
0.65516764,9.260984
0.5285069,11.382786
1.3985288,10.746521
1.6694589,10.6436205
1.6707029,10.508497
1.6546134,10.4276495
1.662633,10.434147
1.630439,10.434431
1.1184378,11.437846
1.5841157,13.532351
1.5473498,13.474412
1.373658,12.241432
1.2242869,11.736394
1.3095235,11.740367
1.4138483,11.74496
1.4335811,11.650114
1.2691376,11.102773
1.2852339,11.130033
1.2763759,11.087697
1.2747327,11.360974
1.4673984,11.971505
1.2651603,11.276756
1.2240332,11.169627
1.1746415,11.176032
1.1758395,11.105609
1.0584979,11.152015
1.0341865,11.175399
1.4485832,11.936786
1.6345526,13.309292
1.9181513,13.090799
2.0292125,12.960885
3.109048,12.533735
1.975181,13.144674
1.7244496,13.916188
1.8990057,13.913464
2.5690134,13.557514
2.607081,13.51574
2.6290412,13.558424
2.676086,13.5072365
2.4583662,13.57812
2.3897104,13.693525
2.2281132,13.802007
2.2099512,13.858536
2.2257373,13.835621
2.0627303,13.930629
2.0714455,13.921739
2.2027621,13.8928995
5.1825128,12.037506
5.4714174,10.985991
5.46309,10.4216
5.479891,10.268605
5.733085,8.992511
5.457517,10.096357
5.4164667,10.046062
5.382474,10.09502
5.5220137,10.380937
3.2006836,12.647622
5.569307,10.350273
5.5953736,10.428037
6.097137,10.955008
6.0177565,10.367074
6.065644,7.1429486
6.048578,7.108772
4.6915565,3.8837059
3.6620278,4.1943355
3.710017,3.9806993
3.6426036,3.9495482
1.9618688,4.194285
1.8886935,4.2679687
1.7939137,4.520507
1.6962758,4.4440794
1.1260638,4.553241
0.7696415,4.962302
0.6767279,4.978963
0.65163696,4.789332
0.39568534,5.376952
0.23041195,5.362764
0.12721604,5.2335286
0.12944998,5.5269265
0.14074992,5.4393654
0.26678956,5.900081
0.3557797,5.756149
0.8923592,5.3571053
1.2024549,5.466313
0.98762345,4.8051333
1.6707687,4.3116255
1.9461155,4.2324104
1.6838087,4.120001
1.9093369,4.090981
1.7458715,4.125723
2.5804145,4.394678
3.423243,7.230135
3.6126087,9.433361
3.35423,10.062006
1.7104225,10.282425
1.5070658,10.244471
1.4684815,10.132486
1.4973919,8.926039
1.59566,10.065137
1.6333013,10.140969
1.49474,9.98003
1.4673399,9.976328
1.5832196,10.202918
1.6030427,10.161691
0.32496917,11.5616455
1.367538,13.30009
1.3614788,12.515641
0.9986386,11.402222
1.0050516,11.3722725
1.2899245,11.462186
1.2808717,11.615121
1.2687925,11.501322
1.235296,11.272966
1.2146901,11.213513
1.1890768,11.224048
1.2089095,11.176504
1.3750836,10.608809
1.0437744,10.696817
1.0186455,10.76473
0.80250597,11.095583
0.7993674,11.114527
0.47302893,10.760651
0.4830146,11.066271
0.55362535,11.25613
0.6720727,11.498954
1.1099893,12.757533
1.0046306,12.684783
1.1208227,12.693475
1.2378721,12.870215
1.3746226,13.036692
1.3927001,12.803946
1.4303635,12.688191
1.4585154,12.069506
1.4009374,11.739309
1.4921098,11.780219
1.4687943,11.746426
1.222133,10.86847
1.202771,10.841479
1.2730509,10.660272
3.553578,8.891643
3.5388653,8.797989
3.4918232,8.766489
3.4533253,8.851455
3.368418,9.116098
3.3494918,9.246694
3.4774241,9.458884
3.4708762,9.4253435
3.455992,9.444301
3.4584708,9.450888
3.5145302,9.488062
3.615379,9.76516
3.6386175,9.884739
3.6296315,9.893468
3.7376928,9.968719
3.7769046,9.942435
3.2955499,12.285907
3.2991335,12.405478
3.3121352,12.443754
3.2513645,12.520369
3.275521,12.49689
3.276193,12.50963
3.2728279,12.518168
3.2725792,12.505828
3.27833,12.501772
3.2757308,12.50567
3.282426,12.57882
3.2321556,12.561374
3.2586293,12.529382
3.288924,12.512919
3.2794955,12.537938
3.2457166,12.561536
3.206884,12.623632
3.1728666,12.718443
3.1608815,12.732789
3.1663094,12.738156
3.196957,12.77388
1.0750746,7.4819865
2.6544476,4.8559175
2.6233535,4.8164954
2.6069906,4.8584623
2.606482,4.8469367
3.0745056,4.5995407
3.3250854,4.492978
3.2041214,4.622683
3.2426062,4.6229835
2.0373988,4.180912
1.8701113,4.2085752
1.8069283,4.2800093
0.7976439,4.70348
0.58204454,4.560834
0.29709312,4.5591516
0.10627225,4.583314
0.15825833,4.554686
0.36839706,5.300131
0.04342576,6.475737
0.12334096,6.689143
1.6397287,8.533138
1.9779637,9.121035
3.388594,10.309371
2.8320637,10.045022
1.1106663,11.384716
1.1431569,11.386818
1.7298998,12.810018
1.6432506,12.384064
1.6852974,11.988905
6.1853647,9.330784
6.167301,9.28961
6.1604743,9.3015995
6.2598853,10.857541
6.3132033,11.17295
6.2954555,11.113542
6.241488,10.79072
6.227417,10.862686
6.01034,10.773267
5.8362484,10.742629
5.184239,11.736063
5.2103963,11.700495
5.158224,11.804338
5.137001,11.873187
5.1833224,11.95968
5.1871314,11.969432
5.0849037,11.7676
5.1053867,11.755841
5.0698843,11.77602
5.157977,11.946434
5.23111,11.914446
6.252423,10.748756
6.2880654,10.81219
6.4799776,11.280156
6.785712,11.74059
2.4279265,13.797169
2.4781919,13.650065
6.2805953,11.127776
6.242922,10.941585
