stationId,latitude,longitude,year,month,day,wd,WSPM,AQI,Notes
aotizhongxin,39.9829,116.3974,2013,3,1,150.0,3.25,1.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,2,135.0,1.48,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,3,129.38,1.66,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,4,121.88,2.4,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,5,68.44,1.13,4.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,6,117.19,1.48,5.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,7,123.75,1.56,6.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,8,139.69,1.64,5.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,9,130.31,3.39,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,10,182.81,2.44,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,11,143.44,1.57,4.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,12,84.38,1.08,4.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,13,121.88,2.33,1.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,14,181.88,1.95,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,15,126.56,1.42,5.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,16,149.06,1.7,5.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,17,164.06,1.15,6.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,18,147.19,3.64,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,19,48.75,1.92,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,20,202.5,2.06,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,21,127.5,1.65,4.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,22,138.75,2.55,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,23,83.44,2.41,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,24,153.75,2.69,1.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,25,144.38,1.92,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,26,176.25,1.66,5.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,27,107.81,2.85,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,28,151.88,2.22,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,29,83.44,1.57,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,30,117.19,1.74,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,3,31,108.75,1.5,5.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,1,128.44,3.07,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,2,219.38,1.92,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,3,192.19,1.83,4.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,4,130.31,1.55,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,5,109.69,2.45,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,6,210.94,1.87,1.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,7,128.44,1.67,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,8,307.5,4.72,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,9,233.44,3.96,1.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,10,169.69,2.6,1.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,11,137.81,2.15,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,12,165.94,1.99,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,13,154.69,3.08,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,14,176.25,2.4,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,15,116.25,1.78,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,16,132.19,2.38,3.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,17,162.19,2.1,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,18,84.38,2.52,1.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,19,211.88,2.7,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,20,220.31,2.08,2.0,Urban
aotizhongxin,39.9829,116.3974,2013,4,21,210.94,2.29,4.0,Urban
